requirement_id	source_layer	source_url	bosch_term	what_bosch_business_needs	steering_screening_requirement	transferable_to_steering	do_not_transfer	first_output	check_question
SPR001	BBA001 Fleet maintenance and repair	https://www.bosch-mobility.com/en/mobility-topics/fleet-solutions/maintenance-and-repair/	predictive maintenance	Fleet側で予期しない停止を減らし、整備優先度と入庫計画を先に決めたい。	操舵系stateが、次回運行前確認、入庫優先度、追加点検、顧客説明のどれを変えるかを見る。	Yes: thermal protection近傍、低/高電圧、過温度、複合電気症状は整備優先度へ転記可能性がある。	EPS交換日や残寿命をこの時点で断定しない。	maintenance action mapping	そのstateがあると、整備現場またはfleetは何を変えるか。
SPR002	BBA002 Cloud diagnostics	https://www.bosch-mobility.com/en/solutions/software-and-services/cloud-and-predictive-diagnostics/	cloud diagnostics	DTCや車両診断データを、risk/criticality、next step、fault grouping、component localizationへ変える。	操舵系DTC、freeze frame、extended data、limit state、software/calibration IDを、診断読み順とservice explanationへ変換できるかを見る。	Yes: DTC単体ではなく、thermal/voltage/communication contextと組み合わせる余地がある。	DTCだけでfailure timingを予測すると言わない。	diagnostic triage requirement	どの操舵系診断fieldが、次に読むべきDTCやDIDを変えるか。
SPR003	BBA003 Predictive diagnostics	https://www.bosch-mobility.com/en/solutions/software-and-services/cloud-and-predictive-diagnostics/	predictive diagnostics	Potential failures before operation impact、deep component level anomalies/wear、health status、behavior-based failure predictionを扱う。	操舵系でcomponent-specific load and diagnostic featuresと呼べるものを特定する。	Partial: 操舵反復、assist limit、温度、電圧、通信validity、DTC履歴は候補。	公開情報でsteering/EPS/SbWがBosch対象componentだと確認済みとは言わない。	steering predictive state list	操舵系固有のload featureとdiagnostic featureは何か。
SPR004	BBA004 Predictive Diagnostics product	https://www.bosch-mobility.com/en/solutions/diagnostics/predictive-diagnostics/	remaining lifetime / maintenance forecast	Component/system conditionを監視し、fault予測、probable remaining lifetime、maintenance forecast、driver notification、workshop appointmentへつなげる。	操舵系stateごとに、condition explanation止まりか、maintenance forecastまで言えるか、remaining lifetimeには何が足りないかを分ける。	Partial: condition explanationとmaintenance forecast候補は残る。	repair feedback loopや劣化モデルなしにsteering RUL/replacement dateを言わない。	RUL boundary table	どのstateならmaintenance forecast候補で、どのstateはcondition explanation止まりか。
SPR005	BBA005 Data-driven intelligence	https://www.bosch-mobility.com/en/solutions/software-and-services/data-driven-intelligence/	vehicle health	Remote state of health、early warning、warranty indication、remaining lifetime、recommended replacement date、field quality responseを扱う。	操舵系vehicle health outputが、品質改善、保証調査、field-to-engineering feedbackへ転記できるかを見る。	Partial: thermal/voltage/communication/network compound symptomsはquality investigationに転記可能性がある。	EPSサプライヤがOEM warranty decisionを所有すると言わない。	vehicle health output draft	操舵系vehicle healthとして、サービスや品質に何を言えるか。
SPR006	BBA006 Uptake acquisition	https://us.bosch-press.com/pressportal/us/en/press-release-30080.html	AI-driven predictive maintenance	Uptake AI、Bosch Connectivity Hub、FleetME ecosystemを組み合わせ、fleet/OEM向けend-to-end予測保全へ広げる。	EPSサプライヤがplatformを作るのではなく、Bosch/Uptake型ecosystemへ渡すなら何のdomain contentが必要かを見る。	Yes as domain content: steering state definition、diagnostic meaning、action boundary。	EPSサプライヤ単独でBosch規模のfleet predictive maintenance platformを売れると言わない。	domain content package question	予測保全ecosystemがEPSサプライヤへ求める操舵系contentは何か。
SPR007	BBA007 Battery in the cloud	https://www.bosch-mobility.com/en/solutions/software-and-services/battery-in-the-cloud/battery-in-the-cloud-insights/	state of health / long-term forecast	Battery SoH、stress factors、long-term forecast、anomaly detection、certificateを扱う。	操舵系にbattery SoH相当の測れるhealth stateがあるか、またはoperational state/context止まりかを分ける。	Low-Partial: 操舵系はbatteryほど直接的なSoH指標が公開情報では見えにくい。	Battery SoH/RULをEPSへそのまま転用しない。	health-state comparability check	操舵系で直接測れる劣化stateはあるか。
SPR008	BBA008 Brake pad wear sensor	https://www.bosch-mobility.com/en/solutions/sensors/brake-pad-wear-sensor/	remaining pad life / replacement timing	Wear sensorと走行条件からremaining pad lifeとreplacement timingを扱う。	操舵系にbrake pad wear相当の直接摩耗量があるかを確認し、ない場合はreplacement timing主張を避ける。	Low for RUL: steering replacement timingへは弱い。High for boundary: 言ってはいけないことを切る材料になる。	Brake padのreplacement timingをEPS交換時期へ直接移植しない。	replacement-timing kill gate	操舵系で交換時期を言うために必要な直接摩耗/劣化指標は何か。
SPR009	BBA009 Lifecycle powertrain services	https://www.bosch-mobility.com/en/solutions/software-and-services/lifecycle-powertrain-services/	remote state of health / repair recommendation	Remote SoH、impending failure、remaining service life、diagnostics/maintenance/repair recommendationを扱う。	操舵系stateからrecommendationへ落ちるeffect chainがあるかを見る。	Partial: thermal/voltage/communication compound statesはrecommendation候補。	Powertrainのremaining service life事例がsteering需要を証明すると言わない。	effect-chain requirement	操舵系でstateからrecommendationへ落とせる因果/業務chainは何か。
SPR010	BBA010 Vehicle connectivity services	https://www.bosch-mobility.com/en/solutions/connectivity/vehicle-connectivity-services-cv/	connectivity / data acquisition	Remote diagnostics、data acquisition、OTA、configurable field captureが予測保全の基盤になる。	操舵系predictive diagnosticsに必要な信号、event trigger、取得頻度、権限者を定義する。	Yes as requirement: data capture条件をEPSサプライヤ側で提案できる可能性。	EPSサプライヤがvehicle connectivity accessを自由に持つと仮定しない。	data acquisition requirement	どの操舵系eventを、誰の権限で、どの粒度で取る必要があるか。
