id_type	id	previous_status	final_status	confidence	final_conclusion	evidence_basis	why_stop_or_limit	reopen_condition	next_owner	what_not_to_claim
PVC	PVC001	Continue	Final: internal review only / no external offer	Medium	使用負荷classの先読みは公開proxyだけでは外販商品として進めない。ULC008とULC004を、EPSサプライヤ内で既存業務との差分を確認するサプライヤ内レビュー材料としてだけ残す。	KGL003/005/006/007/008; ULC001/004/008; docs/90; docs/91; docs/92; docs/94	公開proxyではEPS内部状態、DTC、freeze frame、assist state、limit state、交換結果、既存レビューとの差分が見えない。	製品企画と診断企画の両方が、既存資料では足りない判断用途を具体名で挙げた場合だけ再開する。	製品企画; 診断企画	EPS故障予測、残寿命、交換時期、保証費削減、安全保証、原因断定
PVC	PVC002	Merge into PVC001	Final: merged / closed	Medium	操舵要求と路面・振動exposureは独立テーマにせず、PVC001内のULC004として閉じる。	KGL005/006/007/008; ULC004/005/006	独立した買い手、意思決定、成果物が見えない。	ULC004がサプライヤ内レビューで独立した業務判断を生む場合だけ再分離する。	品質改善; 評価企画	路面分類product、評価scenario名の言い換え、路面が故障原因という断定
PVC	PVC003	Merge into PVC001	Final: merged / closed	Medium	都市・駐車場の低速高操舵profileは独立テーマにせず、ULC008/ULC001の用途contextとして閉じる。	KGL003/005/007/008; ULC001/002/003/008	単独では都市走行一般論や駐車操作一般論になる。	ULC008が製品企画で用途別価値説明として明確に刺さる場合だけ補助材料として使う。	製品企画; 診断企画	駐車操作が故障原因、低速高操舵から残寿命が分かるという主張
PVC	PVC004	Hold boundary artifact / drafted	Final: boundary material only / no product	Medium	通信異常contextは予測的付加価値の本線ではなく、EPS故障と通信異常を誤認しないための禁止主張・診断信頼性境界としてだけ残す。	KGL004/011; data/pvc004_communication_boundary_deep_dive.tsv	既存CSMS、TARA、SOC、IDSの領域と重なり、EPSサプライヤ独自の商品にしにくい。	診断企画がDTCやfreeze frameの信用境界に転記できると言った場合だけ精緻化する。	診断企画; サイバー担当	汎用IDS商品、SbW安全証明、EPS品質証拠、通信異常からEPS故障を断定する主張
PVC	PVC005	Hold separate branch	Final: out of current scope / archive	Medium	評価時間予測は予測対象が明確だが、実使用条件の予測的付加価値ではなく評価効率テーマなので現本線から外す。	KGL002	評価計画・試験管理の既存業務に閉じやすく、現在の探索意図とずれる。	評価効率を別テーマとして再開する場合だけ見る。	評価計画; HILS/bench	実使用価値、EPS状態予測、顧客価値としての主張
PVC	PVC006	Hold separate branch	Final: out of current scope / archive	Medium	製造・EOLリスクscreeningは予測としては強いが、工程検査テーマなので現本線から外す。	KGL001	ユーザーが工程検査目的ではないと明示済みで、EPS実使用の付加価値探索から外れる。	製造品質テーマを別途再開する場合だけ見る。	製造品質; 工程設計; EOL検査	実使用条件、サービス価値、EPS故障予測としての主張
PVC	PVC007	Companion only	Final: companion only / no active item	Low	熱・EV実走行contextは単独候補にせず、必要な場合の補助列に限る。	KGL012; ULC009	操舵信号やEPS thermal stateがなく、単独ではEPSサプライヤ価値へ転記しにくい。	EPS thermal stateやassist limitationの内部データに触れる検証が可能になった場合だけ再評価する。	評価企画; 診断企画	EPS thermal state、assist limitation、劣化を公開proxyから推定したという主張
ULC	ULC001	Continue core	Final: support input only	Medium	低速高操舵は独立深掘り対象ではなく、ULC008の根拠入力として使う。	KGL003/005; low_speed_high_steering_proxy_summary/windows	単独では既存の低速取り回し説明や評価条件の言い換えに見える。	ULC008のサプライヤ内レビューで、低速・大舵角の根拠として追加確認が必要と言われた場合だけ使う。	製品企画; 診断企画	低速高操舵が故障原因、残寿命指標、保証判断指標になるという主張
ULC	ULC002	Merge into ULC008	Final: merged / closed	Medium	据え切りに近い操舵はULC008の一部として扱い、独立テーマにしない。	KGL003/005; UF002	原因断定に見えやすく、独立した業務成果物がない。	ULC008内で説明上必要な場合だけ使う。	製品企画; 診断企画	据え切りが故障原因という主張
ULC	ULC003	Merge/context	Final: merged / closed	Medium	stop-startと反復操舵は都市・渋滞contextとしてULC008/ULC001に統合する。	KGL003/005/007; UF005/018	単独では都市走行一般論になる。	ULC008の用途説明で必要な場合だけ使う。	製品企画; 品質改善	stop-startからEPS故障やassist lossを予測できるという主張
