source_name	source_type	signal_level	evidence_signal	support_for_mhq001	limit	confidence	url
Nexteer MotionIQ/Health release	Supplier official release	steering/chassis specific	MotionIQ/Health monitors steering, chassis components, and tires and connects this to fleet downtime, maintenance scheduling, and diagnostic time reduction.	操舵系を含むchassis healthがfleet downtimeに直接接続される。	製品発表であり、実顧客名、停止件数、支払実績は不明。	High for signal / Medium for paid demand	https://www.nexteer.com/release/nexteer-unveils-its-motioniq-software-suite-for-intelligent-motion-control/
Nexteer Software page	Supplier official product page	steering/chassis specific	MotionIQ software covers EPS, SbW, Brake-by-Wire, and vehicle health-monitoring workflows for automotive, off-road, commercial vehicle, and adjacent mobility sectors.	EPS/SbWを含むmotion control supplierが商用車両も含むhealth workflowを狙っている。	運用停止事例ではなく製品positioning。	High for supplier scope / Medium for pain	https://www.nexteer.com/software/
Nexteer MotionIQ blog	Supplier official blog	steering/chassis specific	MotionIQ/Health monitors steering and other chassis systems plus tires under actual driving conditions through lifecycle, reducing diagnostic time and costs.	steering/chassisがactual lifecycle condition monitoringの対象として明示される。	実fleetの故障率や予定外入庫は示さない。	High for steering/chassis relevance	https://www.nexteer.com/blog/motioniq-software-suite-precision-speed-and-quality-for-software-defined-chassis-development/
ZF Vehicle Health Monitoring	Supplier official press release	chassis specific	ZF says it can monitor and document technical condition of important chassis or drivetrain systems, forecast functionality, recommend repairs, and reduce downtime; fleet/shared mobility benefit.	chassis healthがfleet/shared mobilityのreliable mobilityに直結する。	対象はcars中心で、steering単独ではない。	Medium-High	https://press.zf.com/press/en/releases/release_92162.html
3rd Eye Fleet Maintenance	Supplier / fleet platform page	chassis/equipment specific	3rd Eye says its fleet maintenance software continuously monitors chassis, body, and equipment, reducing downtime, improving diagnostic time, and assigning severity/time-frame importance.	商用fleetでchassis/body/equipment healthがmaintenance decisionへ接続される。	操舵系部品名までは出ない。	Medium	https://www.3rdeyecam.com/solution/fleet-maintenance/
Bosch Cloud and Predictive Diagnostics	Supplier official product page	fleet downtime general	Bosch says fleet reliability and efficiency are crucial and diagnostics can identify/predict issues before operational impact, with risk/criticality and workshop planning.	fleetでは運行影響前の検知、operational readiness、workshop planningが買われる。	vehicle全体でありsteering/chassis固有ではない。	High for fleet demand / Low for steering specificity	https://www.bosch-mobility.com/en/solutions/software-and-services/cloud-and-predictive-diagnostics/
Webfleet vehicle downtime guide	Fleet platform guide	fleet downtime general	Webfleet frames downtime as unavailable vehicles, productivity loss, revenue/reputation impact, planned/unplanned downtime, vehicle health tracking, and diagnostic/trouble code notifications.	fleet downtimeが明確な業務痛みであり、vehicle health trackingが対策になる。	一般fleetであり操舵系固有ではない。	High for downtime pain / Low for steering specificity	https://www.webfleet.com/en_us/webfleet/fleet-management/fleet-maintenance/vehicle-downtime/
Amerit Autonomous Fleet Maintenance	Fleet maintenance service page	AV maintenance general	Amerit says sensor failures, software lag, and derailed rides hurt AV fleets; it offers robotaxi, shuttle, and freight AV uptime support, health dashboards, and 24/7 mission readiness.	AV fleetではmaintenance and uptimeがdeployment/revenueに直結する。	センサー・ソフト中心で操舵系は出ない。	High for AV maintenance / Low for steering specificity	https://www.ameritfleetsolutions.com/industries/autonomous-vehicles/
PennDOT AV shuttle report	Public project report	AV operations general	AV shuttle operations require roles in system monitoring, fleet maintenance, technology management, and administration.	AV shuttle運用ではfleet maintenanceとsystem monitoringが常設業務になる。	操舵系やchassis painではない。	Medium	https://www.pa.gov/content/dam/copapwp-pagov/en/penndot/documents/programs-and-doing-business/p3forpa/documents/acaa-av-shuttle-detailed-analysis-final-report.pdf
Waymo / Ryder AV truck maintenance	AV operator official blog	AV maintenance general	Waymo partnered with Ryder for autonomous truck maintenance best practices to maximize uptime and reliability.	AV truckでmaintenance practiceとuptimeが重要。	操舵系/chassis固有ではない。	Medium	https://waymo.com/blog/2021/08/expanding-our-waymo-via-operations/
Ryder / Aurora on-site maintenance	Fleet service official news	AV maintenance general	Ryder technicians embedded in Aurora terminal to maximize autonomous truck utilization.	AV truck terminalではmaintenanceがutilizationに直結する。	操舵系/chassis固有ではない。	Medium	https://newsroom.ryder.com/news/news-details/2022/Aurora-and-Ryder-to-Pilot-On-Site-Fleet-Maintenance-for-Autonomous-Trucking/default.aspx
Webfleet brake and tyre note	Fleet platform guide	motion safety adjacent	Webfleet notes well-maintained brake pads and tyres improve control, while vehicle health tracking and maintenance scheduling reduce downtime.	運行可否はengineだけでなくbrake/tyreのようなmotion-relevant componentsにも関係する。	操舵系そのものではない。	Medium-Low	https://www.webfleet.com/en_us/webfleet/fleet-management/fleet-maintenance/vehicle-downtime/
Volvo Remote Diagnostics	OEM service page	counter / existing remote diagnostics	Volvo Remote Diagnostics emphasizes monitoring engine, I-Shift, and aftertreatment to avoid unexpected downtime and expedite repairs.	既存commercial remote diagnosticsではdowntime低減需要が強い。	steering/chassisは対象として目立たず、steering-only demandを弱める。	High for counter-signal	https://www.volvotrucks.us/our-difference/uptime-and-connectivity/remote-diagnostics/
Volvo expanded diagnostics news	OEM / industry news	counter / existing remote diagnostics	Volvo's remote diagnostics expansion centers on engine, aftertreatment, and I-Shift transmission components.	既存uptime serviceの主戦場はpowertrain / aftertreatment / transmissionである可能性が高い。	操舵系が同じ購買優先度かは未証明。	Medium	https://www.volvogroup.com/en/news-and-media/news/2015/sep/news-150893.html
Geotab remote diagnostics	Fleet platform article	counter / existing remote diagnostics	Geotab frames remote diagnostics as understanding DTCs and prioritizing repairs using vehicle health reports, action plans, and alerts.	DTC priorityやrepair actionは既存platformが扱うため、supplier側差分の確認が必要。	steering/chassis固有painは示さない。	High for existing alternative	https://www.geotab.com/blog/remote-diagnostics/
Fleet preventive maintenance checklist	Fleet maintenance article	motion safety adjacent	Preventive maintenance checklists often include steering and suspension alongside engine, brakes, tires, battery, and transmission.	steering/suspensionはfleet maintenance対象ではある。	これは定期点検項目であり、unplanned downtime painやhealth product需要ではない。	Medium-Low	https://attrix.ca/en/blog/fleet-preventive-maintenance
Oxmaint steering inspection checklist	Fleet maintenance software article	steering maintenance / weak support	Oxmaint says commercial steering failures can cause costly downtime and regulatory penalties, and frames digital inspections as a way to prevent steering failures and improve fleet uptime.	steering systemがfleet inspection / downtime / complianceの対象であることは支持する。	CMMS vendor articleであり、EPS/SbWサプライヤ商材や実顧客支払いの証明ではない。	Medium	https://oxmaint.com/industries/fleet-management/steering-inspection-checklist
Garrett drive-by-wire steering service	Repair shop article	steering maintenance / weak support	Garrett says drive-by-wire steering symptoms should be prioritized when they threaten downtime, and fleet/work-route context affects repair priority.	steering症状がfleet uptime / repair priorityへつながることは支持する。	修理店記事であり、predictive product demandやsupplier roleは示さない。	Low-Medium	https://www.garrettauto.com/what-is-drive-by-wire-steering-and-how-to-maintain-it
