question_id	plain_question	current_conclusion	confidence	evidence_state	weak_point	next_action	current_priority
MHQ001	自動運転車両や商用車両群で、操舵系理由の運行停止や予定外入庫は本当に痛いか	Stop / Archive for external offer。Fleet downtime一般は強いが、MHQ003のdata accessはOEM/fleet/platform契約依存、MHQ005の既存remote diagnosticsは強い。公開情報だけではEPS/SbWサプライヤ外販テーマにできない。	Medium-High for fleet downtime, Medium for chassis/motion, Low for steering-only offer	Nexteer, ZF, Bosch, Webfleet, Amerit, PennDOT, 3rd Eye, Oxmaint, Heavy Duty Trucking, Garrett, Volvo, Geotab, International, OnStar, Smartcar, High Mobility, EU Data Actでsupport/counter-signalあり	data accessとremote diagnostics差分が両方未解決。1ケースsampleも内部data/service outcomeなしでは既存診断との差分を証明できない	外販テーマはArchive。再開は特定OEM programでdata field、service outcome、既存remote diagnosticsとの差分を確認できる場合だけ	High
MHQ002	買い手は誰か。OEM、fleet運営者、dealer、remote diagnostics、EPS/SbWサプライヤのどこか	External offerとしてはStop。買い手はfleet operator / OEM fleet service / remote diagnostics platformが先に見える。EPS/SbWサプライヤはdirect sellerではなく、特定program内のdomain contributorが自然。	Medium-High for fleet/OEM buyer, Low for supplier-direct buyer	Bosch、Geotab、International、Volvo、ZF Fleet Management、Platform Scienceでfleet/OEM/platform workflowが強い	EPS/SbW supplier単独の予算主体性が見えない	外販buyerは置かない。再開時はOEM program内のdiagnostics/service/field quality利用者に限定	Medium
MHQ003	EPS/SbWサプライヤは、運行データ、DTC、DID、整備履歴、交換結果にアクセスできるか	最大Kill gate。EU Data ActやOEM/API市場でvehicle data accessの方向はあるが、実務上はvehicle owner/fleet consent、OEM terms、approved provider、cloud-to-cloud契約に依存する。EPS DTC/DIDやservice outcomeは未確認。	Low to Medium	Nexteer actual lifecycle data、ZF cloud-to-cloud、EU vehicle data guidance、OnStar API、Smartcar DTC API、High Mobility API、Auto Care right-to-repair	公開APIはvehicle health/DTC中心で、EPS固有DID、freeze frame、整備履歴、交換結果、再発有無までは見えない	EPS/SbW supplier-owned data、OEM/fleet-shared data、unavailable dataに分けたdata-rights mapを作る	Highest
MHQ004	価値ある出力は「交換時期」ではなく「次の運行に出す/先に入庫/次回点検まで様子見」か	市場側では強く、再開時の最重要output rubricとして残す。ただしBosch/International/Geotab/Platform Science/ZFがrisk、criticality、action plan、parts、service alertを既に扱うため、EPS/SbWサプライヤ外販テーマは救わない。	High for market workflow, Low for standalone supplier offer	Bosch risk/criticality、International severity/action plan/parts/API、Geotab prioritize repairs、Platform Science effect-on-vehicle/action plans、ZF service alerts	steering-specific DID読み順、assist/thermal/degraded stateが既存診断を超える出力になる証拠はない	再開時は運行可否/入庫優先度/診断読み順/品質feedbackの4出力に落ちるかだけ見る	High
MHQ005	DTCや通常診断だけでは、運行可否や点検優先度を決めるには遅い/粗いか	Raw DTCだけでは粗い。ただしBosch、International、Geotab、Volvo、OnStar、Smartcarがfault code、risk/criticality、action plan、API、diagnostic time reductionを既に扱うため、汎用DTC優先度変換は競争余地が薄い。	Medium-High for counter-signal / Low-Medium for supplier gap	Bosch cloud diagnostics, International Advanced Remote Diagnostics, Geotab remote diagnostics, Volvo Remote Diagnostics, OnStar API, Smartcar DTC API	steering domain triage、SbW degraded state、software/calibration ID、DID読み順の差分が公開情報だけでは証明できない	1ケースsampleで既存remote diagnosticsに無い操舵系判断を自然言語で切れなければStop	High
MHQ006	SbWや高可用操舵では、冗長系の一部低下を整備判断へつなげる需要があるか	Stop as external offer。安全設計・fail-safe・warning・DTC coverageの重要性はあるが、公開情報では整備判断商品ではなく既存安全/認証/診断業務に見える。	Medium for safety relevance, Low for paid maintenance offer	NHTSA SbW safety assessment、Piher fail-safe/warning、Bosch fail-operational EPS既存調査	整備判断需要ではなく安全説明・認証説明で終わる	再開時だけ、特定programのdegraded stateがservice decisionへ転記されるか確認	Medium
MHQ007	操舵系だけでなく、ブレーキ、足回り、タイヤ、電源、通信と一緒に見る必要があるか	市場理解としてはYes。むしろEPS単独ではなくmotion/chassis health bundleでないと市場文脈に合いにくい。ただしbundle化するほどOEM/Tier1/platform領域になり、EPS/SbW単独外販価値は弱まる。	High for bundle direction, Low for EPS-only offer	Nexteer MotionIQ/Health、Nexteer VHM/Tire Health、ZF chassis/drivetrain health、ZF Vehicle Health engine/brake/tire、3rd Eye chassis/body/equipment	束ねるとEPS/SbWサプライヤはoffer ownerではなくsignal contributorになる	bundle内でsupplier-owned steering contribution mapを作れる場合だけ再開	High
MHQ008	実使用条件から製品改善へ戻す価値はあるか	3つの中では内部価値が最も残る。Nexteer/ZFはactual lifecycle dataやnon-personalized dataを品質・開発insightへ戻すが、これは外販商品ではなくOEM partnership / supplier cloud連携 / internal quality loopである。	Medium-High for product-quality value, Low for public-only external offer	Nexteer actual lifecycle conditions/product quality insight、ZF non-personalized data and OEM-cloud/ZF-cloud exchange、Volvo AI remote diagnostics as uptime analytics precedent	保証費削減やroot cause断定に見せると危険。service outcomeと内部品質課題に接続しないと価値証明不可	特定OEM programでfield stress profile、design feedback、validation feedbackへ落ちる場合だけ再開	Medium
MHQ009	初期デモは何にするべきか	外販テーマを進めるデモではなく、Kill確認sampleとして1ケース比較を作成済み。DTCだけ、既存remote diagnostics、supplier domain triageの差分は内部data/service outcomeなしでは証明できない。	Medium	docs/70-75 and sample TSV	公開事例要約で終わる危険がある	特定OEM programで再開する場合だけ、実data fieldを使ったsampleへ置換する	Medium
MHQ010	新テーマのKill条件を満たしていないか	外販テーマとしてはKill条件を満たした。data accessと既存remote diagnostics差分が未証明で、steering-only購買painも弱い。	Medium-High	docs/69-75 and current MHQ surface	市場需要自体は存在するため、完全な知見廃棄ではない	Archiveし、再開条件を特定OEM program / data field / service outcome / remote diagnostics差分に限定する	High
