question_id	sheet_id	target_department	plain_question	why_ask	expected_artifact	proceed_signal	kill_signal	prohibited_claim	next_action_if_yes	next_action_if_no
Q001	OUT001	製品企画; 商品企画	このOEM用途想定を受けたとき、既存RFQ回答にはないEPS側確認質問は何か。	OEM用途想定をEPS製品価値やRFQ確認へ翻訳できるかを見る。	RFQ確認質問リスト	既存回答にない質問が出る。車格、サービス、運行シーンごとの確認差分が出る。	既存カタログや既存RFQ回答の言い換えで終わる。	EPS故障予測、残寿命、交換時期、保証費削減。	質問を用途、車格、サービス、運行シーン別に整理する。	OUT001はHoldに下げ、診断企画側で使い道があるか確認する。
Q002	OUT001	製品企画; 商品企画	低速取り回し、反復操舵、大舵角、段差、路面外乱を、故障しにくさ以外の製品価値として説明できるか。	価値説明が故障予測や耐久優位へ流れないかを見る。	言ってよい価値表現リスト	操舵感、使いやすさ、体感説明、用途適合として説明できる。	壊れにくさ、残寿命、保証費削減を言わないと価値が出ない。	公開proxyで耐久優位や故障しにくさを証明できるという主張。	顧客技術説明向けの短い表現へ変換する。	製品企画向け価値説明はStop候補にし、診断説明境界へ寄せる。
Q003	OUT001	製品企画; 商品企画	この用途想定で、電源、温度、通信、操舵要求のどれをRFQで確認すべきか。	用途想定を部品側の確認条件へ分解できるかを見る。	確認条件マップ	少なくとも2つ以上の確認条件が具体化する。	OEM用途コンセプトの定義に入り、EPSサプライヤの手札から外れる。	EPSサプライヤが公開proxyだけでOEM用途を定義できるという主張。	条件ごとに既存評価や既存仕様との対応を確認する。	既存RFQとの差分がないか、具体program入力が必要と記録する。
Q004	OUT001	製品企画; 商品企画	この観点は、既存カタログ、既存RFQ回答、既存顧客説明と何が違うか。	既存成果物との差分を直接確認する。	差分メモ	既存文書にない確認欄、禁止主張、用途別説明が出る。	既存文書の整形で終わる。	新規価値が確認済みであるという断定。	差分が出た箇所を30分agendaに残す。	OUT001のProceed度を下げ、別部署での用途確認へ回す。
Q005	OUT002	診断企画; サービス技術	既存DTC / freeze frame / extended dataだけで、この用途想定の使用contextをどこまで説明できるか。	診断説明境界として価値があるかを見る。	診断説明境界表	既存診断値だけでは説明が粗い箇所が出る。	既存診断で十分に説明できる。	DTC追加、故障予測、保証判断。	説明できる範囲と説明してはいけない範囲を分ける。	OUT002はStop候補にし、製品企画側の用途だけ残す。
Q006	OUT002	診断企画; サービス技術	DTCがない違和感、またはDTCがあっても使用contextが粗いケースで、顧客説明に使える言い方はあるか。	顧客説明へ転記できるかを見る。	顧客説明文サンプル	原因断定せず、使用contextの説明境界として使える。	責任転嫁や原因断定に見える。	駐車、凹凸、荒れた路面が故障原因であるという主張。	言ってよい表現と禁止表現を分ける。	顧客説明用途は落とし、サプライヤ内診断読み順だけに縮める。
Q007	OUT002	診断企画; サービス技術	診断読み順や追加確認項目に転記できるか。	成果物が診断企画の業務へ落ちるかを見る。	診断読み順メモ	既存診断フローに追加確認や注意文として入る。	診断読み順に入らず、一般論で止まる。	公開proxyから診断結果を推定できるという主張。	既存フローのどこに入るかを確認する。	OUT002はHoldに下げ、具体programが必要と記録する。
Q008	OUT002	診断企画; サービス技術	この説明境界は、DTC追加なしでも価値があるか。	DTC追加提案に戻らずに価値が残るかを見る。	既存診断活用メモ	既存値の読み方、説明境界、注意文として価値が出る。	DTC追加しないと価値が出ない。	新しいDTCで故障予測できるという主張。	DTC追加なしの最小サンプルを作る。	DTC追加テーマとして扱わず、この方向は弱いと記録する。
Q009	OUT003	品質改善; 評価企画; 顧客技術説明	荒れた路面、段差、連続振動、操舵入力を、既存NVH、耐久、路面評価とは違う確認観点にできるか。	路面分類や既存評価の言い換えで終わらないかを見る。	評価代表性確認表	既存評価で足りる条件と追加確認すべき条件を分けられる。	既存NVH、耐久、路面評価scenarioの言い換えで終わる。	荒れた路面がEPS故障原因であるという主張。	既存評価項目との対応表を作る。	OUT003は補助材料に下げる。
Q010	OUT003	品質改善; 評価企画; 顧客技術説明	field issueを使用条件別に読み直す入口として使えるか。	品質改善の成果物へ転記できるかを見る。	field issue読み直し観点	使用条件別に症状や説明境界を見直せる。	品質改善の既存分類に貼れない。	使用条件からroot causeを断定できるという主張。	既存field issue分類に仮列を追加する。	品質改善用途はStop候補にし、評価企画だけ確認する。
Q011	OUT003	品質改善; 評価企画; 顧客技術説明	顧客技術説明で、路面外乱由来の体感とEPS異常を混同しない境界に使えるか。	顧客説明の禁止主張として価値があるかを見る。	顧客説明境界メモ	原因断定を避けつつ、確認すべき条件を説明できる。	顧客説明に使うと責任転嫁に見える。	路面外乱ならEPS異常ではないという断定。	禁止主張リストへ転記する。	顧客説明用途は落とし、内部評価確認だけ残す。
Q012	OUT003	品質改善; 評価企画; 顧客技術説明	この観点は、車両全体NVHや路面分類ではなく、EPSサプライヤの手札に残るか。	EPSサプライヤ境界を確認する。	境界メモ	EPS評価、操舵感説明、診断説明境界に残る。	車両全体NVHや路面分類の話になる。	EPSサプライヤが車両全体路面分類を売れるという主張。	EPS側に残る項目だけ抽出する。	OUT003はArchive候補ではなく補助材料扱いに下げる。
Q013	OUT004	診断企画; サイバー担当; 顧客技術説明	通信異常があるとき、EPS診断値や操舵関連signalをどこまで信用してよいかを分ける必要があるか。	通信異常contextがEPS診断説明境界に残るかを見る。	診断信頼性境界表	信用してよい情報、追加確認が必要な情報、使ってはいけない情報が分かれる。	汎用IDSやCSMSの話だけになる。	汎用IDS商品、steering cyber product。	診断企画とサイバー担当の分担表を作る。	OUT004は境界候補としてHoldに下げる。
Q014	OUT004	診断企画; サイバー担当; 顧客技術説明	既存CSMS / TARA / SOC / IDSと、EPS診断説明の境界を分けられるか。	既存サイバー業務の言い換えで終わらないかを見る。	サイバー境界メモ	EPS診断説明に必要な境界だけを抽出できる。	既存CSMS、TARA、SOC、IDS運用の説明で足りる。	CSMSやTARAをEPS診断商品で置き換えるという主張。	EPS診断説明に必要な範囲だけ残す。	OUT004はサイバー商品化せず、禁止主張だけ残す。
Q015	OUT004	診断企画; サイバー担当; 顧客技術説明	通信異常とEPS故障を混同しないための顧客説明文にできるか。	顧客技術説明の成果物へ転記できるかを見る。	顧客説明文サンプル	通信異常時に言ってよいことと禁止主張が分かれる。	EPS故障や安全性を断定する文になってしまう。	通信異常ならEPS故障ではない、またはEPS故障であるという断定。	説明文を短い注意文へ変換する。	顧客説明用途は落とし、内部診断境界だけ残す。
Q016	OUT004	診断企画; サイバー担当; 顧客技術説明	この観点は、SbW安全証明やEPS品質証拠ではなく、診断信頼性境界として扱えるか。	禁止主張の境界を確認する。	禁止主張リスト	診断説明の信用境界として扱える。	SbW安全証明、EPS品質証拠、サイバー商品に広がる。	SbW安全保証、EPS品質証明、安全機能の代替。	OUT004を診断説明境界に限定する。	OUT004はStop候補にし、禁止主張だけ保存する。
