source_name	source_type	archive_use	new_hypothesis_use	limit	url
Bosch Cloud and Predictive Diagnostics	Supplier product page	既存remote diagnosticsがrisk/criticality、recommended next step、fault groupingを扱う反証	既存remote diagnosticsとの差分を検証する基準に使う	操舵系固有のDID/assist/thermal説明は公開情報では不明	https://www.bosch-mobility.com/en/solutions/software-and-services/cloud-and-predictive-diagnostics/
International Advanced Remote Diagnostics	OEM service page	fault code、severity、action plan、parts inventory、API connectionが既にある反証	OEM remote diagnostics workflowに説明を組み込む導線例として使う	EPS/SbW固有の内部状態説明は不明	https://www.international.com/services/my-international/advanced-remote-diagnostics
Geotab Remote Diagnostics	Fleet platform article	大量fault codeを理解しrepair priorityへ変換する既存workflow	既存platformがどこまで説明しているかの比較対象	steering-specific explanationの有無は不明	https://www.geotab.com/blog/remote-diagnostics/
Volvo Trucks Remote Diagnostics	OEM service page	diagnostic time reductionとuptime networkの既存例	OEM service networkに説明を流す導線の参考	engine/I-Shift/aftertreatment中心でsteeringは主対象でない	https://www.volvotrucks.us/our-difference/uptime-and-connectivity/remote-diagnostics/
GM Fleet OnStar API Services	OEM fleet API	DTCやdiagnostic dataをAPIで扱う導線があることの根拠	OEM API/networkにdata fieldが上がるかを見る参考	approved providerやplan依存でEPS固有DIDは不明	https://www.gmfleet.com/software/onstar/api-services
Smartcar real-time vehicle diagnostics	Connected vehicle API	DTC/system status APIとuser authorizationの例	data accessがconsent/API範囲に依存する根拠	EPS内部状態やservice outcomeは範囲外	https://smartcar.com/docs/getting-started/guides/real-time-vehicle-diagnostics
Platform Science Remote Diagnostics	Fleet platform article	effect-on-vehicle descriptions and action plansが既存remote diagnosticsにある反証	説明文をfleet workflowに出すUI/導線の参考	操舵系内部データ由来の説明ではない	https://www.platformscience.com/blog/the-power-of-remote-diagnostics-for-fleet-maintenance
Nexteer MotionIQ software suite	Supplier release	steering/chassis/tire healthとactual lifecycle dataをsupplierが扱うsignal	EPS/SbW supplierがcomponent data explanationを出す可能性の参考	顧客導入、data field、service outcomeは不明	https://www.nexteer.com/release/nexteer-unveils-its-motioniq-software-suite-for-intelligent-motion-control/
Nexteer Vehicle Health Management	Supplier product page	fleet downtimeやlifecycle dataをsupplier offeringが扱うsignal	field-to-engineering feedbackやbundle理解の参考	tire/VHM中心でEPS/SbW固有説明とは限らない	https://www.nexteer.com/software/vehicle-health-management/
Nexteer Tire Health Detection	Supplier product page	tire lifecycle dataとfleet uptimeのbundle signal	motion/chassis bundle内のsupplier-owned signal例	steering-specificではない	https://www.nexteer.com/software/tire-health-detection/
ZF Vehicle Health Monitoring	Supplier release	OEM cloudとsupplier cloud連携、chassis/drivetrain healthの例	OEM network参加とsupplier cloud連携の参考	特定EPS/SbW説明layerの証明ではない	https://press.zf.com/press/en/releases/release_92162.html
ZF Fleet Management uptime	Supplier fleet page	service alerts、predictive maintenance、fleet uptimeの既存例	MHQ004のoutput rubric比較対象	EPS/SbW内部説明ではない	https://www.zf.com/products/en/cv/ind/news/maximize_profitability__minimize_tco_with_zf_s_connectivity_solutions/uptime_fms.html
ASAM SOVD	Standard	remote/proximity/in-vehicle diagnosticsの標準化圧力	説明コンテンツを既存診断基盤に載せる前提の参考	platform/API自体は既存標準領域	https://www.asam.net/standards/detail/sovd/
