question_id	source_name	source_type	evidence_signal	supports	limits	confidence	url
MHQ003	European Commission vehicle data guidance	Policy / official guidance	The European Commission published automotive-sector guidance for implementing Data Act vehicle-data access rules, covering OEMs, suppliers, aftermarket service providers, and insurers.	vehicle data accessは制度上の論点になっており、supplierもstakeholderとして含まれる。	EPS/SbWサプライヤが特定DTC/DID、整備履歴、交換結果へ使えるとは言えない。	High for policy relevance / Low for EPS access proof	https://digital-strategy.ec.europa.eu/en/library/guidance-vehicle-data-accompanying-data-act
MHQ003	Auto Care vehicle data access issue	Industry association / right-to-repair	Auto Care argues modern vehicle maintenance and repair data is increasingly transmitted wirelessly to manufacturers, who can gate access and cost.	remote data accessはOEM gatekeeping問題になっており、第三者やサプライヤ単独利用は自明ではない。	advocacy sourceであり、EPS supplier固有の契約実態ではない。	Medium for access constraint	https://www.autocare.org/government-relations/current-issues/access-to-and-control-of-vehicle-data
MHQ003	GM Fleet OnStar API services	OEM fleet data API	GM Fleet offers OnStar API plans for fleet vehicle data, DTCs, comprehensive diagnostic data, and approved third-party providers under terms.	OEM API経由でfleet vehicle health / DTC dataへ触れる市場インフラはある。	approved provider / terms / plan依存で、EPS固有DIDやservice outcomeは見えない。	High for API existence / Low for supplier freedom	https://www.gmfleet.com/software/onstar/api-services
MHQ003	Smartcar real-time diagnostics	Connected vehicle API documentation	Smartcar shows DTC, system status, and odometer APIs using user authorization through Smartcar Connect.	DTCやvehicle healthはAPI化されており、service providersが使える可能性がある。	user authorizationとbrand/API範囲に依存し、EPS supplier internal signalsやrepair outcomeは範囲外。	Medium	https://smartcar.com/docs/getting-started/guides/real-time-vehicle-diagnostics
MHQ003	High Mobility car data API	Connected vehicle API platform	High Mobility exposes diagnostics, maintenance, dashboard lights, tire pressure, odometer, and brand-specific scopes/update frequencies.	vehicle data APIは存在するが、scopeとfrequencyがブランド依存であることが見える。	steering/EPS固有DID、freeze frame、交換結果は公開項目として目立たない。	Medium	https://www.high-mobility.com/car-data
MHQ003	ZF vehicle health monitoring	Supplier official release	ZF describes manufacturer cloud to ZF cloud data exchange using anonymous data from ZF systems, with ZF responsible for data interfaces.	Tier-1 supplierがOEM cloud連携でfield health analyticsを行う公開例として強い。	特定fleetに一般外販できるとは限らず、OEM partnership前提。	High for supplier pathway / Medium for generalizability	https://press.zf.com/press/en/releases/release_92162.html
MHQ005	Bosch cloud and predictive diagnostics	Supplier product page	Bosch cloud diagnostics provides fault descriptions, error codes, risk/criticality assessment, recommended next steps, grouping, and component localization.	DTCを運行・整備判断へ変換する一般価値は既存playerが既に強く扱う。	EPS/SbW固有のassist stateやSbW degraded stateまでは公開説明から不明。	High as counter-signal	https://www.bosch-mobility.com/en/solutions/software-and-services/cloud-and-predictive-diagnostics/
MHQ005	International Advanced Remote Diagnostics	OEM remote diagnostics service	International provides fault code reporting, severity ratings, action plans, parts visibility, service center mapping, and API connections into fleet platforms.	fleet向けremote diagnosticsはrepair priority、parts、service routingまで既に統合している。	操舵系固有のdomain triageは見えないが、一般層の差分は薄い。	High as counter-signal	https://www.international.com/services/my-international/advanced-remote-diagnostics
MHQ005	Geotab remote diagnostics	Fleet platform article	Geotab says modern vehicles produce thousands of fault codes and remote diagnostics helps understand faults and prioritize repairs with health reports, action plans, and alerts.	raw DTCだけでは粗いが、そこを解釈しpriority化する既存platformがある。	engine/transmission/brake/controller一般であり、steering-specific差分は未確認。	High for raw-DTC insufficiency and counter-signal	https://www.geotab.com/blog/remote-diagnostics/
MHQ005	Volvo Trucks Remote Diagnostics	OEM service page	Volvo monitors engine, I-Shift, and aftertreatment to avoid unexpected downtime and claims diagnostic-time reduction.	OEM uptime networkが既に診断時間短縮を提供しており、fleet側の購買導線は確立済み。	steering/chassisは主対象として出ない。	Medium-High as counter-signal	https://www.volvotrucks.us/our-difference/uptime-and-connectivity/remote-diagnostics/
MHQ005	OnStar API DTC notification	OEM fleet data API	OnStar plans include diagnostic trouble codes and comprehensive diagnostic data, and OnStar Canada describes high-severity DTC notifications with corrective action.	DTC通知とcorrective actionはOEM/API側で既に商品化されている。	steering/EPS固有判断やservice outcome loopは不明。	Medium-High	https://www.onstar.ca/en/business-solutions/api-data-services
MHQ005	ASAM SOVD	Diagnostics standard	ASAM SOVD provides a uniform API for diagnostic content across HPCs, applications, classic ECUs, remote/proximity/in-vehicle diagnostics, fault information, data access, and updates.	次世代診断ではremote/proximity/in-vehicle diagnosticsの標準化が進み、汎用API層は標準/ツール領域に寄る。	EPSサプライヤ価値はplatformではなく、診断contentの意味づけに限定される。	High for standardization pressure	https://www.asam.net/standards/detail/sovd/
