row_id	artifact_type	field_or_question	meaning	existing_monitor_sufficient_if	gap_exists_if	payload_use	proceed_signal	hold_signal	stop_signal	what_not_to_claim	confidence
CIVC001	check_item	timeout DTC	timeout閾値、確定条件、発生時contextを見る	閾値未満の散発timeoutもextended dataで説明できる	散発timeoutがfallback近傍で消える	monitor_status and observed_context	Sub-threshold timeout near fallback remains without root cause claim	timeout DTCで十分に同じ文脈が残る	散発timeoutが残らない	外部ECU原因断定、network診断、security代替、EPS無罪、交換時期、RUL、安全保証、root cause、保証費削減	Medium
CIVC002	check_item	bus-off / error counter	bus-off成立とerror counter推移を見る	error counter増加区間もeventとして残る	bus-off未満のbus品質変動が残らない	observed_context	Error-counter-only intervals can be referenced as context	bus-off記録で十分	counter変動が一切残らない	同上	Medium
CIVC003	check_item	invalid value DTC	invalid判定の確定条件と履歴を見る	intermittent invalidもoccurrence counterで数えられる	断続invalidが確定に至らず消える	observed_context and recurrence	Intermittent invalid recurrence remains countable	invalid DTCで十分	断続invalidが残らない	同上	Medium
CIVC004	check_item	E2E保護status	E2E失敗率、閾値、event化条件を見る	E2E失敗event化で近接説明まで足りる	失敗率の揺らぎそのものは残らない	retained_fields	E2E result class can be retained near fallback	E2E eventで十分	E2E結果が読み出せない	同上	Medium
CIVC005	check_item	fallback state	fallback遷移がDTCなしで残るか、signal validityと紐づくかを見る	fallback遷移がvalidity contextと同一recordで残る	fallback遷移だけ残り依存contextとの近接が消える	relation_to_function	Fallback transitions link to validity context in same record	紐づけが既存設定で可能	fallback遷移がDTCなしでは残らない	同上	High
CIVC006	check_item	IdsM security event	メッセージ異常がsecurity eventとして定義済みか、収集・保存・送信の範囲を見る	IdsM出力で機能可用性の説明まで足りる(その場合Stop)	securityの言葉でしか残らず、fallback可用性の文脈がない	boundary(役割分担の明文化)	Availability context is distinct from security event and both roles are written	役割分担がprogram単位でしか書けない	IdsMと同じものを二重に作ることになる	同上	Medium
CIVC007	check_item	key cycle recurrence	DTC未満の揺らぎの再発がkey cycleをまたいで残るかを見る	occurrence counterがDTC未満eventも数える	DTC未満の再発頻度が残らない	recurrence	Below-DTC recurrence is countable	confirmed後しか数えない	再発が一切残らない	同上	High
CIVC008	definition_gate	依存signal classの定義	依存signal、validity判定、fallback stateをEPS製品仕様として(OEM資料なしで)定義できるかを見る	-	-	dependency_signal_class	EPS入力境界の分類として定義できる	programごとにしか定義できない	定義にOEM network資料が必須	同上	High
CIVC009	usage_gate	部署転記先	診断企画、品質改善、顧客技術説明のうち2部署以上で具体的成果物が挙がるかを見る	-	-	-	2部署以上で具体名が挙がる	1部署以下	転記先がない	同上	Medium
CIVC010	decision	現時点判断	条件付きHold(Proceed寄り)を維持。docs/123のpower monitor照合の判定後に、同じsheet型で照合する	-	-	-	CIVC001-009のgapが2項目以上かつCIVC006/008を満たす	依存定義またはIdsM役割分担が未確定	EPS入力境界の観測だけでは説明が成立しない	同上	Medium
