check_id	evidence_question	why_it_matters	public_or_proxy_input	required_internal_signal	likely_existing_diagnostic_source	can_public_data_answer	assumed_existing_coverage	gap_if_not_covered	conditional_decision	confidence	next_internal_check
GAP001	イベント時の車速と操舵角は残るか	低速高操舵文脈そのものを説明する最低限の事実	LSHSD-001/003/005 show 5-8 m/s and high steering angle/steerFiltered	vehicle speed; steering angle	DTC freeze frame; extended data	No	Likely covered	車速/操舵角が残らないなら顧客説明が抽象化する	既存で残るなら追加不要	Medium	対象EPSの主要DTC freeze frame項目にvehicle speedとsteering angleがあるか確認
GAP002	assist commandとactual motor currentの差は残るか	「要求したassistに対して実際に出せたか」を説明する中心証跡	comma has steerFiltered only; no EPS current	assist command; motor current; current tracking error	Internal control logs; possibly extended data	No	Unknown	assist不足が電流制限/制御応答/外部負荷のどれか切り分けにくい	Candidate add-on if absent	Medium	現行snapshotにassist command/current/current tracking errorがあるか確認
GAP003	current limit / derating stateは残るか	低速高負荷でassist余裕が詰まった理由を説明する鍵	LSHSD-001 has high proxy demand but no EPS state	current limit flag; derating level; assist limitation state	DTC extended data; internal monitor state	No	Unknown to likely partial	「assistが重い」時に制御上の上限到達か故障か説明しにくい	Candidate add-on if absent	Medium	current limitまたはderating stateがDTCに紐づくextended dataに入るか確認
GAP004	バッテリ電圧/内部電源電圧は残るか	電源起因のassist制限や誤検出を切り分ける	No direct voltage in comma window	battery voltage; ECU internal voltage; voltage dip flag	DTC freeze frame; low/high voltage DTC extended data	No	Likely covered	電源問題が疑われる時に走行文脈だけ残っても原因説明できない	既存で残るなら追加不要	Medium	low/high voltage DTC以外のEPS assist関連DTCでも電圧が残るか確認
GAP005	EPS thermal stateは残るか	熱によるderating/assist制限を説明する	No direct temperature in comma window	ECU temperature; motor temperature; thermal derating flag	DTC freeze frame; extended data	No	Likely partial	熱制限と制御要求の関係が説明できない	Possible add-on only if assist-related DTC lacks thermal data	Low-Medium	assist loss/assist limited系DTCのsnapshotにthermal stateがあるか確認
GAP006	torque sensor residual / plausibility marginは残るか	低速高操舵時のセンサ異常/コネクタ問題を切り分ける	Market cases include torque sensor / connector contexts; comma has no raw sensor redundancy	torque sensor A/B; residual; plausibility margin; connector voltage	DTC extended data; internal monitor state	No	Unknown	センサDTCが出ても、どの程度のズレか/一過性かが説明しにくい	Candidate add-on if related cases exist	Medium	トルクセンサ関連DTCのextended dataにraw/redundant/residual値があるか確認
GAP007	assist mode / state transition edgeは残るか	assistが制限/停止/復帰した瞬間を説明する	LSHSD windows only show normal demand; NHTSA pain mentions sudden loss/return in some contexts	assist mode; fail-safe state; enable/disable edge; last state transition reason	Internal monitor state; event memory	No	Unknown	突然重くなった/復帰したというdriver painをDTC単発で説明できない	Candidate add-on if not covered	Medium	assist state transition eventがNvMまたはextended dataに残るか確認
GAP008	DTC発火前1-3秒の最小summaryは残るか	freeze frameが発火瞬間のみだと、直前の高負荷文脈を失う	LSHSD-001/003/005 provide representative pre-event demand windows	rolling max/min summary over 1-3 s: speed; steering angle; assist command; motor current; voltage min; current limit count	Event memory; custom extended data	No	Usually not covered unless custom event memory exists	発火瞬間だけでは、制御努力が積み上がった文脈を説明できない	Top candidate add-on if absent	Low-Medium	既存event memoryが直前summaryを持つか、NVMに数値summaryだけ保存可能か確認
GAP009	occurrence counter / operation cycleは残るか	一過性か反復かを判断する	No direct public proxy	occurrence counter; operation cycle; ignition cycle; aging counter	DEM/UDS DTC status and extended data	No	Likely covered	単発/再発の区別ができない	既存で残るなら追加不要	High	対象DTCのoccurrence/aging/operation cycle扱いを確認
GAP010	返却品解析readerで読めるか	OEMサービスツールではなくサプライヤ解析で使えるかが実務上重要	Repo assumption: supplier-side analysis first	supplier internal DID/readout; engineering reader coverage	Supplier internal tool; UDS DID; ODX/engineering DID	No	Unknown	ECUに残っていてもサプライヤが読めなければ解析に使えない	Proceed only if supplier readout path exists	Medium	返却品解析時に読めるDID/readerとOEM承認境界を確認
GAP011	NVM容量/書換頻度に収まるか	追加証跡が実装可能かを決める	No direct public proxy	NVM bytes; write frequency; debounce; event trigger; retention policy	NvM design constraints	No	Unknown	波形保存のような重い案は現実性が落ちる	Only keep scalar summaries, not waveforms	Medium	1イベントあたり保存可能byteと最大保存件数を確認
GAP012	顧客品質報告で使える表現になるか	証跡があっても断定しすぎると責任リスクになる	Public pain is driver-visible, not root cause	report wording: observed facts; not root cause; uncertainty label	Quality report template; customer format	No	Unknown	証跡が原因断定として読まれ、逆にリスクになる	Use fact-summary wording only	Medium	「観測事実」「未確認」「推定」を分けた報告テンプレートに落とす
