id	department	plain_question	why_it_matters	evidence_to_show	proceed_signal	kill_signal	next_action_if_proceed
ULC008-Q01	製品企画	この使用負荷classは、用途別のEPS価値説明に使えるか。	製品企画に刺さらないなら、ULC008は単なる評価・診断メモで終わる。	低速・大舵角・凹凸が重なる使用条件の1枚sample。低速高操舵proxyではcandidate windowが231件あること。	都市配送、駐車操作が多い用途、狭い市街地などの価値説明に使えると言える。	既存カタログや既存RFQ回答で十分、または用途別価値に転記できない。	製品企画向け1枚に、用途、価値説明、禁止主張を整理する。
ULC008-Q02	製品企画	既存の低速取り回し価値説明と何が違うか。	既存文言の言い換えなら新しい付加価値にならない。	ULC008は故障予測ではなく、低速・大舵角・凹凸が重なるusage classとして扱うこと。	既存説明にはない「使われ方class」や「路面外乱との組み合わせ」が価値になる。	既存説明と同じで、追加の判断や説明が増えない。	PVC001を用途別usage profile整理として残す。
ULC008-Q03	製品企画	このclassを商品価値として話すとき、故障しにくいという誤解を避けられるか。	製品企画で使えても、故障予測や安全保証に見えるなら危ない。	禁止主張: 故障原因、残寿命、交換時期、保証費削減、安全性を言わない。	「低速取り回し時の体感・説明しやすさ」など、故障以外の価値で言える。	故障しにくさ、保証費、寿命予測に寄せないと価値が説明できない。	使える表現と禁止表現のセットを作る。
ULC008-Q04	診断企画	DTC / freeze frame / extended dataだけで、低速・駐車・凹凸contextを十分説明できるか。	既存診断で十分ならULC008の差分はない。	DTCは見えない前提。公開proxyで見えるのは低速、大舵角、凹凸/振動proxyまで。	既存診断だけでは使用contextが粗く、補助説明の余地がある。	既存DTC/freeze frameに車速、操舵状態、assist state、temperature、発生条件が十分残り、同じ説明ができる。	診断企画向け1枚に、既存診断で見える/見えないcontextを整理する。
ULC008-Q05	診断企画	顧客が駐車時の操舵感・音・振動を訴えたとき、使用context labelは説明補助になるか。	実際の診断・顧客説明で使えなければ価値がない。	駐車場相当class、低速高操舵window、路面凹凸proxyの関係。	原因断定ではなく、使用条件の可能性を説明する補助になる。	サービスや顧客説明では使えない、または責任転嫁に見える。	顧客説明ではなく、内部診断補助に限定する。
ULC008-Q06	診断企画	このclassはDTCを増やす話ではなく、診断読み順や説明境界の話として扱えるか。	DTC追加や故障予測に飛ぶと現行ルールから外れる。	ULC008はusage-context classifierであり、故障検出器ではない。	診断読み順、説明境界、禁止主張の整理として使える。	DTC追加、故障予測、保証判断に寄せないと使い道がない。	診断読み順/説明境界のsampleへ落とす。
ULC008-Q07	品質改善	field issueを使用条件別に読み直す入口として使えるか。	品質改善に使えるならPVC001の価値が広がる。	ULC008は低速・大舵角・凹凸・駐車場相当contextを分類するだけで、原因断定はしない。	返却品解析や市場課題の前段で、使用条件別の見立てとして使える。	OEM保証DB、fleet data、service outcomeがないと何も判断できない。	品質改善は二次展開に置き、最初は製品/診断企画で確認する。
ULC008-Q08	評価企画	既存HILS/bench/vehicle評価は、駐車場相当の低速・大舵角・凹凸classを代表しているか。	既存評価で完全に代表済みなら新しい価値は弱い。	ULC008の4要素: 低速、大舵角、操舵頻度、凹凸/振動proxy。	既存評価の代表性確認やgap確認に使える。	既存評価scenario名の言い換えにしかならない。	評価企画には二次展開として、代表性/gap確認表を作る。
ULC008-Q09	全体Kill Gate	4部署のうち2部署以上が、業務判断に使えると言えるか。	PVC001を続ける最低条件。	製品企画、診断企画、品質改善、評価企画の部署別回答。	2部署以上が具体的な利用場面を挙げる。	0〜1部署しか刺さらない。	PVC001をContinueし、次は製品企画/診断企画向け2枚に分ける。
ULC008-Q10	全体Kill Gate	このsampleを見た人が、故障原因や交換時期の話だと誤解しないか。	誤解されるなら外に出せない。	禁止主張を同じ画面に置いたsample。	使用負荷classであり故障予測ではないと理解される。	原因断定、責任転嫁、保証判断に見える。	表現を修正する。修正不能ならKill。
