triage_id	visibility_area	what_should_be_visible_now	required_internal_artifact	time_to_check	quick_question	proceed_signal	kill_signal	next_action_if_gap	owner
FAM08-QV01	Market pain fit	FAM08をTesla固有ではなく、対象EPSでも起こり得るstop-to-launch / low-speed assist scenarioとして扱えるか	Public recall summary; target EPS use-case / vehicle operation profile	15-30 min	対象EPSは停止後発進中にassist demandを持つか	Stop-to-launch steering assist demandが対象EPSの通常使用/評価条件に入る	対象EPSにstop-start/launch/low-speed assist exposureがない	FAM08をKillし、FAM02 low-speed high-effortへ切替	Program / validation lead
FAM08-QV02	HILS scenario duplication	既存HILS/bench test planにstop-to-launch + steering input + assist demandがあるか	HILS test list; bench script index; validation plan	30-60 min	既存test case名としてFAM08相当があるか	同等testがなく、新しいnamed scenarioとして追加余地がある	同等testがあり、pass/fail/DTC/freeze frame確認も含む	既存testとの差分だけをcoverage matrix化	Validation / HILS
FAM08-QV03	Diagnostic snapshot sufficiency	既存DTC/freeze frame/extended dataでFAM08の主要factを説明できるか	DTC spec; freeze frame definition; extended data list; engineering reader output	60-120 min	speed/standstill/voltage/current/assist state/failsafe/calibrationのうち何が残るか	主要factの一部が未coveredで、説明/評価gapが見える	主要factが既に十分残り、readerで説明可能	Gap項目だけをdiagnostic coverage reviewへ起票	Diagnostic engineering
FAM08-QV04	Assist delivery explainability	assist command、actual current、current limit、current trackingが比較できるか	Motor control monitor list; calibration monitor; DTC extended data	60-120 min	assistが要求された/制限された/出せなかった、を説明できるか	command-vs-currentまたはlimit stateが見えず、coverage gapがある	既存monitorとextended dataで十分説明できる	低帯域scalar fact候補を1-3個に絞る	Motor control / diagnostics
FAM08-QV05	Power transient explainability	停止後発進時のvoltage / overvoltage / reset / brownout文脈が見えるか	Power-stage monitor; reset history; overvoltage DTC; power HILS script	60-120 min	assist loss/limit時点の電源文脈が残るか	電源過渡がHILSで注入可能だが診断snapshotに残らない	電源過渡とreset/overvoltageが既存DTC/extended dataで十分残る	bench/HILSとdiagnostic snapshotの対応を整理	Power electronics / diagnostics
FAM08-QV06	Control-state transition visibility	final DTCだけでなくassist/failsafe state transitionを見られるか	EPS state machine; DEM event memory; NvM counters; reader DID list	60-180 min	transition edgeやoccurrence countが低帯域で残るか	state transitionが見えず、低帯域event factの余地がある	既存event memoryでtransition/occurrenceが十分残る	high-rate waveformではなくscalar transition factで検討	Control software / diagnostics
FAM08-QV07	Calibration mapping	software/calibration versionをscenario behaviorやremedyに紐づけられるか	Software DID; calibration ID; release notes; production traceability	30-60 min	旧/新calibrationでFAM08 behavior差分を比較できるか	version-to-behavior mappingが弱く、release gate用matrixに価値がある	release processでscenario evidenceまで既に紐づく	coverage sampleにrelease gate欄を追加	Software calibration
FAM08-QV08	Program reuse	同じchecklistを2つ以上のEPS program/generationに適用できるか	Program A/B DTC lists; HILS library; platform diagnostic spec	Half day	項目名や判定基準を大きく変えずに横展開できるか	2 programで同じrow構造が使える	各programで完全に作り直しになる	P1 assessmentの対象をmulti-program comparisonにする	Platform / program lead
FAM08-QV09	Business workflow fit	coverage matrixがprogram review / diagnostic design review / release gateに貼れるか	Review template; release gate checklist; diagnostic review agenda	30-60 min	既存会議体の資料にそのまま入るか	既存reviewで使う表として受け入れられる	資料の置き場所がなく、RCA/8D転記しか用途がない	想定会議体とdecision ownerを明記	Program / diagnostic lead
FAM08-QV10	Immediate decision	今日時点でProceed/Hold/Killのどれかを判定できるか	QV01-QV09 results	15 min	Gapが3つ以上あり、かつ既存reviewに貼れるか	Proceed: 3+ gaps and review workflow fit; Hold: internal artifacts missing; Kill: duplicate/no workflow	Kill if duplicate HILS/DTC review or no program workflow	ProceedならFAM02/FAM11へ展開、Holdなら不足artifact request、Killなら仮説修正	Business owner
