check_item	filled_status	evidence_boundary	filled_answer_for_thermal_limit	required_program_field_or_artifact	owner	proceed_signal	kill_signal	confidence	pdca_result	next_action	eps_supplier_decision
Readable EPS/SbW DTC	Program-required	公開情報ではDTC/APIの存在は確認できるが、EPS/SbW固有DTC名までは確認できない。	RDI006では、assist limitationまたはthermal limitに関連するEPS/SbW DTCがremote diagnosticsまたはservice toolへ出ることを最低条件に置く。	EPS/SbW DTC list、DTC status、timestamp、active/history status。	EPS/SbW diagnostics engineering and OEM remote diagnostics	操舵系DTCがremote caseまたはservice toolに入り、service noteへ転記できる。	汎用system statusしか出ず、操舵系DTCが見えない。	Medium	Unknownをprogram-requiredに変換。DTCが見えないなら即Stop。	対象programのDTC export項目を確認する。	EPSサプライヤはDTC意味説明まで。DTC発生だけで運行可否や交換要否は言わない。
Freeze frame / extended data	Program-required	公開APIはDTCやsystem status中心。freeze frame / extended dataは公開情報では未確認。	DTC発生時のvehicle speed、battery voltage、ECU temperature、motor current、steering activity、assist stateが残れば、単なるDTC通知から状態説明へ進める。	Freeze frame項目表、extended data record、remote upload可否、service tool表示可否。	EPS/SbW diagnostics engineering and OEM diagnostic platform	速度、電圧、温度、電流、操舵負荷の一部がDTC発生時に紐づく。	DTC名とtimestampだけで、発生時の状態が残らない。	Medium	最重要Gateに昇格。ここが空なら差分はほぼ消える。	対象programでfreeze frame / extended dataの読み出し可否を確認する。	EPSサプライヤは発生時状態の説明と追加確認項目を出す。原因断定はしない。
Assist / limit state	Program-required	公開remote diagnosticsではassist stateやlimit stateの露出は確認できない。	assist limitation active、thermal derate active、cool-down後normal、再発counterあり/なしを読めるなら、DTCのseverityだけでなく次に読むDIDを変えられる。	Assist state DID、limit state DID、thermal derate flag、assist limit duration、event counter。	EPS/SbW controls and diagnostics engineering	同じDTCでも、limit解除済みか再発ありかで追加DID読み順やservice noteが変わる。	stateが読めず、DTC active/historyだけで判断する。	Medium	差分の核として保持。内部状態が読めないなら既存diagnosticsとの差分は弱い。	assist / limit stateのDID候補と権限を確認する。	EPSサプライヤは状態の意味と読み順を出す。安全保証や運行可否はOEM側。
Motor current / thermal indicators	Program-required	公開情報だけではEPS/SbW内部のmotor currentやthermal model値は確認できない。	peak motor current、thermal model value、ECU temperature、limit durationが読めれば、過負荷一過性か再発懸念かの説明材料になる。	Motor current DID、ECU temperature DID、thermal model value、limit duration、thermal event counter。	EPS/SbW product engineering and diagnostics engineering	過負荷一過性、短時間再発、電源/温度/負荷の追加確認を分けられる。	温度・電流が読めず、thermal limitの説明がDTC名の言い換えになる。	Medium	UsefulからCritical寄りへ修正。thermal caseでは内部温度/電流がないと弱い。	thermal関連DIDとservice tool表示範囲を確認する。	EPSサプライヤは負荷/温度の読み方を示す。耐久寿命や交換時期は予測しない。
Software / calibration ID	Program-required	既存remote diagnosticsはsoftware updateやcampaignを扱う可能性があるが、EPS/SbW状態説明との接続は未確認。	software/calibration ID、variant coding、assist map version、thermal protection threshold versionが読めれば、既知calibrationか対象外variantかを確認できる。	Software part number、calibration ID、variant coding、thermal protection parameter version、release note link。	EPS/SbW software/calibration and OEM service engineering	状態説明がsoftware/calibration確認へつながり、OEM手順に転記できる。	IDがservice workflowへ出ず、状態説明とcalibrationが接続しない。	Low to Medium	価値はあるが内部資料依存が強い。sample上は補助Gateに置く。	software/calibration IDのremote/service tool露出を確認する。	EPSサプライヤはIDと状態説明の対応を示す。OTA判断やcampaign判断はOEM側。
Existing remote diagnostics action plan	Public-supported but program-specific	公開情報上、既存remote diagnosticsはfault description、severity、action plan、service routing、parts preparationをかなり扱う。	RDI006では既存action planを「入庫案内、点検、service center案内、parts preparation、generic inspection」と仮置きする。	既存OEM action plan、remote diagnostics case format、dealer instruction、severity rubric。	OEM remote diagnostics and fleet service	既存action planを見た上で、EPS/SbW追加説明の差分を行単位で示せる。	既存action planが見られず、差分比較ができない。	High for public counter-signal / Medium for program detail	PDCAで反証側として固定。既存が強いのでDTC要約は価値なし。	対象programの既存action plan例を入手する。	EPSサプライヤは既存action planの置換ではなく補足だけを狙う。
Supplier additional explanation	Conditionally filled	4列sampleでは追加DID読み順、cool-down後確認、再発counter確認、software/calibration確認、禁止主張を出せる形にした。	追加説明は「何を先に読むか」「どう表現すると危ないか」「どの状態なら追加確認へ回すか」に限定する。	Additional DID read order、state explanation text、do-not-claim list、service note snippet。	EPS/SbW diagnostics, field quality, customer technical interface	既存action planにない追加DID読み順や注意文をservice noteへ入れられる。	追加説明がDTC descriptionの言い換えだけになる。	Medium	PDCAで出力を狭めた。価値は説明文ではなく読み順と禁止主張。	1ケースのservice note文面を作り、既存action planとの差分を比較する。	EPSサプライヤはcomponent-specific explanationを出す。顧客向け最終文言はOEMが持つ。
Service note destination	Program-required	Volvo ASISTやInternationalのworkflowは参考になるが、EPS/SbW supplier説明の転記先は公開情報で未確認。	転記先はOEM service note、dealer diagnostic worksheet、remote diagnostics case comment、service engineering ticketのいずれかが必要。	Service case schema、dealer worksheet field、service engineering ticket field、remote diagnostics comment field。	OEM service engineering and dealer diagnostic support	追加説明が実際の作業欄に入り、dealerやservice engineeringが読む。	転記先がなく、説明がPDFや内部メモで止まる。	Low to Medium	事業化Gateに昇格。説明が作れても転記先がなければ弱い。	対象programのservice case / worksheet項目を確認する。	EPSサプライヤは転記しやすい短文と確認項目を作る。service workflow自体はOEM側。
Service outcome feedback	Program-required and strongest business gate	公開情報ではfault historyやreportsはあるが、supplier説明ロジックへ整備結果が戻る証拠は弱い。	再発有無、交換有無、作業時間、追加DID読了、dealer commentが戻れば、説明ロジックを改善できる。	Service outcome field、repair result、parts replaced flag、repeat visit flag、labor time、dealer comment、DID read completed flag。	OEM service engineering, field quality, warranty/quality interface	説明が診断時間短縮や再発確認に効いたかを後で見られる。	alertやaction planを出すだけで、修理結果が戻らない。	Low	最強のKill Gateとして残す。ここがないと継続的な商品価値は弱い。	service outcomeが戻る最小項目をprogram側に確認する。	EPSサプライヤはfeedbackを診断content改善に使う。保証判断や補償判断は持たない。
Responsibility boundary	Filled as guardrail	公開標準や既存調査から、サプライヤが運行可否や安全保証を持つべきではないことは明確。	サプライヤは状態説明、追加DID読み順、禁止主張。OEM/serviceはseverity統合、action plan、運行可否、顧客通知、保証判断。	Responsibility matrix、approved wording、do-not-claim list、OEM owner for action plan and customer notice。	EPS/SbW supplier and OEM service/legal/diagnostics	説明、action plan、service decisionの責任分担が文書化できる。	サプライヤが走行安全、root cause、交換時期、運行可否を断定する必要がある。	High	PDCAで先に固定。ここを守れない場合は即Stop。	責任分担表と禁止文言をservice note sampleに添付する。	EPSサプライヤは言えることと言ってはいけないことを提供する。
