hypothesis	current_status	why_killed_or_deprioritized	do_not_reclaim	reopen_condition	llm_rule
EPS failure prediction / degradation notification	Kill	EPS単体で個車故障可能性を説明するには、OEM/fleet/service data、保証ラベル、外部要因が必要	故障予測、劣化兆候、保証費削減	OEM/fleet/service dataと故障ラベルを使える	現行条件では出さない
ECU additional log / event memory alone	Kill	DTC、freeze frame、extended data、DEM/UDS、NvMと被り、利用先がないログ追加は価値にならない	ログを増やせば価値になる	不足fieldと転記先帳票が確認できる	利用先が先、ログは後
RCA / 8D case pack as main product	Kill	案件依存、OEM依存、内部資料依存が強く、スケールしにくい	8D自動化、root cause断定	炎上/滞留案件があり、不足factが品質報告に転記できる	主商品に戻さない
EPS Diagnostic / Robustness Coverage Benchmark	No-Go / Stop	公開情報では既存HILS/DTC/freeze frame/release reviewとの差分を示せない	公開データだけでcoverage不足を断定	内部資料を使える条件で4項目を確認できる	内部資料なしでは止める
Coverage Benchmark SaaS / HIL tool	Kill	既存HIL/SIL/validation/diagnostic toolingが強く、Repoの差分はツールではない	ツール化、SaaS化	既存ツールに入らない明確な横断gapがある	ツール案に戻さない
Public market scenario library alone	Kill	公開事例整理だけでは有料価値が弱く、事例紹介で終わる	公開事例要約を商品にする	設計/診断/RFQ/品質報告へ直接転記できる	入力としてだけ使う
RFQ / design review pack alone	Kill / historical	公開情報だけでは一般論になりやすく、実RFQや既存レビューとの差分が見えない	RFQ一般論を商品にする	対象RFQや既存レビュー様式がある	単体主商品にしない
Steering ECU software/cyber evidence pack	Kill-leaning	TARA/SBOM/CVE/ISO21434/R155/R156は既存プレイヤーと既存業務が厚い	汎用cyber/SBOM商品	steering ECU固有OEM問い合わせと既存回答不足がある	OEM回答翻訳だけ最後に残す
SBOM / vulnerability response alone	Kill	SBOM生成/管理/CVE監視は既存ツール領域。SBOMだけでは価値にならない	SBOM作成を商品にする	EPS機能影響、release ID、OEM回答文への接続不足がある	単体では出さない
SOVD / next-generation diagnostics main product	Kill as main / extension only	OEM診断基盤、API、ODX/UDS変換は既存標準・既存ツール領域	OEM診断基盤所有、SOVDでRCA改善	EPS診断コンテンツの公開/制限/権限に余地がある	extensionとしてだけ扱う
Public recall / ODI / TSB monitor alone	Kill as product / input only	市場シグナル整理だけでは有料価値が弱い	市場モニタを単体商品にする	他成果物の設計質問/診断質問/禁止主張に接続できる	入力としてだけ使う
Steer-by-wire safety / redundancy / cyber evidence pack	No-Go	市場変化はあるが、安全設計、認証、診断、ソフト更新、顧客説明には既存業務の持ち主がいる	SbW evidence packを汎用外販にする	特定案件で既存資料をOEM向け1枚へつなげない痛みがある	汎用外販にしない
Wheel-side steering unit standalone offer	Kill-leaning	部品は重要だが、単独商材にすると安全/認証/診断資料の要約になりやすい	部品名を商品名にする	異常時説明1枚が既存資料の要約を超える	平易な説明に留める
Kaggle as EPS field failure prediction	Kill	Kaggleの公開CAN/OBD/steering angleデータには、EPS内部故障ラベル、DTC、freeze frame、assist電流、motor電流、limit状態、保証ラベルが足りない	KaggleでEPS故障予測や劣化兆候を実証する	EPS故障ラベルと診断情報を持つ公開データが見つかる	公開データは使用条件proxyまでに留める
Kaggle competition hidden demand for supplier-owned process/validation data	Explore	Bosch Production Line PerformanceとMercedes-Benz Greener Manufacturingは、企業が製造不良予測や評価時間短縮を目的変数として外に出した課題であり、EPSサプライヤの製造/EOL/bench/HILSデータに寄せやすい	すぐ外販商品化、保証費削減、field failure prediction	公開コンペで業務転記先を示せ、製造品質/評価計画の利用者が具体化する	Kaggleはデータではなく隠れた需要として読む
Kaggle/Bosch pre-shipment quality screening as main EPS product value	Branch only	出荷前品質スクリーニングは製造品質、EOL検査、工程改善の話であり、EPS製品仕様やOEM向け製品付加価値ではない	EPS製品価値として主仮説にする	製造品質分析サービスとして別テーマに切り出す場合	需要調査の枝に留め、本題はEPS製品価値へ戻す
