id_type	id	status	confidence	plain_conclusion	evidence_base	buyer_user_fit	why_not_stronger	next_action	kill_or_merge_condition
PVC	PVC001	Final: internal review only / no external offer	Medium	使用負荷classの先読みは、公開proxyだけでは外販商品として進めない。ULC008とULC004をサプライヤ内レビュー材料としてだけ残す。	KGL003/005/006/007/008; ULC001/004/008; docs/90; docs/91; docs/92; docs/94; docs/95	製品企画=Potential; 診断企画=Potential; 品質改善=Secondary; 評価企画=Secondary	公開proxyだけではEPS内部状態、DTC、freeze frame、交換結果、既存業務との差分が見えない。	外部調査は止める。サプライヤ内レビューを行う場合だけ、ULC008の2枚sampleを製品企画・診断企画に見せる。	製品企画と診断企画の両方に具体的用途がなく、既存資料で十分なら完全Archive。
PVC	PVC002	Final: merged / closed	Medium	操舵要求 x 路面・振動exposureは独立テーマにせず、PVC001内のULC004として閉じる。	KGL005/006/007/008; ULC004/005/006; UF011/012/013/017	品質改善=Potential; 評価企画=Potential; 顧客技術説明=Risky	独立した買い手、意思決定、成果物が見えない。	ULC004の補助材料としてだけ使う。	ULC004がサプライヤ内レビューで独立した業務判断を生まなければClose維持。
PVC	PVC003	Final: merged / closed	Medium	都市/駐車場の低速高操舵profileは、ULC008/ULC001の用途contextとして閉じる。	KGL003/005/007/008; ULC001/002/003/008; UF001/002/018/019	製品企画=Potential; 診断企画=Potential	単独だと都市走行一般論や駐車操作一般論に落ちる。	ULC008の用途contextとしてだけ使う。	独立商品にしない。ULC008と分ける意味がなければClose維持。
PVC	PVC004	Final: boundary material only / no product	Medium	通信異常contextは商品候補ではなく、EPS故障と通信異常を誤認しないための診断信頼性・禁止主張の境界材料としてだけ残す。	KGL004/011; UF026/027/028/029/030; data/pvc004_communication_boundary_deep_dive.tsv	診断企画=Potential; サイバー担当=Potential; 顧客技術説明=Risky	既存CSMS/TARA/SOC/IDS領域と重なりやすい。	診断企画がDTCやfreeze frameの信用境界に転記できると言った場合だけ精緻化する。	EPS診断説明に転記できず、汎用IDS話にしかならなければArchive。
PVC	PVC005	Final: out of current scope / archive	Medium	評価時間予測は予測対象が明確だが、実使用価値ではなく評価効率テーマなので現本線外。	KGL002	評価計画=Potential; HILS/bench=Potential; release management=Potential	既存計画ツールや試験管理の言い換えになり得る。	現本線では深掘りしない。	評価効率を別テーマとして再開しない限りArchive。
PVC	PVC006	Final: out of current scope / archive	Medium	製造・EOLリスクscreeningは予測としては強いが、工程検査方向なので現テーマ外。	KGL001	製造品質=High; 工程設計=High; EOL検査=High	ユーザーが工程検査目的ではないと明示済み。	現本線では深掘りしない。	製造品質テーマを別途再開しない限りArchive。
PVC	PVC007	Final: companion only / no active item	Low	熱・EV実走行contextは単独候補ではなく、補助列に限る。	KGL012; ULC009; UF020/021/022	評価企画=Low; 診断企画=Low	操舵信号やEPS thermal stateが見えない。	必要時だけULC009の補助contextとして使う。	EPS thermal state推定に見えるなら削除。
ULC	ULC001	Final: support input only	Medium	低速高操舵はPVC001の土台ではあるが、独立深掘り対象ではなくULC008の根拠入力として使う。	KGL003/005; UF001; low_speed_high_steering_proxy_summary/windows	製品企画=Potential; 評価企画=Potential; 診断企画=Potential	単独では既存の低速取り回し説明や評価条件の言い換えに見える。	ULC008の低速・大舵角根拠としてだけ使う。	既存評価/診断/製品説明のどこにも刺さらなければPVC001ごとArchive。
ULC	ULC002	Final: merged / closed	Medium	据え切りに近い操舵は単独ではなく、駐車場相当classの一部として扱う。	KGL003/005; UF002	製品企画=Potential; 診断企画=Potential; 顧客技術説明=Risky	原因断定に見えやすい。	ULC008の低速・大舵角要素としてだけ使う。	「据え切りが故障原因」に見えるなら削除。
ULC	ULC003	Final: merged / closed	Medium	stop-start + 反復操舵は、都市/渋滞contextとしてULC001/008に付ける。	KGL003/005/007; UF005/018	製品企画=Potential; 診断企画=Potential; 品質改善=Potential	単独では都市走行一般論に落ちる。	ULC008の用途contextに統合する。	独立した意思決定がなければClose維持。
ULC	ULC004	Final: internal review sample only	Medium	荒れた路面 + 操舵は、外販商品ではなく、品質改善・評価企画・顧客技術説明に既存業務との差分があるかを見るサプライヤ内レビューsampleとしてだけ残す。	KGL005/006/007/008; UF011/017; data/ulc004_rough_road_steering_deep_dive.tsv	品質改善=Potential; 評価企画=Potential; 顧客技術説明=Risky	路面分類productや既存NVH/耐久/評価scenario名の言い換えに流れやすい。	外部調査は止める。サプライヤ内レビューを行う場合だけ、品質改善・評価企画向け1枚にする。	路面分類だけ、または既存評価scenario名の言い換えならArchive。
ULC	ULC005	Final: merged / closed	Medium	段差・凹凸 + 操舵は、ULC004またはULC008に統合する。	KGL006/008/005; UF012/019	品質改善=Potential; 顧客技術説明=Risky; 評価企画=Potential	段差で故障という誤解が強い。	駐車場ならULC008、一般路面外乱ならULC004へ統合する。	独立価値がなければClose維持。
ULC	ULC006	Final: support input only	Low-Medium	連続振動路 + 操舵は評価企画・品質改善向けの補助入力に限り、ULC004で代表させる。	KGL006/008/005; UF013	評価企画=Potential; 品質改善=Potential	既存耐久/NVH評価の言い換えになりやすい。	ULC004の補助材料としてだけ使う。	既存耐久/NVH評価で十分ならArchive。
ULC	ULC007	Final: archive / risky	Low	荒い運転 + 荒れた路面は複合条件としては面白いが、顧客非難や保証判断に見えやすいため追わない。	KGL007/006/005; UF008/017	品質改善=Low; 製品企画=Low	運転荒さが故障原因という危険な読みになりやすい。	当面深掘りしない。	顧客非難・保証判断に見えるならArchive維持。
ULC	ULC008	Final: internal review sample only	Medium	駐車場 + 低速 + 大舵角 + 凹凸は、公開proxyだけでは商品化しない。製品企画と診断企画に既存業務との差分を確認する最初のサプライヤ内レビューsampleとしてだけ残す。	KGL003/005/008; UF002/019; docs/92; data/pvc001_ulc008_two_department_sheets.tsv	製品企画=Potential; 診断企画=Potential; 顧客技術説明=Risky	凹凸と操舵が同一datasetで揃わない。DTC、freeze frame、交換結果、内部状態も見えない。	外部調査は止める。サプライヤ内レビューを行う場合だけ、製品企画向け1枚と診断企画向け1枚を使う。	製品企画・診断企画のどちらにも刺さらなければPVC001ごとArchive。
ULC	ULC009	Final: companion only / no active item	Low	長時間都市走行 + 反復操舵は、熱・時間contextの補助列に限る。	KGL003/007/012/005; UF020/021	製品企画=Low; 評価企画=Low	thermal stateやassist limitationは見えない。	ULC001/008の補助列として必要時だけ使う。	EPS thermal state推定に見えるなら削除。
KGL	KGL001	Final: archive input / out of current scope	Medium	Bosch型は製造・EOLリスクscreening。予測としては強いが現テーマ外。	Manufacturing prediction problem; KGL001 row	製造品質=High; EOL検査=High	工程検査に戻るため、ユーザー意図とズレる。	現本線では使わない。	製造枝を再開しない限りArchive。
KGL	KGL002	Final: archive input / out of current scope	Medium	Mercedes型は評価時間予測。現テーマ外だが評価効率ブランチとしては残る。	Configuration-to-test-time problem; KGL002 row	評価計画=Potential; release management=Potential	実使用価値ではない。	現本線では使わない。	評価効率枝を再開しない限りArchive。
KGL	KGL003	Final: input only	Medium	OBD/CAN driving behaviorは、速度・stop-start・運転状態proxyとしてULC001/003/008に使う入力に限る。	KGL003 row; UF001/005/018	製品企画=Potential; 診断企画=Potential; 評価企画=Potential	EPS内部状態は見えない。	ULC008の説明で必要な場合だけ参照する。	内部故障やDTC不足の証拠として扱い始めたら削除。
KGL	KGL004	Final: boundary input only	Medium	Car-Hacking datasetは通信異常境界の材料。	KGL004; UF026/030	診断企画=Potential; サイバー担当=Potential	汎用IDS領域と重なる。	KGL011と束ね、PVC004の境界表入力に限る。	汎用cyber商品に流れたらArchive。
