usage_id	usage_family	category	source_ids	proxy_signals	eps_evaluation_question	diagnostic_question	customer_explanation_question	forbidden_claim	priority	next_check
UF001	低速高操舵	steering_demand	KGL003; KGL005	speed; steering angle; steering change	低速で大きな操舵が繰り返される条件を既存HILS/bench/vehicle評価で見ているか	DTC/freeze frameだけで低速高操舵の使われ方を説明できるか	通常使用範囲か高負荷使用かを自然言語で説明できるか	故障原因、残寿命、EPS内部stressを断定しない	High	既存評価試験名と入力条件の有無を見る
UF002	据え切りに近い操舵	steering_demand	KGL005; KGL003	very low speed; large steering angle; steering duration	車速ほぼゼロで大舵角を保持/反復する条件を評価しているか	関連DTCやfreeze frameに車速と操舵状態が残るか	駐車操作などで発生し得る高負荷操作をどう説明するか	据え切りが故障原因と断定しない	High	低速・大舵角・保持時間の評価条件を棚卸しする
UF003	急操舵	steering_demand	KGL005	steering angle; steering rate; frame-to-frame change	急な操舵角変化を入力した評価scenarioがあるか	急操舵時のDTC発生と通常制御応答を切り分けられるか	急操作時の違和感と異常の境界を説明できるか	急操舵から内部部品劣化を推定しない	High	操舵角速度に相当する評価入力があるか確認する
UF004	連続操舵	steering_demand	KGL005	steering sequence; steering frequency; duration	連続的な操舵反復を熱/電流/制御負荷評価に入れているか	連続操舵後の警告やDTCを外部条件付きで説明できるか	連続操作時に一時的制限があり得るか説明できるか	thermal limitやassist limitationを公開proxyから断定しない	High	連続操舵の継続時間と頻度の評価条件を確認する
UF005	stop-start多発	usage_condition	KGL003; KGL007	speed; acceleration; stop frequency; traffic	渋滞や市街地のstop-startを評価scenarioに入れているか	DTC/freeze frameでstop-start文脈を説明できるか	渋滞・市街地での操舵感変化をどう説明するか	stop-startが故障原因と断定しない	High	stop-start回数をproxyにした評価質問を作る
UF006	急加速後の操舵	usage_condition	KGL003; KGL007	acceleration; speed transition; steering angle	加速直後の操舵入力を評価しているか	加速イベントと操舵イベントの時系列を診断で見られるか	急加速と操舵が重なった時の体感を説明できるか	加速イベントからEPS異常を断定しない	Medium	加速度と操舵入力の同期条件を整理する
UF007	急減速中の操舵	usage_condition	KGL003; KGL010	braking intensity; deceleration; steering stability	減速中の操舵安定性を評価しているか	制動イベントと操舵イベントを診断説明で切り分けられるか	制動中の操舵感とEPS異常をどう区別するか	制動中の違和感をEPS原因と断定しない	Medium	braking intensityをschema列として採用するか見る
UF008	aggressive driving	usage_condition	KGL007; KGL010	driving style; acceleration; braking; steering variability	荒い運転スタイルを代表条件として評価に入れる必要があるか	荒い操作の履歴を診断でどこまで言及できるか	操作の荒さと製品異常を混同しない説明があるか	運転荒さから保証判断や故障原因を断定しない	Medium	KGL007のdriving style分類をfamily化する
UF009	安定操舵	usage_condition	KGL010; KGL005	stable steering; low steering variability	安定操舵をbaseline条件として定義できるか	通常状態の説明基準を診断説明に持てるか	通常操作時の期待挙動を説明できるか	合成データを通常市場実態として扱わない	Low	KGL010はschemaとしてbaseline列だけ借りる
UF010	車線逸脱に近い操舵	usage_condition	KGL009; KGL005	lane deviation; steering behavior; correction	急な補正操舵を評価scenarioに入れるか	補正操舵と異常操舵を診断で混同しないか	回避/補正操作時の体感をどう説明するか	CARLA由来KPIを実市場証拠にしない	Low	KGL009のlane deviation列を採用するか見る
UF011	荒れた路面での操舵	road_and_steering	KGL005; KGL006; KGL008	steering angle; acceleration; gyro; road imperfection	路面外乱と操舵入力の組み合わせを評価しているか	異音/振動とEPS異常を診断説明で切り分けられるか	路面由来の体感とEPS異常の違いを説明できるか	EPS内部不良を断定しない	High	路面外乱 x 操舵角の複合条件を作る
UF012	段差通過中の操舵	road_and_steering	KGL006; KGL008	acceleration spike; gyro; road imperfection; steering	段差通過中に操舵入力がある条件を評価しているか	段差由来イベントをDTCや症状説明と混同しないか	段差通過時の衝撃と操舵感をどう説明するか	段差でEPS故障が起きたと断定しない	High	段差/凹凸のproxy分類を作る
