row_id	eooc_section	item	eooc_role	value_from_this_research	source	status	what_not_to_claim
EOOC001	A. 使われ方の前提	対象と使用環境	部品がどう使われる前提で機能不足率を仮定したか	乗用車クラス・一般公道。英国2025年定期車検 約2,800万件(全数=分母あり)で実分布を把握できる	docs/148	埋まる	この分布は英国市場のもの。他市場へそのまま移さない
EOOC002	A. 使われ方の前提	車齢に対する劣化の前提	運用期間中に前提が変化する度合い	操舵系不合格率は車齢3年0.11% → 5年0.46% → 8年1.4% → 10年2.3% → 14年3.4%、15〜21年で3.5〜4.3%の高原。3年から20年で約40倍	docs/148	埋まる	車齢0〜2年は受検が任意で読めない。22年以降の高原は生存バイアス
EOOC003	A. 使われ方の前提	負荷条件の分布(低速大舵角)	機能不足が顕在化しやすい運転条件のexposure	低速・大舵角・凹凸が重なるwindowの抽出は実装済み(5-8 m/s、操舵角15-40 deg級)	scripts/extract_low_speed_high_steering_proxy.py	埋まる	公開走行logは正常動作中の車両。故障再現データではない
EOOC004	A. 使われ方の前提	使われ方の型の分離	前提を1つに置けるか、用途で分ける必要があるか	高率モデルは2型に分かれた: ①公知の欠陥ファミリー(Vauxhall Corsa 9.4%、EPSコラム故障) ②用途起因の摩耗(Vivaro 13.1% / Trafic 12.7%、バンのタイロッドエンド摩耗)。前提を1つに置くと2型が混ざる	docs/151	埋まる(制約付き)	メーカー別の生の率を設計優劣の判定に使わない
EOOC005	B. 機能不足の観測	観測できる機能不足の種類	EooCで宣言する『どの機能不足を検知できるか』	4種: 応答遅れ / ゲイン(効き)変化 / 定常バイアス / 左右非対称	docs/144	埋まる	合成劣化での測定。実故障波形とは異なる
EOOC006	B. 機能不足の観測	検出下限(特徴量別の設計)	宣言できる観測粒度の数値	特徴量ごとに窓長と判定則を変える。応答遅れ: 15秒窓・4窓中2窓で0.3s / ゲイン変化: 60秒窓・単発で0.10 / 応答バイアス: 15秒窓・4窓中3窓で0.10(0.05級は意図的に落とす) / 左右非対称: この方式では宣言しない	docs/155	埋まる	閾値は車種ごとに較正が要る。ここの数値はFord Maverickのもの
EOOC007	B. 機能不足の観測	検出できない領域	宣言に含めてはいけない範囲	応答遅れ0.1 s(検出17%)、ゲイン変化2%(5%)は この窓長・母集団参照では見えない。左右非対称は0.3でも86%で頭打ち	docs/144	埋まる(不成立の記録)	『検出できる』側だけを書かない
EOOC008	B. 機能不足の観測	誤検出率(運用点)	仮定に添える誤りの率	1車種で6.7%(実測)。4車種では3.4%〜10.2%と車種で動く	docs/144, docs/147	埋まる(車種依存)	誤検出率は運用設計項目であり固定値ではない
EOOC009	B. 機能不足の観測	観測窓と判定則	仮定の適用単位。設計則は車種不変か	60秒の観測時間を特徴量別に配分する。単一の窓長・単一の判定則で全特徴量を扱うのは最適でない。設計則の優劣は4車種で一致した(遅れは短窓+再発が有利、ゲインは長窓単発が有利)ため、**閾値はprogram固有、設計則は車種不変**として分けて宣言できる	docs/155	埋まる(検証済み)	60秒を超える窓は未検証。一過性外乱の棄却性能も未検証
EOOC010	B. 機能不足の観測	帰属可能性	観測した差を対象へ帰属できるか	横断比較(違う車同士)は交絡に埋もれる。Audi Q3内の2構成比較では、素の比較で有意だった左右非対称が使用条件を揃えると消えた(p=0.09)。帰属できる設計は同一個体の時間変化のみ	docs/147	埋まる(不成立の記録)	車種間・構成間の優劣を主張しない
