id	source_category	source_name	url	public_signal	what_it_supports	what_it_does_not_support	eps_supplier_use	decision
SBW-PUB001	Supplier product page	Bosch Steer-by-wire	https://www.bosch-mobility.com/en/solutions/steering/steer-by-wire/	Bosch describes steer-by-wire as steering wheel actuator, steering rack actuator, software functions, no mechanical link, and redundant data/power supply.	SbW has a common component architecture and supplier-owned system boundary.	It does not prove a buyer has unmet need for external assessment or that a target supplier lacks equivalent artifacts.	Use as public architecture and redundancy reference.	Keep as source, not value proof
SBW-PUB002	Supplier market signal	Bosch and Arnold NextG alliance	https://us.bosch-press.com/pressportal/us/en/press-release-21184.html	Bosch and Arnold NextG describe cooperation toward commercial-scale market launch of steer-by-wire.	SbW is moving from research theme toward commercial implementation.	It does not prove paid support demand for EPS suppliers.	Use only as market transition evidence.	Keep as market signal
SBW-PUB003	Supplier market signal	ZF by-wire future of mobility	https://press.zf.com/press/en/releases/release_40533.html	ZF describes by-wire chassis systems without mechanical connection or system fluids and expects a significant share of the steer-by-wire market by 2030.	Supplier-side market movement and industrialization are public.	It does not show what documentation gaps remain inside target EPS suppliers.	Use as market transition and supplier-positioning evidence.	Keep as market signal
SBW-PUB004	Supplier/OEM market signal	ZF steer-by-wire supply to Mercedes-Benz	https://press.zf.com/press/pt/releases/release_90433.html	ZF says it will supply Mercedes-Benz steer-by-wire technology from 2026.	There is public evidence of OEM adoption path and supplier role.	It does not prove a generic evidence-pack business.	Use as proof that supplier/OEM interface exists in public market.	Keep as market signal
SBW-PUB005	Supplier product page	Nexteer Steer-by-Wire	https://www.nexteer.com/a-d-a-s-automated-driving/steer-by-wire/	Nexteer describes the hand-wheel side, wheel-side actuator, system software/integration, dual hardware, and multi-path processing software.	Public supplier materials converge on hand-wheel side, wheel-side, software, and redundancy architecture.	It does not reveal target DTCs, freeze frame, security policy, or customer RFQ questions.	Use as architecture and redundancy vocabulary source.	Keep as source, not value proof
SBW-PUB006	Supplier product page	Schaeffler Road Wheel Actuator	https://www.schaeffler.de/en/products-and-solutions/powertrain-chassis/road-wheel-actuator/	Schaeffler positions the wheel-side steering unit as a steer-by-wire architecture element.	The wheel-side steering unit can be treated as a public component boundary.	It does not show diagnostic or safety artifact gaps.	Use for the one-case sample around partial loss of wheel-side redundancy.	Keep as one-case input
SBW-PUB007	Supplier technology page	Schaeffler Space Drive steer-by-wire technology	https://www.schaeffler.com/en/technology-innovation/motorsport/why-we-race/steer-by-wire-technology/	Schaeffler explains steer-by-wire experience, steering-column elimination, sensors, and feedback motor.	SbW affects driver feedback and cockpit/mechanical architecture.	It does not prove EPS supplier paid workflow pain.	Use as public explanation of HWA/feedback implications.	Keep as context
SBW-PUB008	Supplier component signal	HELLA steering sensor	https://www.hella.com/hella-com/en/press/Technology-Products-24-05-2023-21065.html	HELLA describes steering torque and angle becoming electrical signals and a redundant steering sensor architecture.	Sensor redundancy is a public supplier-owned subtopic.	It does not cover full SbW system diagnosis or business value.	Use as sensor redundancy evidence.	Keep as component source
SBW-PUB009	Supplier technical paper	JTEKT engineering journal redundant SbW system	https://www.jtekt.co.jp/e/engineering-journal/assets/1009/1009e_07.pdf	JTEKT describes parallel redundant system examples including CAN, power cables, motors, and ECUs.	Redundant architecture is not new and has technical precedent.	It is older technical material and not proof of current buyer demand.	Use as caution that redundancy explanation may already be standard.	Keep with caution
SBW-PUB010	OEM/vehicle manual	Tesla Cybertruck owner manual	https://www.tesla.com/ownersmanual/cybertruck/en_us/Owners_Manual.pdf	Tesla describes multiple redundant sensors/actuators, alert, chime, torque reduction, pull-over instruction, power cycle, and low-speed override.	Driver-visible degraded behavior can be publicly observed as an owner-manual topic.	It is vehicle-specific and does not prove other OEM or supplier demand.	Use as scenario seed for degraded redundancy one-page sample.	Keep as scenario seed
SBW-PUB011	Regulatory/safety report	NHTSA generic steer-by-wire functional safety assessment	https://rosap.ntl.bts.gov/view/dot/37208	NHTSA/Volpe report covers functional safety assessment, FMEA, safety requirements, safe states, and DTC coverage areas.	SbW safety and diagnostic coverage are existing public safety-analysis topics.	It does not support selling generic safety analysis as new value.	Use as baseline that weakens generic evidence-pack positioning.	Kill signal for generic safety offer
SBW-PUB012	Regulatory guidance	UK VCA R79 steer-by-wire compliance article	https://www.vehicle-certification-agency.gov.uk/blog/assessing-the-compliance-of-steer-by-wire-systems-for-individual-vehicle-approval/	VCA explains R79 Annex 6 requires documentation, fault strategy, verification, and may use FMEA/FTA or similar safety process.	Documentation and verification are already expected in approval context.	It does not prove unmet supplier workflow demand.	Use as evidence that certification/safety artifact packaging is not novel.	Kill signal for generic certification offer
SBW-PUB013	Regulation	EUR-Lex UN/ECE Regulation No. 79	https://eur-lex.europa.eu/eli/reg/2008/79%282%29/oj/eng	R79 provides the steering-equipment regulation baseline including complex electronic vehicle control system documentation expectations.	SbW must be discussed against existing steering regulation baseline.	It does not show business pain or target system gaps.	Use as regulatory baseline, not sales proof.	Keep as baseline
SBW-PUB014	Diagnostics standard	ASAM SOVD	https://www.asam.net/standards/detail/sovd/	ASAM SOVD covers data access, fault information, software updates, logging/tracing, system information, and diagnostic communication for software-based vehicles.	Next-generation diagnostics is real and relevant to software-defined vehicles.	It does not prove EPS-specific diagnostic content gaps or supplier budget.	Use only to connect SbW scenario to public diagnostic-content questions.	Keep as extension source
