audit_id	document	current_use_status	rule_check_status	main_issue	corrected_use	action_taken
TRA001	docs/96_predictive_value_internal_fact_correction.md	Use as latest Kaggle/Public Proxy decision	Pass	前回の全滅判断を補正し、内部事実不足を主Kill理由にしないことを明示している。	PVC001/ULC008/ULC004/PVC004を公開proxy価値の検証候補として扱う。	Latest source of truthに指定。
TRA002	docs/95_predictive_value_continue_final_decision.md	Do not use as latest	Superseded	EPS内部状態やDTC、freeze frame、交換結果が見えないことを主Kill理由にしており、現行Kaggle/Public Proxyルールに違反していた。	補正前の失敗例としてだけ使う。最新判断はdocs/96を見る。	Correction banner追加済み。
TRA003	docs/93_predictive_value_id_status_inventory.md	Do not use as latest	Superseded	残Continueを閉じる判断が、内部事実不足を主Kill理由に寄せすぎていた。	補正前の棚卸しとしてだけ使う。最新ステータスはdata/predictive_value_corrected_status.tsvを見る。	Correction banner追加済み。
TRA004	data/predictive_value_corrected_status.tsv	Use as latest corrected ID status	Pass	Kaggle/Public Proxy系のID別補正ステータスを持つ。	PVC001/ULC008/ULC004/PVC004を検証候補として扱い、KGL003/005/006/007/008を中核入力として扱う。	Latest source of truthに指定。
TRA005	docs/68_repo_closure_inventory.md	Use with correction	Fail for Kaggle/Public Proxy latest	Repo全体を閉じる判断の中で、Kaggle/Bosch線を製造品質・評価時間短縮の別枝に下げており、公開proxyによる予測的付加価値補正を反映していない。	旧テーマ、motion health、RDIまでの棚卸しとして使う。Kaggle/Public Proxyの最新判断には使わない。	Correction bannerを追加。
TRA006	docs/61_llm_kill_knowledge_base.md	Use with correction	Fail for Kaggle/Public Proxy latest	Kaggle例外ルールが製造品質/EOL/評価時間短縮に寄っており、使用条件class先読み候補を反映していない。	Kill済み仮説の知識ベースとして使う。ただしKaggle/Public Proxyはdocs/96を優先する。	Correction blockを追加。
TRA007	README.md	Use with correction	Partial	中段の現在の焦点は補正済みだが、冒頭の現在状態はKaggle/Public Proxy補正の入口を十分に示していなかった。	Repo入口として使う。Kaggle/Public Proxyはdocs/96とdocs/97を優先して読む。	Trust recovery auditとdocs/96への導線を追加。
TRA008	AGENTS.md	Use as controlling rule	Pass	Mandatory Rule Checkが追加され、Stop/Kill/Archive前に上位ルール参照を強制する形になった。	今後の結論生成時の上位ルールとして使う。	Commit af4919bで追加済み。
TRA009	docs/archive/motion_health/75_motion_health_mhq001_final_decision.md	Use with caution	Partial	MHQ/fleet remote diagnostics系はデータアクセスと既存remote diagnosticsとの差分が価値の中心なので、内部/契約データ不足は妥当なKill理由。ただし新ゲート以前のためRule Checkは本文にない。	MHQ001外販Stop判断としては暫定維持。次に引用する場合はRule Checkを添える。	No file patch in this pass.
TRA010	docs/archive/oem_remote_diagnostics/83_rdi006_program_gap_pdca.md	Use with caution	Partial	RDI/OEM remote diagnostics系は仮説自体がprogram data/service workflow依存なので、DTC/freeze frame/service outcome不足は妥当なGate。ただし新ゲート以前のためRule Checkは本文にない。	Conditional Continue / not offer判断として暫定維持。次に引用する場合はRule Checkを添える。	No file patch in this pass.
TRA011	docs/60_sbw_explanation_support_no_go_reasoning.md	Use with caution	Partial	No-Go理由は主に既存安全・認証・診断・顧客説明業務との重複であり、内部事実不足だけに依存していない。ただし新ゲート以前のためRule Checkは本文にない。	SbW汎用外販No-Go判断として暫定維持。次に引用する場合はRule Checkを添える。	No file patch in this pass.
TRA012	docs/67_next_generation_diagnostic_content_value_check.md	Use with caution	Partial	No-Go理由はSOVD基盤/ツール領域との差分不足と買い手pain未確認であり、内部事実不足だけに依存していない。ただし新ゲート以前のためRule Checkは本文にない。	SOVD基盤外販No-Go、content map only判断として暫定維持。次に引用する場合はRule Checkを添える。	No file patch in this pass.
