branch	market_demand_signal	what_was_tested	latest_decision	why_not_proceed	residual_value	reopen_condition	source_docs
EPS failure prediction / degradation notification	EPS field failures and driver-visible symptoms exist	Health indicator candidates, public pain cases, proxy data	Kill	OEM/fleet/service data, failure labels, warranty labels, and external factor separation are required	None under current public-only EPS supplier scope	OEM/fleet/service data with labeled EPS failure outcomes	docs/11_virtual_health_sensor_market.md; docs/17_customer_value_reality_check.md; docs/61_llm_kill_knowledge_base.md
ECU additional log / event memory	More diagnostic context could help NTF or returned-part analysis	Existing diagnostics and OEM boundary review	Kill	DTC, freeze frame, extended data, DEM/UDS, NvM already cover much of the concept; logs have no value without destination workflow	Only if specific missing fields and target report are known	Confirmed missing diagnostic fields and a report/workflow that uses them	docs/19_market_research_eps_event_context.md; docs/20_existing_diagnostics_oem_boundary.md; docs/61_llm_kill_knowledge_base.md
Public market scenario library	Public recalls, ODI, TSB, and complaints show recurring EPS pain families	Market pain classification, scenario cards, public data validation	Kill as product	Scenario summaries alone become case introduction, not buyer workflow output	Input to design questions, diagnostic questions, and forbidden claims	If scenario rows directly map into design review, diagnostic spec, RFQ, or quality report	docs/30_bmr001_market_pain_scenario_cards.md; docs/33_public_data_validation_scn001.md; docs/36_eps_common_pain_productization_scan.md
RCA / 8D case pack	Returned parts, NTF, SCAR/8D, and customer quality reports need confirmed facts	Case pack viability report and SCN001 public sample	Kill as main product	Strongly case-specific, OEM-dependent, and internal-data-dependent	Short-term support for stuck or high-pressure cases	Actual stuck case plus existing diagnostic/reader/analysis facts that are missing from customer report	docs/35_rca_8d_case_pack_viability_report.md; data/rca_8d_case_pack_viability_assessment.tsv
EPS Diagnostic / Robustness Coverage Benchmark	Public EPS pain families may map to DTC/freeze frame/HILS coverage	Family classification, FAM08 sample, P1 package, artifact request/intake	No-Go / Stop	Public information cannot show gap against existing HILS, DTC, freeze frame, extended data, or release review	Reopenable with internal materials	Access to HILS test names, DTCs, freeze frame/extended data fields, and existing review forum	docs/36_eps_common_pain_productization_scan.md; docs/40_coverage_benchmark_p1_assessment_package.md; docs/43_coverage_benchmark_forced_conclusion.md
Coverage Benchmark SaaS / HIL tool	Validation and diagnostic coverage matter to suppliers	Tool/productization framing	Kill	Existing HIL/SIL/validation/diagnostic tooling is strong; repo's possible value is judgment, not tooling	None unless program-level workflow gap exists	Clear cross-program workflow gap not covered by existing tools	docs/37_eps_coverage_benchmark_business_value.md; docs/43_coverage_benchmark_forced_conclusion.md
Steering ECU software / cyber / SBOM / CVE evidence	Cybersecurity, software updates, SBOM, CVE response, R155/R156 create supplier workload	Cyber value check, cyber evidence dossier, public player scan	Kill-leaning	Generic TARA, SBOM, CVE management, ISO21434, UN R155/R156 are already owned by existing workflows and vendors	Thin OEM-answer translation for steering ECU-specific questions	Real steering ECU-specific OEM inquiry plus missing existing answer content	docs/46_steering_ecu_software_cyber_evidence_pack.md; docs/48_steering_ecu_cyber_value_check.md; docs/49_steering_ecu_cyber_kill_evidence_dossier.md
Steer-by-wire safety / redundancy / cyber explanation	SbW increases abnormal-state, redundancy, warning, diagnostic, update, and certification explanation needs	Public source inventory, 8-material verification, one-case sample, no-go reasoning	No-Go as broad service	Market change exists, but safety design, certification, diagnostics, software update, and customer explanation already have owners	Specific project support to connect existing materials into one OEM-facing page	Confirmed pain that existing materials cannot be connected into a short OEM-facing explanation	docs/54_steer_by_wire_business_deep_dive.md; docs/55_sbw_redundancy_degraded_one_page_sample.md; docs/60_sbw_explanation_support_no_go_reasoning.md
Wheel-side steering unit standalone offer	SbW wheel-side actuator/unit becomes important as mechanical link disappears	Plain-language deep dive and one-case sample	Kill-leaning	Standalone offer becomes safety/certification/diagnostic summary	Plain-language component-boundary explanation only	If one-page abnormal-state explanation clearly exceeds existing safety-case summary	docs/59_wheel_side_steering_unit_plain_deep_dive.md; docs/55_sbw_redundancy_degraded_one_page_sample.md
SOVD / next-generation diagnostics	SOVD and ISO 17978 expand diagnostics to classic ECUs, faults, environment data, measurements, routines, software update	Kill-first review and 25-item diagnostic content exposure demo	No-Go as product / content map only	Platform, server, API, authoring, conversion, validation, and training are existing standard/tool domains	Diagnostic content exposure/access policy for a specific program	Specific program needs DTC/DID/freeze frame/software ID/security access/routine exposure policy not covered by existing docs	docs/52_sovd_kill_first_review.md; docs/67_next_generation_diagnostic_content_value_check.md; data/next_generation_diagnostic_content_value_check.tsv
Public recall / ODI / TSB monitor	Public market signals can reveal recurring pain and questions	Public market monitor input plan	Kill as product / input only	Signal monitoring alone is weak and becomes news/case summary	Input for SbW/SOVD design questions, diagnostic questions, forbidden claims	If tied directly to another artifact and not sold alone	docs/53_public_market_monitor_input_only.md; docs/58_sbw_public_only_info_collection.md
