id	kaggle_item	problem_setting_signal	hidden_intent	eps_supplier_translation	buyer_user	evidence_signal	support_level	counterevidence_or_limit	decision	next_action	kill_condition	source_urls
KGL001	Bosch Production Line Performance	製造ラインの測定・試験データから内部不良を予測する	後工程や最終検査で落ちる前に、怪しい個体や工程を早く見つけたい	EPS製造、工程検査、EOL検査で、再検査・保留・工程確認候補を順位付けする	製造品質、工程設計、EOL検査、工場品質保証	Kaggle説明は内部不良予測を課題化。arXiv解説ではline/station/test number構造と工程別エラー率の分析が示される。EPS EOL試験にも構造化測定とreport/exportがある	Strong for manufacturing branch	今回の主目的が工程検査ではないなら最優先ではない。既存SPC/MES/BI/品質管理で同じ判断ができる可能性	Separate branch / not current main	製造・EOL検査の別枝として保存し、必要時だけ上位リスク個体と工程グループ説明のproxyを作る	現行テーマを工程検査に狭める、既存工程管理の言い換え、EPS故障予測やroot cause断定へ飛躍する	https://www.kaggle.com/competitions/bosch-production-line-performance; https://arxiv.org/abs/1701.00705; https://www.klotz.de/en/competencies/end-of-line-test-bench-for-electric-power-steering-eps-epas/; https://www.4q-systems.com/products/electric-motor-test-systems/motor-test-bench-for-eps-motors/
KGL002	Mercedes-Benz Greener Manufacturing	車両構成からテストベンチ時間を予測する	多品種構成で評価・検査時間を読み、試験計画や待ち時間を減らしたい	EPS variant、software、calibration、機能構成、試験セットからbench/HILS/EOL評価時間や試験優先順位を見積もる	評価計画、HILS/bench担当、software/calibration release gate	Kaggle説明はtest bench time削減を課題化。入力は匿名化された構成featureで、目的変数は試験時間	Medium for evaluation-efficiency branch	実使用条件やEPS product valueの読み取りなら最優先ではない。設備空きや再実行など外部要因が効く可能性	Separate branch / not current main	評価時間短縮の別枝として保存し、必要時だけ試験順序やrelease gate判断に効くかを見る	試験順序や計画変更に効かない、既存計画ツールで十分、品質判断ではなく単なる時間当てで終わる	https://www.kaggle.com/competitions/mercedes-benz-greener-manufacturing
KGL003	OBD-II and CAN driving behavior	OBD-II/CANから運転行動や利用状態を分類する	車両利用状態や運転スタイルを分けたい	低速高操舵、急操舵、速度帯、停止発進などの使用条件familyを作る	評価企画、HILS/bench担当、顧客技術説明担当	データセット説明は複数driver/vehicleのCAN/OBD-II driving behavior dataを示す	Keep / usage-condition lens	EPS内部DTC、freeze frame、assist state、limit state、EOL結果、返却品結果は見えない	Keep / next proxy candidate	速度帯、stop-start、急加減速、急操舵に近い使用条件familyを抽出し、評価scenarioと顧客説明質問へ転記する	EPS内部故障、診断不足、製造品質の証拠として使い始める。使用条件familyが評価・説明の問いに転記できない	https://www.kaggle.com/datasets/isaygerardozamora/obd-ii-and-can-based-driving-behavior-dataset
KGL004	Car-Hacking Dataset	CAN trafficからnormal/attackや注入攻撃を分類する	車載通信の異常や攻撃を検出したい	診断通信、異常通信、security access、禁止主張の境界確認に使う	診断コンテンツ担当、サイバー担当、顧客技術説明担当	HCRL説明はDoS、fuzzy、gear/RPM spoofing、Timestamp/CAN ID/DLC/DATA/Flagを示す	Keep with boundary / communication-abnormality lens	既存IDS/TARA/CSMS/ISO21434領域と重なる。過去に汎用cyber/SBOM方向はKill寄り	Keep with boundary	汎用cyber商品ではなく、EPS状態説明や診断コンテンツで言ってよいこと/いけないことの境界確認に使う	汎用IDS/cyber商品、SbW安全証明、EPS品質証拠として扱う	https://www.kaggle.com/datasets/pranavjha24/car-hacking-dataset; https://ocslab.hksecurity.net/Datasets/CAN-intrusion-dataset
KGL005	Steering angle / behavioral cloning	画像などから操舵角または操舵要求を推定する	ADAS/自動運転向けに操舵要求を推定したい	操舵角、操舵変化、操舵要求のfamilyを作る	評価企画、HILS/bench担当、顧客技術説明担当	Kaggle/関連資料はself-driving car simulatorやsteering angle予測を扱う	Keep / steering-demand lens	ADAS/自動運転に寄りやすく、EPS内部状態や診断不足は見えない	Keep / next proxy candidate	操舵要求familyを抽出し、EPS評価scenarioや異常時説明に入れるべき問いへ転記する	ADAS制御モデルやEPS故障予測の主証拠にする。操舵要求familyがEPS評価・説明に戻らない	https://www.kaggle.com/datasets/andy8744/udacity-self-driving-car-behavioural-cloning; https://www.kaggle.com/datasets/aslanahmedov/self-driving-carbehavioural-cloning
KGL006	PVS passive vehicular sensors	加速度、ジャイロ、GPS、カメラなどで路面種別や走行環境を分類する	路面や走行環境を車両センサから推定したい	路面、振動、速度、環境条件をEPS負荷条件や評価scenarioの外部条件へ変換する	評価企画、HILS/bench担当、顧客技術説明担当	Kaggle説明はpassive vehicular sensors、road surface type classification、inertial sensorsを示す	Keep / road-and-environment lens	EPS内部不良、DTC、assist state、thermal state、EOL結果は見えない	Keep / next proxy candidate	路面・環境familyを抽出し、KGL003の運転行動、KGL005の操舵要求と組み合わせて実使用条件familyを作る	路面分類をEPS内部状態や出荷前品質の主証拠にする。評価・説明の問いに転記できない	https://www.kaggle.com/datasets/jefmenegazzo/pvs-passive-vehicular-sensors-datasets
KGL007	Traffic, Driving Style and Road Surface Condition	交通状態、運転スタイル、路面状態を分類する	走行条件、運転荒さ、路面状態をまとめて見たい	運転スタイル x 路面状態 x 加速度の実使用条件familyを作る	評価企画、HILS/bench担当、顧客技術説明担当	Kaggle説明はtraffic、driving style、road surface conditionとsmartphone accelerometer由来のlongitudinal accelerationを示す	Keep / high-priority usage-road lens	EPS固有信号ではなく、内部状態は見えない	Add / high priority	20-50件のusage family表でKGL003/005/006と統合する	運転スタイル分類だけで終わり、EPS評価・説明の問いに戻らない	https://www.kaggle.com/datasets/gloseto/traffic-driving-style-road-surface-condition
KGL008	Road Quality Dataset	都市走行で路面imperfectionを検出する	路面凹凸や荒れた路面を検出したい	路面外乱を操舵負荷、振動、異音、driver perceptionの評価質問へ変換する	評価企画、HILS/bench担当、顧客技術説明担当	Kaggle説明はurban vehicle runs and road surface imperfections detectionを示す	Keep / road-disturbance lens	操舵角やEPS内部状態は直接見えない	Add / medium priority	road imperfection familyを評価scenario外部条件へ転記する	road quality productに流れる。EPS評価・説明へ戻らない	https://www.kaggle.com/datasets/nickkotarelas/road-quality-dataset
KGL009	Driver Behavior KPI Dataset from CARLA	speed、acceleration、jerk、throttle/brake、steering、lane deviationなどをKPI化する	運転行動をscenario KPIとして整理したい	実使用条件familyのfeature schemaに使う	評価企画、HILS/bench担当	CARLA datasetはspeed、acceleration、jerk、throttle/brake variability、steering behavior、lane deviation、collision indicatorsを扱う	Schema only	シミュレーションであり市場実証ではない	Add / schema only	feature schemaだけを借り、評価scenario質問表に転記する	シミュレーション結果を実市場証拠や故障証拠として扱う	https://www.kaggle.com/datasets/lahkimesara/driver-behavior-kpi-dataset-from-carla
KGL010	Vehicle Telemetry for Driver Behavior Analysis	合成telemetryでdriver behaviorを分類する	safe/aggressive drivingをtelemetryから分類したい	steering、braking、accelerationをusage_family feature候補として整理する	評価企画、HILS/bench担当	Kaggle説明はsynthetically generated driver behavior datasetで、smooth acceleration、stable steering、low braking intensityなどを示す	Schema only	合成データであり実証には使えない	Add / schema only	driver behavior分類の列設計に使う	合成データを市場実証として扱う	https://www.kaggle.com/datasets/sonalshinde123/vehicle-telemetry-for-driver-behavior-analysis
