layer_id	layer_name	public_signal	source_url	buyer_or_user	bosch_asset_or_capability	business_output	eps_supplier_implication	what_not_to_claim	next_question
BBA001	Fleet maintenance and repair	Bosch frames predictive maintenance and smart service workflows around less downtime, less waste, proactive maintenance, incident resolution, and TCO reduction.	https://www.bosch-mobility.com/en/mobility-topics/fleet-solutions/maintenance-and-repair/	Fleet operators; mobility providers	Fleet maintenance workflow; service planning; fleet operations content	Predictive service planning; prioritized maintenance action; reduced unplanned downtime	Define which steering predictive states would change maintenance action or vehicle dispatch priority.	Do not claim this proves EPS remaining useful life or steering replacement date.	Which steering state would make a fleet act differently before a breakdown?
BBA002	Cloud diagnostics	Bosch describes remote fault description, error codes, risk and criticality assessment, recommended next steps, grouping related faults, and localization to vehicle system/component.	https://www.bosch-mobility.com/en/solutions/software-and-services/cloud-and-predictive-diagnostics/	Fleet operators; mobility providers	Cloud diagnostic data processing; connectivity hardware; diagnostic interpretation	Faster diagnosis; clearer next steps; workshop efficiency	Map steering DTC, freeze frame, extended data, limit state, software/calibration ID to diagnostic triage and service explanation.	Do not claim DTC interpretation alone predicts failure timing.	Which steering diagnostic fields change the diagnostic reading order or next step?
BBA003	Predictive diagnostics	Bosch describes warnings for potential failures before they occur, anomalies and wear on deep component level, health status, behavior-based failure prediction, component-specific load and diagnostic features.	https://www.bosch-mobility.com/en/solutions/software-and-services/cloud-and-predictive-diagnostics/	Fleet managers	Cloud predictive diagnostic algorithms; domain expertise; data science; multiple data sources	Failure warnings; proactive measures; predictable maintenance requirements	Define steering predictive states and the component-specific load/diagnostic features needed for them.	Do not claim public information confirms steering/EPS/SbW as a covered target.	What are the steering-specific load and diagnostic features that could support predictive diagnostics?
BBA004	Predictive Diagnostics product	Bosch says its software monitors, evaluates, and reports component/system condition; predicts faults; calculates probable remaining lifetime; forwards maintenance forecast to OEM; supports notifications and workshop appointments.	https://www.bosch-mobility.com/en/solutions/diagnostics/predictive-diagnostics/	OEMs; fleet operators; private users	Predictive Diagnostics software; connected vehicle data; cloud information	Maintenance forecast; probable remaining lifetime; driver notification; workshop appointment planning	Compare steering predictive diagnostics candidates against the evidence required for remaining lifetime, replacement date, or maintenance forecast.	Do not claim steering RUL or replacement date unless evidence and feedback loop are available.	Which steering states can support maintenance forecast, and which cannot go beyond condition explanation?
BBA005	Data-driven intelligence	Bosch combines lifecycle data, domain knowledge, semantics, digital twins, and AI; describes early warning, warranty indication, remote state of health, myFleet, remaining lifetime, recommended replacement date.	https://www.bosch-mobility.com/en/solutions/software-and-services/data-driven-intelligence/	Vehicle manufacturers; fleet operators	Digital twins; Semantic Stack; domain-based services; modular analytics	Vehicle health monitoring; predictive maintenance; warranty indication; quality issue response; replacement planning	Position steering vehicle health output as domain content that can feed OEM/fleet quality, warranty, and maintenance decisions.	Do not claim EPS supplier owns OEM warranty decision or fleet platform workflow.	Can steering vehicle health output be transferred to quality/warranty artifacts without overclaiming?
BBA006	Uptake acquisition	Bosch plans to acquire Uptake to strengthen AI-driven predictive maintenance and vehicle health services; combine Uptake AI with C-Hub telematics and FleetME ecosystem for end-to-end solution.	https://us.bosch-press.com/pressportal/us/en/press-release-30080.html	OEM and fleet customers	Uptake AI predictive analytics; Bosch Connectivity Hub; FleetME ecosystem	End-to-end fleet predictive maintenance and vehicle health services	EPS supplier should not replicate the platform; prepare steering domain content, predictive states, and action boundaries for such ecosystems.	Do not claim EPS supplier can independently sell Bosch-scale fleet predictive maintenance.	What steering content would a Bosch/Uptake-like ecosystem need from an EPS supplier?
BBA007	Battery in the cloud	Bosch battery services monitor battery health, use actual vehicle data, detect anomalies early, support proactive action, and provide certificate/residual value support.	https://www.bosch-mobility.com/en/solutions/software-and-services/battery-in-the-cloud/battery-in-the-cloud-insights/	Fleet operators; EV ecosystem participants	Battery analytics; SoH; anomaly detection; battery certificate	Maintenance decisions; reduced failures; longer service life; resale confidence	Use as a vertical example of component health service; steering needs its own measurable state model before similar claims.	Do not transfer battery SoH/RUL logic directly to EPS.	What is the steering equivalent of a measurable health state, if any?
BBA008	Brake pad wear sensor	Bosch describes remaining pad life and replacement timing using sensor stages plus inputs such as mileage, wheel speed, brake pressure, temperature, and operating time.	https://www.bosch-mobility.com/en/solutions/sensors/brake-pad-wear-sensor/	OEMs; drivers; fleet managers	Multi-stage wear sensor; vehicle inputs; remaining life algorithm	Remaining pad life; replacement timing; safety and maintenance planning	This is a clear RUL case; steering needs comparable measurable degradation before replacement timing can be claimed.	Do not claim steering replacement timing just because brake pads have wear sensors.	Does steering have a directly measurable degradation or only operational state/context?
BBA009	Lifecycle powertrain services	Bosch describes remote state of health for powertrain/components and recommendations for diagnostics, maintenance, and repair.	https://www.bosch-mobility.com/en/solutions/software-and-services/lifecycle-powertrain-services/	OEM uptime centers; vehicle manufacturers	Connected powertrain services; in-vehicle preprocessing; cloud analysis	State of health; diagnostics/maintenance/repair recommendation	Steering would need effect chains from diagnostic/control state to recommended action, not just raw signals.	Do not claim powertrain evidence proves steering business demand.	Which steering effect chains are strong enough to support recommendations?
BBA010	Vehicle connectivity services	Bosch offers remote diagnostics, data acquisition, OTA updates, configurable field data capture, and vehicle apps for commercial vehicles.	https://www.bosch-mobility.com/en/solutions/connectivity/vehicle-connectivity-services-cv/	Vehicle manufacturers	Connectivity control unit; cloud component; remote measurement; vehicle apps	Data acquisition basis for diagnostics, predictive maintenance, and software-defined services	Specify steering data acquisition requirements and event triggers needed for predictive diagnostics screening.	Do not assume EPS supplier controls vehicle connectivity access.	Which steering signals/events must be captured, and who can authorize them?
