id	indicator_group	indicator	candidate_signals	degradation_or_fault_hint	normalization_needed	oem_data_dependency	core_or_optional	feasibility	notes
EHI001	Assist current / load proxy	assist_current_baseline_deviation	motor_current,target_current,steering_torque,steering_angle_speed,vehicle_speed	gear friction increase / rack load increase / tire-road load change	High	Low-Core	Core	Medium	ECU内baselineで始める。同条件比較が必要で、OEMのタイヤ・路面情報があると精度は上がるが初期前提にしない。
EHI002	Assist current / load proxy	steering_torque_to_motor_current_ratio	steering_torque,motor_current,vehicle_speed,assist_mode	mechanical load change / assist efficiency change	High	Low-Core	Core	Medium	操舵条件と制御モードで正規化する。OEM側車両条件はOptional補正。
EHI003	Control tracking	current_tracking_warning_count	target_current,actual_current,current_deviation,motor_temperature,power_voltage	motor / inverter / control tracking degradation	Medium	None-Core	Core	Medium-High	DTC未満イベントとして保存しやすく、ECUメーカーが責任を持ちやすい。
EHI004	Sensor health	torque_sensor_redundancy_delta	torque_sensor_1,torque_sensor_2,temperature,power_voltage	torque sensor drift / transient sensor abnormality	Medium	None-Core	Core	High	既存安全監視に近く、health indicator化しやすい。
EHI005	Sensor health	torque_sensor_zero_offset_trend	torque_sensor_values,steering_angle,vehicle_speed,ignition_cycle	torque sensor zero drift	High	Low-Core	Core	Medium	直進・低トルク条件など安定条件の抽出が必要。車両側姿勢や路面情報はOptional。
EHI006	Sensor health	steering_angle_sensor_redundancy_delta	angle_sensor_1,angle_sensor_2,steering_angle_speed	angle sensor drift / plausibility degradation	Medium	None-Core	Core	High	DTC未満の冗長差履歴が有用。
EHI007	Thermal stress	thermal_derating_accumulation	ecu_temperature,motor_temperature,derating_state,operation_time	thermal stress / repeated high-load use	Medium	None-Core	Core	High	劣化そのものではないが、stress historyとして有用。
EHI008	Power stress	low_voltage_stress_history	power_voltage,min_voltage,voltage_dip_count,assist_limitation_state	vehicle-side power stress / false-positive suppression	Medium	None-Core	Core	High	EPS劣化との切り分け材料として重要。バッテリ詳細はOptional。
EHI009	Assist availability	assist_limitation_recurrence	assist_limitation_count,last_reason,duration,temperature,voltage	EPS availability degradation / external condition stress	Medium	None-Core	Core	High	ユーザ症状や安全重要性に近い。
EHI010	Harsh usage proxy	high_load_low_speed_event_count	motor_current,steering_torque,vehicle_speed,steering_angle,end_stop_flag	parking / curb / end-stop stress accumulation	High	Low-Core	Core	Medium	原因断定は避け、harsh usage proxyとして扱う。車両側衝撃情報があればOptionalで補強。
EHI011	Harsh usage proxy	rapid_reversal_high_load_count	steering_angle_speed,steering_torque,motor_current,vehicle_speed	mechanical stress / usage severity	High	Low-Core	Core	Medium	運転癖と用途差が大きい。fleet用途分類はOptional。
EHI012	Recovery history	transient_abnormal_recovery_count	warning_event,return_to_normal,ignition_cycle,event_condition	intermittent abnormality / early degradation clue	Medium	None-Core	Core	Medium-High	再現困難不具合とhealth watchに効く。
