review_id	dtc_or_event_family	trigger_or_symptom	current_freeze_frame_fields	current_extended_data_fields	supplier_reader_available	relevant_gap_checks	candidate_a_demand_to_output	candidate_b_limit_derating	candidate_c_pre_event_summary	nvm_feasibility	oem_boundary_risk	report_wording_status	decision	required_action	owner_placeholder	notes
REV001	assist_loss_or_assist_limited	低速高操舵中のassist loss / assist limited	TO_FILL	TO_FILL	TO_FILL	GAP001;GAP002;GAP003;GAP004;GAP005;GAP007;GAP008	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	Pending	現行freeze frame / extended dataを入力し、A/B/Cの必要性を判定	diagnostic_engineering	最初に見るDTC群。ここで既存診断が十分ならS2E001は大きく弱くなる
REV002	current_limit_or_motor_current_tracking	高操舵要求時のcurrent limit / current tracking異常	TO_FILL	TO_FILL	TO_FILL	GAP002;GAP003;GAP005;GAP008;GAP011	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	Pending	assist command/current/current tracking errorの保存有無を確認	control_software	需要対出力marginの価値判定に直結
REV003	voltage_related_assist_reduction	低電圧/高電圧/瞬低に伴うassist低下またはDTC	TO_FILL	TO_FILL	TO_FILL	GAP004;GAP008;GAP011	LIKELY_NOT_NEEDED	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	Pending	assist関連DTCでも電圧情報が残るかを確認	diagnostic_engineering	電圧は既存で残りやすいので、追加価値にしない可能性が高い
REV004	thermal_derating_or_over_temperature	高温/thermal deratingに伴うassist制限	TO_FILL	TO_FILL	TO_FILL	GAP003;GAP005;GAP008;GAP011	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	Pending	thermal derating levelとassist limitation reasonの既存保存有無を確認	control_software	温度値だけでなくderating状態が残るかが論点
REV005	torque_sensor_plausibility_or_connector	トルクセンサ不整合、コネクタ、センサ電圧異常	TO_FILL	TO_FILL	TO_FILL	GAP006;GAP007;GAP008;GAP012	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	Pending	raw/redundant/residual値を品質報告で使えるか確認	diagnostic_engineering	センサ/コネクタ文脈は公開caseとも接続しやすいが責任表現に注意
REV006	assist_mode_transition_or_failsafe	assist enable/disable、failsafe遷移、復帰edge	TO_FILL	TO_FILL	TO_FILL	GAP007;GAP008;GAP010;GAP012	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	Pending	state transition reasonが保存/読出可能か確認	control_software	一過性やNTF寄りの説明に効く可能性がある
REV007	no_dtc_customer_complaint	顧客苦情はあるがDTC無し/返却品再現せず	TO_FILL	TO_FILL	TO_FILL	GAP008;GAP010;GAP011;GAP012	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	Pending	イベントトリガ条件とNVM負荷を確認	quality_engineering	最も価値が出そうだが、誤記録/過保存のリスクも高い
REV008	return_part_reader_path	返却品解析時にECU内証跡を読めるか	TO_FILL	TO_FILL	TO_FILL	GAP010;GAP012	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	Pending	reader/DID/ODX/権限境界を確認	diagnostic_tools	読めなければ証跡があってもサプライヤ価値にならない
REV009	nvm_budget_and_write_policy	NVM容量、保存件数、書換頻度制約	TO_FILL	TO_FILL	TO_FILL	GAP011	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	LOW	TO_CHECK	Pending	1イベントあたりbyte数、最大件数、debounce/write triggerを確認	software_architecture	Candidate CはここでKillされやすい
REV010	customer_quality_report_template	顧客品質報告で使える事実表現	TO_FILL	TO_FILL	TO_FILL	GAP012	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	TO_CHECK	HIGH	TO_CHECK	Pending	観測事実/未確認/推定を分けた文言に落とす	quality_engineering	原因断定ではなくobserved fact summaryとして扱う
