question_id	plain_question	target_user	evidence_to_seek	proceed_signal	kill_signal	old_theme_guardrail
MHQ001	自動運転車両や商用車両群で、操舵系理由の運行停止や予定外入庫は本当に痛いか	fleet operations / OEM fleet service	AV maintenance reports, fleet service pages, uptime claims, downtime cost examples	操舵系またはchassis系のplanned maintenance / unplanned downtimeが明示される	痛みがengine, battery, tire, brakeだけで操舵系が出てこない	EPS単体の公開recall件数だけで需要判断しない
MHQ002	買い手は誰か。OEM、fleet運営者、dealer、remote diagnostics、EPS/SbWサプライヤのどこか	business development / service owner	vendor pages, service contracts, buyer persona, fleet maintenance workflow	運行可否、点検優先度、診断時間短縮を買う部署が見える	買い手が曖昧で「安全だから必要」に戻る	安全一般論を購買需要にしない
MHQ003	EPS/SbWサプライヤは、運行データ、DTC、DID、整備履歴、交換結果にアクセスできるか	EPS/SbW supplier diagnostics / data partnership	OEM partnership examples, supplier software offerings, data-sharing products	サプライヤがfleet/OEM data loopに入る公開例がある	データがOEM/fleet/serviceに閉じ、サプライヤが見られない	公開情報だけで故障ラベルがあると仮定しない
MHQ004	価値ある出力は「交換時期」ではなく「次の運行に出す/先に入庫/次回点検まで様子見」か	fleet maintenance planner / dispatcher	maintenance decision workflows, remote diagnostics triage, uptime service pages	運行可否や入庫優先順位の意思決定が確認できる	交換時期予測だけになり、誰の判断にも転記できない	RULという言葉を先に出さない
MHQ005	DTCや通常診断だけでは、運行可否や点検優先度を決めるには遅い/粗いか	diagnostic engineering / remote diagnostics	OBD limitation discussions, AV maintenance sources, dealer diagnostic time claims	DTC後の診断時間短縮やearly warning需要が見える	既存DTC/remote diagnosticsで十分	追加ログありきにしない
MHQ006	SbWや高可用操舵では、冗長系の一部低下を整備判断へつなげる需要があるか	functional safety / fleet operations	fail-operational steering sources, SbW supplier materials, AV safety operations	冗長低下、degraded state、fallbackを運行/整備判断へ接続する文脈がある	安全設計や認証説明だけで終わる	SbW汎用安全支援に戻さない
MHQ007	操舵系だけでなく、ブレーキ、足回り、タイヤ、電源、通信と一緒に見る必要があるか	chassis / motion system owner	chassis health products, Nexteer MotionIQ/Health-like examples	steering + chassis + tiresの束ね売りが見える	EPS単体に閉じる	EPS単体故障予測に戻さない
MHQ008	実使用条件から製品改善へ戻す価値はあるか	EPS/SbW supplier quality / product engineering	lifecycle data quality improvement claims, anonymized actual-use data examples	actual lifecycle condition dataを品質/開発に使う文脈がある	運用データが製品改善に戻らない	品質改善と保証費削減を混同しない
MHQ009	初期デモは何にするべきか	product exploration / diagnostics	available public fleet examples, synthetic triage table, DTC/DID assumptions	20-50件の公開sourceから運行可否/点検優先度の判断表を作れる	デモが公開事例要約で終わる	公開情報だけで対象EPS不足を断定しない
MHQ010	新テーマのKill条件を満たしていないか	product owner / strategy reviewer	MHQ001-MHQ009 results	買い手、痛み、データアクセス、判断出力が揃う	買い手不明、データアクセス不可、既存診断で十分	旧テーマの名前替えを禁止する
