row_id	artifact_type	field_or_question	meaning	existing_monitor_sufficient_if	gap_exists_if	payload_use	proceed_signal	hold_signal	stop_signal	what_not_to_claim	confidence
PMPS001	check_item	under-voltage DTC	DTC閾値、継続時間、発生時電圧、statusを見る	短いdipもDTCまたはextended dataで十分に説明できる	DTCに至らないshort dipがassist制限近傍で消える	monitor_status and observed_context	Short dip near assist limitation remains without root cause claim	DTCで十分に同じ文脈が残る	DTC未満eventが残らない	電源原因断定、EPS無罪、交換時期、RUL、安全保証、root cause、保証費削減	Medium
PMPS002	check_item	reset log	reset成立、reset counter、key cycleを見る	near-resetまで含めて文脈が残る	reset未満のnear-reset contextが残らない	reset counter delta and recurrence	Near-reset or reset counter delta remains near assist limitation	reset logで十分に近接contextまで説明できる	near-resetが残らない	電源原因断定、EPS無罪、交換時期、RUL、安全保証、root cause、保証費削減	Medium
PMPS003	check_item	freeze frame / extended data	voltage、assist mode、DTC status、time/key cycleを見る	DTC未満event近傍でもsnapshotが残る	DTCが立たないためsnapshotが残らない	retained_fields	DTC未満event near assist limitation can be retained	DTC発生時snapshotで十分	DTC未満snapshotが残らない	電源原因断定、EPS無罪、交換時期、RUL、安全保証、root cause、保証費削減	Medium
PMPS004	check_item	assist mode / limit state	assist limitation、reduced assist、fallback/limit stateを見る	voltage contextと同一eventで紐づく	assist制限だけ残り、power contextとの近接が消える	relation_to_function	Assist mode and voltage context are linked in same or nearby event	assist modeだけで十分、またはpower context不要	同時性が残らず状態説明できない	電源原因断定、EPS無罪、交換時期、RUL、安全保証、root cause、保証費削減	Medium
PMPS005	check_item	key cycle recurrence	同一key cycleまたは近いkey cycleでの再発を見る	DTC履歴やevent memoryで再発が見える	DTC未満eventの繰り返しが残らない	recurrence	DTC未満event recurrence is retained	DTC履歴だけで十分に再発判断できる	recurrenceが残らない、または誤解リスクが大きい	電源原因断定、EPS無罪、交換時期、RUL、安全保証、root cause、保証費削減	Medium-Low
PMPS006	payload_field	component	どの部品側観測かを示す	steering/EPSとして既存vehicle health payloadに入る	部品側sourceが曖昧になる	component	EPS component observation can be clearly identified	component名はあるが状態説明と紐づかない	component boundaryを示せない	EPS無罪、root cause、保証責任断定	Medium
PMPS007	payload_field	observed_context	EPSが観測したpower contextを示す	short supply-voltage instabilityが既存項目で表現できる	短いdipやnear-resetが既存項目では表現できない	observed_context	Observed context can be described without root cause	Context wording is too vague	原因断定なしに説明できない	電源原因断定、root cause	Medium
PMPS008	payload_field	relation_to_function	assist limitation / reduced assistとの近接を示す	既存eventで同時性が読める	同時性が既存eventから消える	relation_to_function	Assist limitation relation is retained without causal claim	近接はあるが時間精度が粗い	近接が示せない	因果断定、安全保証	Medium
PMPS009	payload_field	boundary	禁止主張をpayload内で明示する	not power root cause / not EPS no-fault / not replacement timing / not safety guaranteeを明記できる	境界文がなく、誤解される	boundary	Boundary can travel with payload	境界が別資料依存	境界なしでは原因断定に見える	電源原因断定、EPS無罪、交換時期、安全保証、保証費削減	High
PMPS010	decision_gate	proceed	続行条件	5項目のうち少なくとも2項目で差分があり、2部署以上で使える	差分がなく既存monitorで十分	decision	Proceed to program-specific question sheet	差分が1項目だけ、または部署価値が未確認	既存monitorで十分、またはDTC未満eventが残らない	商品化Proceed、交換時期予測、安全保証	Medium
