source_id	source_name	source_type	source_url	collected_signal	what_it_supports	what_it_does_not_support	eps_supplier_use
SRC001	Bosch Production Line Performance	Kaggle competition	https://www.kaggle.com/competitions/bosch-production-line-performance	製造ラインの測定・試験データから内部不良を予測する課題	工程中データから後工程不良を早く見る需要	EPS固有工程や実EOL省略の主張	製造・EOL検査の早期不良候補抽出のproxy
SRC002	Using Big Data to Enhance the Bosch Production Line Performance	arXiv paper	https://arxiv.org/abs/1701.00705	Bosch assembly lineで各componentの測定・試験記録からinternal failureを予測する説明	製造yield、不良候補抽出、工程データ活用の需要	特定EPS工程の実証	工程・検査データを使う仮説の根拠
SRC003	Machine Learning Orientation Bosch summary	Educational summary	https://machinelearningintro.uwesterr.de/bosch-production-line-performance.html	Bosch competitionの目的、製造不良予測、MCC評価	コンペ課題が製造不良削減だったこと	Kaggle上位精度が業務価値になる断定	仮説1の公開課題確認
SRC004	Mercedes-Benz Greener Manufacturing	Kaggle competition	https://www.kaggle.com/c/mercedes-benz-greener-manufacturing	車両構成からテストベンチ時間を予測する課題	多品種構成で評価時間を読みたい需要	EPS品質や市場故障の実証	bench/HILS/EOL評価時間見積もりのproxy
SRC005	Mercedes-Benz Bench Test Time Estimation	Student report / public PDF	https://noiselab.ucsd.edu/ECE228_2018/Reports/Report11.pdf	feature combinationからbench test timeを予測し、test planning効率化に触れる	構成情報から評価時間を見積もる発想	実EPS評価計画の価値断定	仮説2の公開課題確認
SRC006	Klotz EPS/EPAS EOL test bench	Vendor page	https://www.klotz.de/en/competencies/end-of-line-test-bench-for-electric-power-steering-eps-epas/	EPS/EPAS向け100% EOL、機能・音響・CAN/FlexRay、品質データ処理	実EPS生産でEOL試験と品質データ蓄積が存在すること	EOL試験追加が新規価値になる主張	価値をEOL試験追加ではなくデータ判断支援へ絞る
SRC007	Dewesoft End-of-Line testing overview	Vendor explainer	https://dewesoft.com/blog/end-of-line-testing	EOLが最終品質確認で、データ収集・解析が工程改善に使われる説明	EOLデータが品質・工程改善入力になること	EPS固有需要や購買意思の証明	製造品質・EOLデータ仮説の補助
SRC008	Acerta automotive EOL testing article	Vendor explainer	https://acerta.ai/articles/an-introduction-to-automotive-end-of-line-testing/	EOLは時間・コストが高く、後工程scrap/reworkが非効率で、上流データからfail予測する発想	後工程で落ちる前に怪しい個体を見たい需要	Acerta型solutionをそのままEPSで売れる主張	早期不良候補抽出の業務痛み確認
SRC009	OBD-II & CAN-Based Driving Behavior Dataset	Kaggle dataset	https://www.kaggle.com/datasets/isaygerardozamora/obd-ii-and-can-based-driving-behavior-dataset	OBD-II/CANから運転行動を分類	使用条件proxyの補助	EPS内部故障、製造品質、評価時間	主候補から外す
SRC010	Car-Hacking Dataset	Kaggle dataset	https://www.kaggle.com/datasets/pranavjha24/car-hacking-dataset	CAN traffic normal/attack classification	通信異常検知demo mechanics	EPS製造品質やfield failure	既存cyber領域として主候補から外す
