id	deep_dive_decision	what_it_really_shows	eps_supplier_reading	next_family_or_artifact	useful_signals	do_not_claim	next_check
KGL001	Separate branch	製造ライン測定・試験から内部不良を予測したい製造品質課題	EPS製造・EOL検査で再検査、保留、工程確認候補を出す別枝	製造・EOL検査proxy line/station/test explanation	assembly line measurements, tests, response, line/station/test	EPS市場故障予測、EOL省略、root cause断定	製造枝を再開する場合だけproxyを作る
KGL002	Separate branch	車両構成からテストベンチ時間を予測したい評価時間課題	EPS variant、software、calibration、試験セットから評価時間を読む別枝	評価時間proxy configuration-to-test-time map	vehicle feature permutation, testing time, configuration	品質判断、実使用条件、操舵要求の証拠	評価時間短縮枝を再開する場合だけ見る
KGL003	Keep / High	OBD-II/CANから運転行動や利用状態を分類したい	速度帯、加減速、stop-start、急操作に近い使用条件family	usage-condition family table	speed, acceleration, CAN/OBD signals, driver/vehicle grouping	EPS内部故障、DTC不足、劣化兆候	速度・加減速・操作イベントをfamily化する
KGL004	Keep with boundary	CAN trafficのnormal/attackを分けたい	診断通信、異常通信、security access、禁止主張の境界確認	communication boundary table	CAN ID, payload, DoS, fuzzy, spoofing	EPS品質証拠、SbW安全証明、汎用IDS商品	KGL011と束ねて境界表を作る
KGL005	Keep / High	steering angleや操舵要求を推定したい	操舵角、操舵変化、連続操舵、急操舵のfamily	steering-demand family table	steering angle, steering change, image/simulator context	ADAS制御モデル、EPS内部状態推定	角度、角速度、継続時間、頻度でfamily化する
KGL006	Keep / High	受動車両センサから路面種別や走行環境を分類したい	路面、振動、走行環境をEPS負荷条件や評価scenario外部条件へ変換	road-and-environment family table	accelerometer, gyroscope, magnetometer, GPS, camera, road surface	路面分類がEPS内部状態を示す、road product化	KGL005と組み合わせて荒れた路面+操舵familyを作る
KGL007	Keep / Highest	traffic、driving style、road surface conditionを同時に分類したい	運転スタイル x 路面状態 x 加速度の複合使用条件family	usage-road combined family table	traffic, driving style, road surface, longitudinal acceleration, engine load	EPS故障原因、内部stress断定	20-50件family作成のハブにする
KGL008	Keep / Medium	都市走行でroad surface imperfectionを検出したい	路面凹凸、段差、荒れた舗装、連続振動の評価外乱条件	road-disturbance family table	urban run, road imperfections, vibration-like proxy	EPS故障、road quality product化	段差/連続凹凸/荒れた舗装/低速市街地に仮分類する
KGL009	Schema only	CARLA上で運転行動KPIを設計したい	使用条件family表の列設計に使う	scenario schema	speed, acceleration, jerk, throttle/brake variability, steering behavior, lane deviation	市場実証、EPS負荷証明	feature schemaに採用する列だけ選ぶ
KGL010	Schema only	合成telemetryでsafe/aggressive drivingを分類したい	driver behavior分類の列設計に使う	driver-behavior schema	steering stability, braking intensity, acceleration smoothness	合成データを市場証拠にする、EPSリスク判断	特徴量名だけを借りる
KGL011	Keep with boundary / High	2019 Ford車両ECU構造でCAN DoS/spoofingを扱う	steering wheel spoofingやDoSを診断質問、security access質問、禁止主張へ転記	communication abnormality boundary table	DoS, spoofing-GAS/RPM/SPEED/STEERING_WHEEL, CAN ID, data bytes	EPS/SbW cyber商品、安全証明、EPS固有診断証拠	KGL004と束ね、言える/言えない表を作る
KGL012	Context only / Low	BMW i3の実走行tripとbattery/heating/thermal contextを見る	EV実走行、外気、熱条件を評価scenario外部条件として補助利用	thermal-context companion columns	trip duration, ambient/thermal context, heating, battery	EPS thermal state、assist limitation推定	使用条件family表の補助列にするか判断
