pack_id	scenario_id	field_group	required_fact	why_needed_for_warranty_rca	public_data_check	public_data_result	existing_internal_diagnostic_check_needed	provisional_decision	confidence
PDER001	SCN001 low_speed_high_effort	Market demand	NTF/返却品/RCA/8Dで、低速時に操舵が重くなったというdriver-visible symptomを説明する必要がある	返却品単体で再現しない場合でも、顧客品質説明に必要な文脈を揃えるため	NHTSA MKT003/MKT004/MKT009 and comma LSHSD windows	NHTSAは低速時のincreased effort痛みを示す。commaは正常走行proxyとして5-8 m/s高操舵windowを作れる。	対象EPSでassist loss/assist limited/warning/DTCがどの診断に紐づくか	Proceed as scenario; not as fault proof	High
PDER002	SCN001 low_speed_high_effort	Driver context	vehicle speed at event	低速時ほどmanual steering effortが問題化しやすいため、D2 problem descriptionに必須	comma LSHSD-001/003/005	LSHSD-001 mean speed 7.21 m/s, max 7.99 m/s。LSHSD-003 mean 5.43 m/s。LSHSD-005 mean 7.23 m/s。	DTC freeze frame / extended dataにvehicle speedが残るか	Existing likely enough; verify	High
PDER003	SCN001 low_speed_high_effort	Driver context	steering angle / steering demand at event	操舵負荷文脈を説明し、単なる低速走行と区別するため	comma steeringAngleDeg and steerFiltered	LSHSD-001 mean steering angle 31.98 deg, max 39.19 deg, steerFiltered 1.0。LSHSD-005 mean 16.59 deg, max 24.00 deg。	DTC freeze frame / extended dataにsteering angleまたはsteering demand proxyが残るか	Existing likely enough if steering angle is captured	High
PDER004	SCN001 low_speed_high_effort	Driver action	steering_pressed / driver override flag	ドライバーが手を入れていた/いない、制御がactiveだったかを説明し、評価proxyの意味を限定するため	comma steeringPressed and latActive	Top windows have steering_pressed_ratio 0.0 and lat_active_ratio 1.0。正常走行proxyであり故障イベントではない。	量産EPS/ADAS連携でdriver overrideやassist active stateが残るか	Public proxy usable only for context	Medium
PDER005	SCN001 low_speed_high_effort	Assist delivery	assist command vs actual motor current	要求assistに対して実assistが出せたかをRCAで見る中心fact	comma has steerFiltered only; no motor current	Public data cannot answer.	既存DTC/freeze frame/extended dataにassist command, motor current, current tracking errorがあるか	If absent, strongest candidate gap	Medium
PDER006	SCN001 low_speed_high_effort	Limit state	current limit / derating reason / assist limitation state	操舵が重くなった理由が制御制限、電源、熱、故障検知のどれかを分けるため	comma has no EPS limit state	Public data cannot answer.	limit flag, derating reason, assist state transitionがDTC extended dataに残るか	Candidate gap; do not assert absent	Medium
PDER007	SCN001 low_speed_high_effort	Power and thermal	battery voltage / ECU internal voltage / EPS thermal state	電源低下や熱制限によるassist制限を除外/説明するため	comma has no voltage or temperature	Public data cannot answer.	assist loss/limited系DTCでvoltage and thermal stateが残るか	Likely covered partly; verify	Medium
PDER008	SCN001 low_speed_high_effort	Sensor plausibility	torque sensor residual / redundancy / connector context	公開caseにはtorque sensor / connector文脈があり、RCAで切り分けが必要なため	comma has no raw torque sensor redundancy	Public data cannot answer.	torque sensor related DTCのextended dataにraw A/B, residual, plausibility marginがあるか	Candidate gap if related cases exist	Medium
PDER009	SCN001 low_speed_high_effort	Time context	pre-event 1-3 s scalar summary	freeze frameが発火瞬間だけだと、直前の高負荷文脈が失われるため	comma can provide representative pre-event demand windows but not DTC trigger	Public data supports defining scalar summary candidates, not proving need.	event memoryが直前max/min speed, steering angle, demand/current, voltage min, limit countを持つか	Potential add-on only after internal review	Low-Medium
PDER010	SCN001 low_speed_high_effort	Readout path	supplier returned-part reader / DID availability	ECUに残っていても、返却品解析で読めなければRCA/8Dに使えないため	public data cannot answer	Public data cannot answer.	サプライヤ返却品reader、engineering DID、ODX、OEM承認境界を確認する	Must verify before business claim	High
PDER011	SCN001 low_speed_high_effort	8D attachment	confirmed / unconfirmed / do-not-infer table	原因断定を避けつつ、顧客品質報告に転記できる形にするため	Use NHTSA pain + comma proxy + diagnostic coverage matrix	Confirmed: public pain exists; proxy context exists. Unconfirmed: target EPS evidence coverage. Do-not-infer: root cause, defect, prediction.	顧客品質/8Dテンプレートに転記できるか	Proceed to sample; value depends on user reaction	High
PDER012	SCN001 low_speed_high_effort	Business validation	RCA/8D/顧客品質報告に転記できるか	商品価値は分析ではなく業務成果物への転記可能性で決まるため	Create one-page sample from this table	公開データだけでskeletonは作れるが、実案件価値は内部DTC仕様とreaderで決まる。	quality/warranty/diagnostic engineer review	Kickoff PoC; kill if not used	High
