item_id	content_type	plain_content_question	sovd_or_next_diag_relevance	eps_supplier_boundary	initial_exposure_policy	rfq_or_spec_phrase	do_not_claim	kill_signal
NGD001	DTC	操舵assist低下を示す故障コードは、運転者に見える警告や残存操舵状態とどうつながるか	fault entryとして読まれる可能性がある	DTC定義、検知条件、warning連携はEPS側に近い	service and OEM engineering readable	対象EPSはassist低下を検知した場合、DTCと警告状態を対応づけて説明する	root cause断定	既存DTC表に同じ説明がありRFQ文言化も不要
NGD002	DTC	冗長低下を示す故障コードは、一時的な低下と継続異常を分けられるか	fault entryとoccurrence情報に関係する	冗長監視とDTC成熟条件はEPS側に近い	service readable, remote limited	冗長低下は検知状態と継続条件を分けて診断説明する	安全承認済みと断定	既存安全資料だけの要約になる
NGD003	DTC	低電圧やbrownout由来の異常は、操舵部品原因と車両電源原因を分けて説明できるか	fault and environment dataに関係する	EPS電源監視と保存条件はEPS側に近い	service readable	電源条件を周辺条件として保持し、部品原因とは分けて説明する	車両電源原因の断定	環境データが既存freeze frameで十分
NGD004	freeze_frame	DTC発生時の車速、電圧、温度、assist状態は残るか	environment dataとして読まれる可能性がある	保存項目と粒度はEPS診断仕様に近い	service readable, remote aggregated	異常時の周辺条件は診断仕様で定義した範囲で提供する	不足を公開情報だけで断定	既存freeze frame項目で全て説明済み
NGD005	extended_data	発生回数、成熟状態、直近発生条件は読めるか	fault details and environment dataに関係する	DEM/診断仕様の保持条件はEPS側に近い	service readable	発生履歴は原因断定ではなく再現性判断の補助として提供する	頻度から保証費削減を断定	既存extended dataで十分
NGD006	DID	software IDはDTC説明と同じ場で確認できるか	identificationとして読まれる可能性がある	software識別子はEPS software/calibration側に近い	service and OEM engineering readable	診断時にsoftware識別情報をDTC説明と突合できるようにする	software IDだけで不具合原因を断定	既存readerで十分
NGD007	DID	calibration IDはassist制限やwarning条件と紐づくか	identification and configurationに関係する	calibration識別と機能条件はEPS側に近い	OEM engineering readable, service limited	calibration識別情報は機能条件の確認に使うが原因断定には使わない	calibrationが原因と断定	OEMが完全指定
NGD008	DID	variant codingは診断表示や許可routineに影響するか	configurationとして読まれる可能性がある	variant情報はEPS製品仕様に近い	OEM engineering readable	variant差で診断表示と許可操作が変わる場合は仕様上明記する	全variantで同一挙動と断定	既存variant管理で十分
NGD009	DID	assist stateは通常、制限中、degraded、fail-safeを区別して読めるか	measurement or state dataに関係する	EPS制御状態はEPS側に近い	service readable, remote summarized	assist状態は診断で読める範囲と運転者表示を分けて説明する	車両全体の安全状態を断定	安全資料の要約だけになる
NGD010	DID	thermal derating reasonは、温度、電流制限、復帰条件と一緒に見えるか	measurement dataに関係する	熱保護と制限状態はEPS側に近い	service readable	熱制限状態は復帰条件と合わせて診断説明する	将来故障予測	既存DIDで完結
NGD011	DID	motor currentやphase currentの異常要約は外部へ見せるべきか	measurement dataに関係する	内部電流要約はEPS制御側に近い	OEM engineering only	内部電流情報は安全影響と機密性を踏まえ公開範囲を制限する	raw制御信号の全面公開	OEMが非公開指定
NGD012	DID	torque sensor plausibilityは、serviceに読ませる粒度とengineering粒度を分けるか	measurement dataに関係する	センサ診断と残差情報はEPS側に近い	service summarized, engineering detailed	serviceには要約状態を提供し、engineeringには詳細DIDを制限付きで提供する	センサ原因の断定	既存reader権限で十分
NGD013	DID	steering angleやrack positionの異常は、車両側センサとの差をどう扱うか	measurement and entity dataに関係する	EPS側センサ範囲は持てるが車両側比較はOEM依存	service limited	EPS側で読める位置情報と車両側で必要な比較情報を分けて説明する	車両側センサ原因を断定	OEM車両データ依存が強い
NGD014	routine_control	actuator test routineはどの状態で実行禁止にするか	routine executionに関係する	routine条件と安全影響はEPS側に近い	service restricted	操舵に影響するroutineは状態条件と権限条件を明記する	どの環境でも実行可能	既存routine仕様で十分
NGD015	routine_control	calibration writeやreset routineはremoteで許可するか	routine and software function controlに関係する	write許可とsecurity accessはEPS/cyber側に近い	remote prohibited by default	書込みやresetを伴う操作は遠隔実行を原則制限し、例外条件だけを定義する	remote操作の安全性保証	OEMが全権限を指定
NGD016	security_access	service、factory、engineering、OEM cloudの権限差は説明できるか	OAuth/role-based access文脈に関係する	ECU service権限と禁止操作はEPS/cyber側に近い	role based	診断利用者ごとに読取、実行、書込み、禁止操作を分ける	全利用者へ同じ情報を出す	既存security access表で十分
NGD017	security_access	security-sensitive dataをどのDIDから除外するか	data access policyに関係する	機密信号の公開判断はEPS/cyber側に近い	restricted	機密性または安全影響のあるDIDは公開範囲と理由を明記する	securityリスクなしと断定	OEM cyber要求で完全指定
NGD018	software_update	post-update checkで読むべきDTC、ID、stateは何か	software update and identificationに関係する	update後確認項目はEPS software側に近い	OEM engineering readable	update後はsoftware/calibration ID、関連DTC、機能状態を確認する	OTA基盤を提供できる	既存update手順で完結
NGD019	software_update	update失敗時に操舵機能状態と診断状態をどう説明するか	software update and fault dataに関係する	update失敗時のEPS状態説明はEPS側に近い	OEM engineering readable	update失敗時の診断状態と運転可否判断はOEM車両側判断と分けて説明する	車両運行可否を単独判断	OEM update platform依存
NGD020	logging	ログやtraceをEPSサプライヤが外部診断へ出す必要があるか	logging/tracingに関係する	EPS内部ログの有無と機密性はEPS側に近い	engineering only by default	ログは量産service情報ではなく、必要時のengineering情報として扱う	常時ログ監視で故障予測	ログが存在しないまたは既存運用で十分
NGD021	measurement	assist torque commandやlimit reasonをremoteへ出すか	measurement dataに関係する	制御状態の公開判断はEPS側に近い	remote summarized	remoteでは要約状態に限定し、詳細制御信号はengineering権限へ分ける	制御性能を外部から保証	機密性で公開不可
NGD022	measurement	communication timeoutは車両network原因とEPS内部原因を分けられるか	fault and environment dataに関係する	EPS側通信監視は持てるがnetwork全体はOEM依存	service readable	通信異常はEPSで検知した範囲と車両network側の追加確認を分ける	network root cause断定	OEM network dataなしでは判断不能
NGD023	configuration	countryやequipment差でwarningやdiagnostic exposureが変わるか	configurationに関係する	variantと表示条件はEPS/OEM共同領域	OEM engineering readable	地域、装備、variant差がある場合は診断表示と公開範囲を分ける	全市場で同一説明	OEMが表示仕様を完全指定
NGD024	diagnostic_capability	EPS ECUが提供する診断capabilityをself-describingに説明できるか	capability retrievalに関係する	提供DID/routineの意味づけはEPS側に近い	service and OEM engineering readable	EPS ECUが提供する診断項目は、意味、権限、安全影響を合わせて説明する	SOVD serverをサプライヤ側で提供	toolchain側で自動生成済み
NGD025	forbidden_claim	診断コンテンツから言ってはいけない主張をRFQ回答に残せるか	API範囲外の責任境界に関係する	EPSサプライヤの責任境界整理は製品側に近い	all audiences	診断情報は確認済み事実と追加確認先を示すもので、原因断定や保証費削減を約束しない	予測、保証費削減、root cause断定	禁止主張リストがRFQや仕様に不要
