id	repo_option	scope	business_model	customer	pain_point	revenue_model	extracted_knowledge	useful_item_for_repo	relevance
BM001	Option A: End-user Fault Warning	Automotive ownership	Consumer warning subscription	Vehicle owner	故障不安を早く知りたい	月額アプリ課金	個人向け警告は誤警告時の不安と入庫を増やしやすい	エンドユーザ通知をNon-Goalに明記し、解析用エビデンスに限定する	Low
BM002	Option A: End-user Fault Warning	Automotive ownership	Connected car health score	Vehicle owner and OEM	車両状態を一目で把握したい	車載コネクテッド機能の一部	スコアは分かりやすいが、根拠が弱いとクレーム化しやすい	スコアではなく原因候補カテゴリと根拠信号をセットにする	Medium
BM003	Option A: End-user Fault Warning	Aftermarket diagnostics	OBD dongle alert service	Vehicle owner	警告灯前に異常を知りたい	デバイス販売と月額	汎用OBDは深いEPS内部状態を取れない	サプライヤ固有の内部信号が差別化要素になる	Medium
BM004	Option A: End-user Fault Warning	Insurance telematics	Risk-based maintenance nudge	Insurer and policyholder	事故リスクや整備不足を減らしたい	保険料割引とデータ連携料	安全系警告は責任境界が重い	保険・ユーザ向け利用は避け、OEM品質部門向けに寄せる	Low
BM005	Option A: End-user Fault Warning	Dealer service	Service appointment trigger	Dealer	入庫機会を増やしたい	送客手数料またはCRM費用	販売店には魅力でもOEMには保証費増に見える	入庫誘導ではなく、入庫後解析の時間短縮を価値にする	Low
BM006	Option A: End-user Fault Warning	Mobile app	Vehicle wellness report	Vehicle owner	車の健康状態を定期的に知りたい	アプリ月額またはOEMバンドル	人間向けレポートは解釈の簡単さが重要	技術者向けにも短いEvidence Summaryを作る	Medium
BM007	Option A: End-user Fault Warning	Used car	Pre-sale vehicle health certificate	Used car buyer and seller	中古車の状態を証明したい	検査料または証明書発行料	証明書は証跡と解釈ルールが価値になる	返却品解析だけでなく履歴証跡のデータ辞書を整備する	Medium
BM008	Option A: End-user Fault Warning	Consumer safety	Emergency assist limitation alert	Vehicle owner	急なアシスト低下を避けたい	OEM安全機能として内包	操舵系のユーザ警告は法規と安全設計の制約が強い	市場品質解析用と車載安全制御用を明確に分離する	Low
BM009	Option A: End-user Fault Warning	Remote diagnostics	Remote diagnostic readout for owner	OEM service center	来店前に状態を把握したい	OEMサービス契約	遠隔読出しは便利だがOEMクラウド依存	サプライヤ提案は読出し項目と解釈表に限定する	Medium
BM010	Option A: End-user Fault Warning	Warranty extension	Health-based extended warranty	OEM and owner	延長保証のリスクを見積もりたい	保証商品価格への組み込み	個車判定は保証判断に直結し責任が重い	保証自動判断ではなく、品質解析の補助証跡として扱う	Low
BM011	Option B: Fleet Predictive Maintenance	Fleet operations	Fleet uptime dashboard	Fleet operator	稼働停止を避けたい	車両台数課金	フリートは頻度の高い故障や消耗品に払いやすい	EPS単体ではなくVehicle Healthの一指標に位置づける	Medium
BM012	Option B: Fleet Predictive Maintenance	Logistics	Predictive maintenance bundle	Logistics fleet	予期せぬ故障と配送遅延を減らしたい	月額SaaS	複数部品を束ねると価値が出る	操舵単体販売ではなくOEM向け品質パッケージに寄せる	Medium
BM013	Option B: Fleet Predictive Maintenance	Bus operations	Safety-critical subsystem monitoring	Bus operator	乗客安全と運休を避けたい	車両台数課金	低頻度でも安全重要部品は説明責任の価値がある	重大低頻度リスクは予測より事後説明性を訴求する	High
BM014	Option B: Fleet Predictive Maintenance	Taxi fleet	Driver complaint triage	Taxi operator	操舵違和感の申告を素早く切り分けたい	SaaSまたは保守契約	主観症状には客観証跡が効く	違和感申告時のsnapshot evidenceを定義する	High
BM015	Option B: Fleet Predictive Maintenance	Rental car	Inspection prioritization	Rental operator	返却後点検の優先度を付けたい	車両台数課金	短時間で読むサマリが現場価値になる	診断読出し時に要点だけを表示するEvidence Summaryを作る	Medium
BM016	Option B: Fleet Predictive Maintenance	Heavy equipment	Condition-based maintenance	Equipment owner	止められない機械の故障を減らしたい	稼働時間課金	高価で稼働率価値が大きい領域は予防保全が成立しやすい	EPSでは稼働率より安全品質と解析短縮を主価値にする	Medium
BM017	Option B: Fleet Predictive Maintenance	Aviation	Engine health monitoring	Airline	高額部品の故障と運航停止を避けたい	時間課金と解析サービス	安全重要領域ではデータの信頼性と監査性が価値になる	診断エビデンスにvalid conditionと保存条件を必ず付ける	High
BM018	Option B: Fleet Predictive Maintenance	Rail	Remote condition monitoring	Rail operator	設備停止と安全リスクを避けたい	長期保守契約	長寿命機器では履歴とトレンドが重要	一時イベントカウンタに累積と直近履歴の両方を持たせる	High
BM019	Option B: Fleet Predictive Maintenance	Marine	Fleet equipment reliability service	Ship operator	遠隔地での故障対応を減らしたい	保守契約	現場アクセスが難しいほど遠隔証跡の価値が高い	返却品が来る前に読めるDTC拡張データを重視する	Medium
BM020	Option B: Fleet Predictive Maintenance	Tires	Tire pressure and wear service	Fleet operator	頻発する消耗品問題を管理したい	台数課金	高頻度イベントは月額課金に向く	EPSは高頻度ではないため頻度価値で戦わない	Low
BM021	Option B: Fleet Predictive Maintenance	Battery	12V battery prediction	Fleet operator	始動不能を避けたい	台数課金	低電圧は多くの車載異常の共通原因になる	EPSイベントには電源電圧コンテキストを必須証跡にする	High
BM022	Option B: Fleet Predictive Maintenance	Brake system	Brake wear monitoring	Fleet operator	整備時期を最適化したい	台数課金	摩耗のような連続劣化は予測に向く	EPSでは摩耗RULより閾値未満イベント履歴を使う	Medium
BM023	Option B: Fleet Predictive Maintenance	EV fleet	Thermal and power derating monitor	EV fleet operator	出力制限や熱制限を把握したい	SaaS	制限発生時の条件保存が原因説明に効く	EPSのassist limitationに温度と電流追従の証跡を残す	High
BM024	Option B: Fleet Predictive Maintenance	Commercial vehicles	Remote DTC triage	Fleet maintenance team	大量DTCの優先度付けをしたい	台数課金	DTCだけでなく重要度と次アクションが必要	原因候補カテゴリと追加取得データを一緒に出す	High
BM025	Option B: Fleet Predictive Maintenance	Leasing	Residual value health analytics	Leasing company	残価リスクを見たい	データ分析料	残価用途は個車評価に近く責任が重い	本Repoでは残価や保証査定を避ける	Low
BM026	Option B: Fleet Predictive Maintenance	Last-mile delivery	Depot maintenance planner	Depot manager	夜間整備枠を最適化したい	SaaS	運用現場は修理優先度と部品準備に価値を見る	OEM品質向けにも解析優先度を示すtriage flagを設計する	Medium
BM027	Option B: Fleet Predictive Maintenance	Emergency vehicles	Mission readiness monitoring	Public fleet	緊急車両の稼働不能を避けたい	保守契約	低頻度でもミッション重要度が高いと価値が出る	安全重要性を市場品質の説明価値として表現する	Medium
BM028	Option B: Fleet Predictive Maintenance	Shared mobility	Vehicle availability score	Car sharing operator	利用不能車両を減らしたい	台数課金	可用性スコアは全車両データ前提	サプライヤ単独ではスコアを作らず証跡部品に徹する	Low
BM029	Option C: OEM Market Quality Monitoring	OEM quality	Field quality analytics platform	OEM market quality	市場不具合を早期把握したい	年額SaaSまたはサプライヤ内基盤	品質部門は個車予測より群の傾向と説明性を重視する	将来接続用にlot, software, calibrationのキーを持つ	High
BM030	Option C: OEM Market Quality Monitoring	OEM quality	Warranty analytics service	OEM warranty team	保証費の増加要因を知りたい	分析サービス	保証データと診断データの接続で価値が増える	保証判断ではなく保証解析に使える証跡にする	High
BM031	Option C: OEM Market Quality Monitoring	OEM quality	Complaint-to-signal correlation	OEM customer quality	苦情と車両データを結びたい	分析プロジェクト	主観苦情は客観信号と紐づくと強い	操舵違和感カテゴリに対応する信号セットを定義する	High
BM032	Option C: OEM Market Quality Monitoring	OEM quality	Recall scope analysis support	OEM safety and compliance	対象車両範囲を検討したい	コンサルまたは解析料	リコール判断はOEM責任で、サプライヤは根拠提供が妥当	自動判断を避け、対象検討に使える分類軸を提供する	High
BM033	Option C: OEM Market Quality Monitoring	OEM quality	Service campaign prioritization	OEM service engineering	サービスキャンペーン優先度を決めたい	プロジェクト課金	市場台数での発生率を見るにはOEMデータが必要	サプライヤ側は発生条件と再現条件の粒度を上げる	High
BM034	Option C: OEM Market Quality Monitoring	OEM quality	Early warning quality dashboard	OEM quality executive	品質問題の早期兆候を見たい	サプライヤ内基盤またはSaaS	経営向けには件数と重大度、技術者向けには証跡が必要	上位KPIではなく下位証跡データとして設計する	Medium
BM035	Option C: OEM Market Quality Monitoring	OEM engineering	Engineering issue triage portal	OEM engineering	報告案件の原因候補を振り分けたい	年額SaaS	triageは断定ではなく作業分配価値が大きい	suspected cause categoryを工程レビュー用に定義する	High
BM036	Option C: OEM Market Quality Monitoring	OEM supplier management	Supplier evidence exchange portal	OEM and Tier1	サプライヤ間の原因切り分けを早めたい	プラットフォーム課金	共通データ辞書がないと議論が長引く	Signal dictionaryとinterpretation cautionを商品に含める	High
BM037	Option C: OEM Market Quality Monitoring	Manufacturing quality	Production lot risk analytics	OEM manufacturing quality	ロット起因の偏りを見たい	分析料	ロット情報との結合で市場解析が強くなる	ECU production lotやtraceability IDの読出し可能性を検討する	Medium
BM038	Option C: OEM Market Quality Monitoring	Software quality	Software version cohort analysis	OEM software quality	SW版ごとの不具合差を見たい	分析サービス	ソフト版とcalibrationの粒度が原因切り分けに効く	SW versionとcalibration IDを診断証跡の必須候補にする	High
BM039	Option C: OEM Market Quality Monitoring	Regional quality	Region and climate issue analytics	OEM market quality	地域や環境差を把握したい	分析サービス	地域データはOEM側だが温度等のECU状態はサプライヤ側で持てる	外部地域情報に接続できるよう温度・電圧・使用条件を保存する	High
