rank	model_id	lane	business_model	buyer	offer	revenue_model	why_it_survives_s2e001_hold	required_data	first_demo	what_to_sell_now	what_not_to_claim	kill_condition	next_action	priority
1	BMR001	Internal-data-light	EPS Market Pain Scenario Library	EPS supplier design; validation; quality; sales engineering	NHTSA/recall/public CANからEPSで揉めやすいdriver-visible painを評価シナリオ化するライブラリ	paid research pack; quarterly update; workshop add-on	S2E001が追加証跡商品として未成立でも、評価シナリオとしては使える	公開市場文脈; 公開走行proxy; 公開リコール/調査文書	S2E001/S2E002/S2E004のscenario cardsと代表window	市場痛みから評価/設計レビュー論点を作るパック	故障予測; 既存診断不足の断定; サプライヤEPSへの直接適用	設計/評価/品質の誰も使わない、または既存FMEA/DRBFMと差分がないならKill	3シナリオ分のscenario cardを作る	High
2	BMR002	Internal-data-light	RFQ / Design Review Evidence Pack	EPS supplier sales engineering; advanced development	OEM向けRFQ/DRBFM/design reviewで「このEPSはどの市場文脈をどう扱うか」を説明する資料パック	NRE; proposal support; per-program consulting	内部DTC仕様が無くても、公開painと評価シナリオを使った説明資料は作れる	公開pain taxonomy; scenario library; public proxy windows	S2E001を「Holdだが評価観点として有効」と説明するRFQ page	health-readyではなくdiagnostic explainability / scenario readiness	量産診断証跡の搭載済み主張; OEM保証削減の定量効果	OEM/サプライヤ内レビューで資料用途がないならKill	1ページRFQ sampleを作る	High
3	BMR003	Internal-data-light	Diagnostic Evidence Design Review Workshop	EPS diagnostic engineering; customer quality	既存DTC/freeze frame/extended dataが市場痛み文脈を説明できるかを見る短期レビュー	2-4 week paid workshop; fixed-fee assessment	S2E001のHoldをそのまま商品導線にできる。内部仕様が無いと判定できない課題をレビューとして売る	顧客のDTC仕様があれば強いが、初回は公開シナリオでワークショップ可能	S2E001 review templateを使った模擬レビュー	Proceed/Kill/Holdを判定する設計レビュー	追加証跡実装の必要性断定; 8D自動化	顧客がDTC仕様を持ち込めない/持ち込む意思がないなら有料化しにくい	ワークショップ agenda と成果物sampleを作る	High
4	BMR004	Internal-data-light	Public NTF / Warranty Risk Intelligence	EPS quality; warranty; program management	公開NTF/recall/ODI文書から、再現不能・責任分界・説明困難になりやすい文脈を分類する定期レポート	subscription research; paid briefing	S2E001単体でなく、市場痛みの継続監視として価値を出せる	NHTSA/ODI/recall; public warranty/quality sources	公開38件をNTF/warranty-risk taxonomyに再分類	外部市場から品質レビュー論点を得る	対象EPSの不具合発生予測; サプライヤ保証費削減保証	公開情報だけでは顧客が意思決定できないならHold	NTF risk taxonomyを更新する	Medium-High
5	BMR005	Internal-data-light	Evaluation Scenario Generator	EPS validation; HILS; controls team	公開走行データから低速高操舵/緩旋回/停止発進などの評価windowを抽出してHILS/bench入力に変換する	tool license; scenario pack; validation NRE	追加証跡が未成立でも、評価シナリオ生成は独立価値がある	commaSteeringControl; public CAN; scenario definitions	LSHSD windowからHILS input skeletonを生成	市場painに紐づく評価window抽出器	EPS fault reproduction; degradation prediction	既存評価シナリオ資産と差分がないならKill	S2E001 windowをHILS入力形式に近づける	Medium-High
6	BMR006	Internal-data-optional	EPS Diagnostic Evidence Gap Assessment	EPS diagnostic engineering; quality	顧客のDTC/freeze frame/extended dataを入力し、Candidate A/B/Cの不足有無を判定するassessment	fixed-fee assessment; NRE	内部仕様がある場合だけProceedできる。S2E001 Hold後の有料診断として成立	顧客DTC仕様; extended data; reader; NVM constraints	S2E001 review template	既存診断で足りる/足りないを判定する	公開情報だけでの不足断定; 実装確約	内部仕様が共有不可なら実施不可	レビュー表を入力可能なtemplateとして整える	Medium
7	BMR007	Internal-data-optional	Customer Quality Fact Summary Generator	EPS customer quality; warranty	返却品解析/顧客品質報告向けに、観測事実/未確認/推定を分けた1枚資料を作るツール/テンプレート	tool/NRE; report automation service	S2E001の証跡候補がなくても、報告表現の整理は価値になり得る	DTC; NVM; test result; issue narrative	サンプルfact summary page	原因断定を避けた品質報告の型	8D回答自動化; root cause断定	現場の報告フォーマットに合わないならKill	公開caseを使ったfact summary sampleを作る	Medium
8	BMR008	Internal-data-optional	Return-part Evidence Reader Readiness Review	EPS diagnostic tools; return-part analysis	返却品で読めるDID/engineering reader/ODX/権限を棚卸しするレビュー	fixed-fee review; diagnostic tooling NRE	S2E001が詰まった理由の1つ「読めなければ価値なし」を直接商品化する	engineering DID; reader; ODX; access policy	REV008 return_part_reader_path review	返却品解析で読める/読めないを明確化	新しいhealth機能搭載済み主張	読出し権限がOEM固定でサプライヤが触れないならOEM依存へ移す	Reader readiness checklistを作る	Medium
9	BMR009	Internal-data-optional	NVM Evidence Budget Review	EPS software architecture; diagnostics	追加証跡候補がNVM容量/書換頻度/保存件数に収まるかをレビューする	NRE; architecture review	S2E001 Candidate CをKill/Proceed判定する実装現実性レビュー	NVM constraints; event trigger; debounce; retention policy	REV009 nvm_budget_and_write_policy review	波形保存ではなくscalar summaryに絞る設計レビュー	証跡価値の市場証明	既存NVMに余裕がなく、保存方針も変えられないならKill	NVM budget checklistを作る	Medium
10	BMR010	OEM-dependent	OEM Warranty Correlation Analytics	OEM warranty; market quality	EPS evidenceと保証DB/苦情/修理履歴を相関分析する	analytics project; integration fee	価値は大きいがS2E001 Holdが示す通り、サプライヤ単独では進まない	OEM warranty DB; service history; fleet data	なし。現時点は構想のみ	将来のoptional extension	サプライヤ単独の商品; 初期主張	OEMデータ共有が無いなら初期対象外	Optional extensionとして残す	Low-now / High-later
