id	category	model	target	core_offer	revenue_model	core_data	optional_oem_data	feasibility	business_potential	dependency_risk	key_value	failure_mode	demo_possible	source_basis
BMFE001	Core ECU-local	EPS Health Indicator Set Licensing	EPS system supplier	12-20個のECU内部health indicator定義と実装仕様	NRE + per-program license	ECU内部信号,DTC,NVM,HILS	なし	5	5	Low	EPSをhealth-ready部品として差別化できる	指標が物理意味を持たないとログ追加に見える	Yes	Repo + EPS research
BMFE002	Core ECU-local	Health Summary DID Package	EPS system supplier / OEM diagnostics	低帯域のhealth summary DID / readout仕様	NRE + unit price uplift	DID,Extended Data,NVM	なし	5	4	Low	既存診断体系に載せやすい	DID追加価値が弱いとコスト扱いになる	Yes	UDS/SOVD diagnostics signal
BMFE003	Core ECU-local	DTC-below-threshold Counter Pack	EPS supplier	故障未満イベントのカウンタと最新イベント履歴	Feature package NRE	内部診断閾値,イベント,NVM	なし	5	4	Low	再現困難や予測準備に効く	故障予測と誤解される	Yes	Repo
BMFE004	Core ECU-local	Sensor Drift Watch Pack	EPS supplier	トルク/角度センサ冗長差とゼロ点傾向の監視	Feature package	センサ冗長信号,温度,電圧	なし	5	5	Low	EPS固有でECUメーカーが強い	正常ばらつきとの区別が難しい	Yes	EPS research
BMFE005	Core ECU-local	Current Tracking Watch Pack	EPS supplier	目標電流/実電流/偏差ピークの兆候化	Feature package	電流制御信号,温度,電圧	なし	5	5	Low	モータ/制御/負荷の初期兆候になる	車両条件で偏差が出る	Yes	EPS research
BMFE006	Core ECU-local	Thermal Stress Memory Pack	EPS supplier	ECU/モータ温度ピークとderating履歴	NRE + unit price uplift	温度,derating state,NVM	なし	5	4	Low	熱ストレス履歴は劣化材料として説明しやすい	地域差を劣化と誤認する	Yes	Automotive drive monitoring
BMFE007	Core ECU-local	Power Stress History Pack	EPS supplier	低電圧/電圧dip/電源復帰履歴の保存	Feature package	電圧,assist limitation,NVM	なし	5	4	Low	誤判定防止と外部要因切分けに効く	EPS付加価値として地味	Yes	Repo
BMFE008	Core ECU-local	Assist Limitation Recurrence Pack	EPS supplier	アシスト制限の回数/理由/直近条件の保存	Feature package	assist state,temperature,voltage,NVM	なし	5	4	Low	ユーザ症状に近いhealth状態を表せる	安全判断と誤解される	Yes	Repo
BMFE009	Core ECU-local	Harsh Usage Stress Counter	EPS gear supplier	据え切り/高負荷低速/急操舵反転のストレス指標	Feature package	電流,トルク,車速,操舵角	車両衝撃情報	4	5	Medium	ギア/ラック側への価値が強い	運転癖や用途差の影響が大きい	Yes	EPS degradation reasoning
BMFE010	Core ECU-local	End-stop Event Memory	EPS gear supplier	end-stop / curb-hit-like eventの履歴化	Feature package	操舵角,トルク,電流,end-stop flag	車両加速度	4	4	Medium	機械ストレス説明に使える	縁石衝突を断定できない	Yes	EPS degradation reasoning
BMFE011	Core ECU-local	ECU-local Baseline Learning	EPS supplier	車両内baselineで電流/トルク比の変化を見る	NRE + algorithm license	内部信号,走行条件,NVM	なし	3	5	Medium	OEMデータなしで劣化傾向に近づける	ECUリソースと検証が重い	Maybe	EPS research
BMFE012	Core ECU-local	Health State Rules Engine	EPS supplier	watch/check/reviewのルールベース分類	Algorithm license	indicator set,NVM	なし	4	4	Low	AIなしで説明可能な状態分類ができる	ルールが恣意的だと弱い	Yes	Repo
BMFE013	Core ECU-local	Health Indicator Dictionary	EPS supplier / OEM diagnostics	指標の意味/単位/条件/注意点の辞書	Documentation NRE	既存信号定義	なし	5	3	Low	ログ追加を使える商品に変える	ドキュメントだけだと単価化しにくい	Yes	Repo
BMFE014	Core ECU-local	NVM Evidence Map	EPS supplier	返却品で読むNVM health証跡マップ	NRE + unit price uplift	NVM,events,counters	なし	5	4	Low	返却品解析に直接効く	NVM容量と書換寿命が制約	Yes	Repo
