case_id	source_signal	common_pain_family	driver_visible_pain	eps_supplier_common_fact_needed	productization_hint	scale_note	business_implication
MKT001	NHTSA EPS safety report	FAM01_loss_of_assist	Increased effort / expected assist not provided	driver symptom taxonomy; assist available/unavailable state; warning/DTC context	Use as cross-OEM market pain taxonomy	573 EPS-related VOQs reviewed	Common taxonomy is useful, but not a product by itself
MKT002	NHTSA EPS safety report	FAM01_loss_of_assist	Loss of assist / actuator concern	controlled component; actuator; assist command implementation state	Use as failure scenario taxonomy	Aggregate recall causal factor breakdown	Supports diagnostic coverage benchmark, not RCA pack alone
MKT003	GM Saturn ION ODI investigation	FAM02_low_speed_high_effort	Sudden loss of assist; greater effort at low speed	assist command; motor current; torque sensor; controller fault; vehicle speed	Benchmark whether low-speed high-effort context is captured	334728 population; 4787 complaints; 30560 warranty claims	Good common scenario, but product value depends on existing freeze frame coverage
MKT004	GM recall scope	FAM02_low_speed_high_effort	Manual steering retained but effort rises at low speed	assist loss state; vehicle speed; steering demand; DTC/freeze frame	Use as high-scale low-speed effort benchmark	Approx 1340447 vehicles in recall scope	Strong market pain; common evaluation/diagnostic scenario
MKT007	GM Caprice recall FAQ	FAM03_warning_plus_effort	Increased effort plus warning/MIL	torque sensor connector plausibility; EPS module state; warning/DTC context	DTC-to-driver symptom mapping	Recall N192265980	Existing diagnostics likely cover much; benchmark value is coverage clarity
MKT009	GM Caprice PPV recall bulletin	FAM03_warning_plus_effort	Increased effort / MIL	connector/sensor voltage; torque sensor plausibility; freeze frame timestamp	Benchmark warning + low-speed effort explanation	Recall N192285350	Good for diagnostic coverage benchmark
MKT010	GM SS recall bulletin	FAM03_warning_plus_effort	Increased effort / MIL	connector/sensor voltage; torque sensor plausibility; freeze frame timestamp	Benchmark warning + low-speed effort explanation	Recall N192285350	Reinforces repeated connector/warning family
MKT011	Cadillac ATS recall FAQ	FAM04_intermittent_ignition_cycle	Assist loss lasts ignition cycle; returns after restart	ignition cycle; reset/fault latch; assist state; recurrence counter	Intermittent-state capture benchmark	Recall N182182760	Common pain, but productization needs internal state visibility
MKT012	Cadillac CTS recall FAQ	FAM04_intermittent_ignition_cycle	Assist loss lasts ignition cycle; returns after restart	ignition cycle; reset/fault latch; assist state; recurrence counter	Intermittent-state capture benchmark	Recall N182182760	Reinforces cross-model family
MKT013	Chevrolet Camaro recall FAQ	FAM04_intermittent_ignition_cycle	Assist loss lasts ignition cycle; returns after restart	ignition cycle; reset/fault latch; assist state; recurrence counter	Intermittent-state capture benchmark	Recall N182182760	Reinforces cross-model family
MKT015	Cadillac CTS 2025 recall bulletin	FAM04_intermittent_ignition_cycle	Assist loss while driving; returns after restart	ignition cycle; assist state; reset/fault latch; software/calibration version	Intermittent-state capture benchmark	Recall N252497020	Newer recurrence of family; supports common scenario
MKT019	Ford Fusion ODI investigation	FAM05_voltage_temperature_friction	Increased effort / power steering assist fault	low/high voltage; PSCM temperature; high friction DTC; derating state	DTC/extended-data coverage benchmark	848600 population; 2584 complaints; 9967 warranty claims	Strong evidence that many facts are already diagnostic; value is benchmark, not new logging
MKT020	Lincoln MKZ ODI investigation	FAM05_voltage_temperature_friction	Increased effort / power steering assist fault	low/high voltage; PSCM temperature; high friction DTC; derating state	DTC/extended-data coverage benchmark	Part of 848600 population	Shared platform case; supports cross-program benchmark
MKT021	Mercury Milan ODI investigation	FAM05_voltage_temperature_friction	Increased effort / power steering assist fault	low/high voltage; PSCM temperature; high friction DTC; derating state	DTC/extended-data coverage benchmark	Part of 848600 population	Shared platform case; supports cross-program benchmark
MKT022	Ford Fusion preliminary evaluation	FAM06_intermediate_no_warning	Power steering assist fault; intermittent loss at low/high speed	warning state; speed; assist transition; occurrence counter; last normal state	Intermittent/no-warning scenario benchmark	547 reports; crash allegations	Business value depends on capturing transition, not just DTC
MKT023	Ford Fusion engineering analysis	FAM06_intermediate_no_warning	Assist failed while driving at various speeds with no warning	warning absence/presence; assist transition; driver context; DTC relation	No-warning explanation benchmark	5676 incidents; 59 crashes; 23 injuries	High pain, but hard to productize without internal transient state
MKT024	Tesla Model S recall	FAM07_road_event_software_calibration	Rough road/pothole can trigger assist loss	road shock proxy; software/calibration version; assist state; fault/failsafe state	Road-context robustness scenario	40168 units across Model S/X	Good scenario library candidate; needs road/IMU data to scale
MKT025	Tesla Model X recall	FAM07_road_event_software_calibration	Rough road/pothole can trigger assist loss	road shock proxy; software/calibration version; assist state; fault/failsafe state	Road-context robustness scenario	40168 units across Model S/X	Reinforces road-event scenario
MKT026	Tesla Model 3 report	FAM08_stop_start_low_speed	Assist loss after coming to a stop; inability to complete turn	stop/start state; motor driver voltage/current; overvoltage; software version	Stop-start low-speed scenario	Up to 376241 vehicles; 2388 additional complaints cited	Strong common scenario if supplier can test/control stop-start transients
MKT027	Tesla Model Y report	FAM08_stop_start_low_speed	Assist loss after coming to a stop; inability to complete turn	stop/start state; motor driver voltage/current; overvoltage; software version	Stop-start low-speed scenario	Up to 376241 vehicles; 2388 additional complaints cited	Reinforces cross-model scenario
MKT028	Hyundai Tucson dealer document	FAM09_mdps_ecu_hardware	MIL and loss of assist due to MDPS power pack PCB contamination	DTC; short/open detection; PCB temperature; lot/date; EOL screen	ECU hardware quality scenario	Affected production dates 04/29/2024-05/06/2024	Closer to supplier-controlled quality; less vehicle-context scalable
MKT029	Hyundai Santa Cruz dealer document	FAM09_mdps_ecu_hardware	MIL and loss of assist due to MDPS power pack PCB contamination	DTC; short/open detection; PCB temperature; lot/date; EOL screen	ECU hardware quality scenario	Affected production dates 04/29/2024-05/21/2024	Reinforces supplier-controlled hardware quality family
MKT030	Mando MDPS equipment recall	FAM09_mdps_ecu_hardware	DTC due to short/open circuit; loss of assist	short/open DTC; component lot; EOL/return-part evidence; supplier traceability	Component-level evidence benchmark	3946 units; estimated 1% defect	Best fit for supplier-owned assessment, but not broad EPS market platform
MKT031	Kia Sportage recall	FAM09_mdps_ecu_hardware	Loss of assist from MDPS circuit board short	circuit board fault; DTC; lot; replacement path	Component-level evidence benchmark	1075 affected units	Supports supplier-owned hardware evidence track
