evidence_id	question	source_type	source_url	evidence_summary	kill_support	residual_value	confidence
KE001	Is market demand for automotive cyber/SBOM real?	Official guidance	https://www.nhtsa.gov/document/cybersecurity-best-practices-safety-modern-vehicles-2022	NHTSA best practices address vehicle manufacturers, electronic systems, software developers, and suppliers; they also emphasize supply-chain roles and software/asset inventory.	Does not kill market demand; confirms demand exists	Market demand exists, but not unique to EPS	High
KE002	Is cybersecurity engineering already standardized?	Official standard page	https://www.iso.org/standard/70918.html	ISO/SAE 21434 is the road vehicles cybersecurity engineering standard for E/E systems.	Generic ISO/SAE 21434 support is not differentiated	Only steering ECU-specific translation can remain	High
KE003	Is SBOM a recognized automotive topic?	Industry organization	https://automotiveisac.com/press-news/auto-isac-issues-software-bill-of-materials-informational-report-nbsp	Auto-ISAC issued an automotive SBOM informational report describing SBOM as software component transparency and vulnerability-management support.	Confirms SBOM is mainstream, not novel	Need EPS function-impact angle to remain	High
KE004	Is SBOM alone enough?	Official guidance	https://www.nist.gov/itl/executive-order-14028-improving-nations-cybersecurity/software-supply-chain-security-guidance-20	NIST describes SBOM as a formal software component record that helps vulnerability identification, not as a replacement for vulnerability management.	Kills SBOM-only product	Residual is response workflow and function impact, not SBOM generation	High
KE005	Are TARA and attack-surface tools already sold?	Vendor source	https://www.etas.com/ww/en/products-services/cybersecurity-products/escrypt-cycurrisk/	ETAS ESCRYPT CycurRISK advertises ISO/SAE 21434 and UN R155 aligned TARA tooling, attack surfaces, attack trees, damage scenarios, reusable knowledge, and TARA services.	Kills generic TARA/attack-surface offer	Residual only if steering ECU OEM-answer wording is missing	High
KE006	Are TARA, SBOM, vulnerability management already integrated?	Vendor source	https://www.ansys.com/products/safety-analysis/ansys-medini-analyze-for-cybersecurity	Ansys Medini Cybersecurity SE advertises automated TARA, vulnerability management, SBOM, ISO/SAE compliance workflows, and BOM/TARA model linkage.	Kills broad integrated evidence-pack/tool offer	Residual requires specific gap in EPS function mapping or customer response	High
KE007	Is automotive SBOM/compliance tooling already available?	Vendor source	https://www.siemens.com/en-us/products/sig-software-improvement-group-sigrid-compliance-cybersecurity-for-automotive/	Siemens Sigrid advertises automotive SBOM management, static analysis, Polarion integration, ISO/SAE 21434, and UN R155/R156 support.	Kills SBOM management/compliance product	Residual only if customer needs steering-specific interpretation	High
KE008	Are OEM/Tier-1 SBOM exchange and CVE monitoring already products?	Vendor source	https://uraeus.io/automotive-sbom/	ThreatZ/Uraeus advertises automotive SBOM, CVE monitoring, OEM/Tier-1 exchange, R156 software update traceability, and supplier portal.	Kills supplier-portal/SBOM-exchange/CVE-monitoring direction	Residual only if no EPS-specific OEM response exists internally	High
KE009	Can public demo prove value?	Repo evidence	docs/47_steering_ecu_software_cyber_demo.md	Public demo can show evidence shape but cannot show whether target supplier already has equivalent CSMS/TARA/SBOM/CVE workflow.	Kills public-only product validation	Need existence-level internal answers before further work	High
KE010	What is the remaining decision?	Synthesis	docs/49_steering_ecu_cyber_kill_evidence_dossier.md	Public evidence supports killing broad product; only a narrow OEM-answer translation support remains as last-check option.	Supports kill unless 5 existence questions show gaps	Short fixed-scope response support only if real gap appears	High
