field	content
market_demand	低速取り回し、駐車、凹凸、荒れた路面、操舵感、音、振動、通信異常は、ユーザやサービス現場に見えやすい困りごとである。OEMはそれらを車両コンセプトや用途想定に落とす。EPSサプライヤ側では、OEM用途想定を故障原因ではなくEPS側の確認観点、提案観点、説明境界へ翻訳し、製品企画、診断企画、品質改善、評価企画、顧客技術説明で同じ言葉にしたい。
unresolved_pain	Kaggleや公開proxyには操舵角、速度、stop-start、路面・振動、traffic、凹凸、通信異常の手がかりがあるが、そのままでは一般的な運転行動分析、路面分類、ADAS、汎用IDSに見える。また、駐車場や厳しい用途を特定する話にするとOEMの車両コンセプト定義に寄る。EPSサプライヤの業務成果物へ転記する翻訳の言葉が弱い。
hypothesis	公開proxyだけでも、低速、反復操舵、大舵角、段差、荒れた路面と操舵、通信異常contextの確認観点を事前に整理できる。その整理が、OEM用途想定を受けたときにEPSサプライヤの製品価値説明、RFQ確認質問、診断説明境界、品質改善、評価代表性確認に使えるなら、予測のような付加価値候補になる。
solution	最初はSaaSや故障予測商品ではなく、固定スコープのOEM用途想定からEPS確認観点への翻訳パックにする。ULC008を製品企画向けと診断企画向けに分け、ULC004を品質改善・評価企画向けに置き、PVC004を通信異常の説明境界として添える。
buyer_user	初期利用者はEPSサプライヤ内の製品企画、診断企画、品質改善、評価企画、顧客技術説明である。外部買い手はまだ置かない。最初の支払い/工数判断者は商品企画またはprogram technical leadに近い。
initial_offer	2週間程度の固定スコープassessment。公開proxyと既存調査を使い、OEM用途想定をEPS側の確認観点へ翻訳する1枚資料、見えるproxy、言ってよい価値、禁止主張、部署別Proceed/Kill質問を作る。対象はULC008、ULC004、PVC004の3枚に絞る。
why_supplier_can_play	EPSサプライヤは、OEMが示す用途想定を、低速取り回し、操舵感、診断説明、顧客技術説明、品質改善、評価代表性というサプライヤ製品の文脈へ翻訳できる。公開proxyをEPS内部故障事実やOEM車両コンセプトに変換するのではなく、EPS側の確認質問や説明境界へ変換するなら部品境界に残れる。
why_not_external_yet	買い手の成果物、既存業務との差分、汎用テレマティクス/路面分類/IDSとの差分が未検証である。OEMの車両コンセプト定義そのものを代替する、または故障予測、交換時期、保証費削減、原因断定に寄せると即座に禁止主張へ落ちる。
mainline_ids	PVC001を本線、ULC008を最有力、ULC004を二番手、PVC004を境界候補にする。KGL003/005/006/007/008は使用条件入力、KGL004/011は通信異常境界入力、KGL001/002は現テーマ外。
validation_method	公開proxyだけで作った3枚を、製品企画、診断企画、品質改善、評価企画、顧客技術説明に見せる前提で、OEM用途想定をどの既存成果物へ翻訳できるか、汎用分析と何が違うか、禁止主張なしで価値が説明できるかを判定する。
proceed_criteria	ULC008が製品企画または診断企画の具体成果物に貼れる。ULC004が品質改善または評価企画の既存分類と違う見方を出す。PVC004が通信異常時の説明境界として汎用IDS以外の意味を持つ。少なくとも2部署で、OEM用途想定からEPS側成果物への具体的な翻訳先が出る。
kill_criteria	OEM用途想定から作った確認観点がどの部署の成果物にも転記できない。一般的な運転行動分析、路面分類、ADAS、IDSと区別できない。価値説明に故障予測、交換時期、保証費削減、原因断定が必要になる。EPSサプライヤが主語になれない。
what_not_to_claim	EPS故障予測、残寿命、交換時期、安全保証、保証費削減、root cause断定、駐車や凹凸が故障原因であるという主張、公開proxyからEPS内部stressやthermal limitが分かるという主張、EPSサプライヤが公開proxyだけでOEMの車両コンセプトや厳しい用途を定義できるという主張。
next_action	ULC008の製品企画向け1枚、ULC008の診断企画向け1枚、ULC004の品質改善・評価企画向け1枚、PVC004の通信異常境界1枚を、OEM用途想定をEPS側成果物へ翻訳するビジネスモデル検証用の最小パックとして再構成する。
