id	category	market_signal	demand_interpretation	relevance_to_eps_health	possible_repo_item	source
OTA001	OEM roadmap	Hyundai Motor Group announced OTA software updates across vehicle segments by 2025.	OTA is becoming a standard lifecycle operation, not a premium exception.	EPS health can be read at connected touchpoints even when EPS itself is not updated.	Define EPS health summary for periodic connected diagnostics.	https://www.hyundai.news/uk/articles/press-releases/hyundai-announces-future-roadmap-for-software-defined-vehicles.html
OTA002	OEM platform	GM Ultifi positions OTA, cloud services, software-defined features, and frequent updates as part of a vehicle software platform.	OEMs are building platforms where vehicle functions can be updated and monitored after sale.	EPS can be one subsystem with specialized health indicators exposed to the platform.	Map EPS health indicators to OTA / vehicle software platform needs.	https://news.gm.ca/en/home/newsroom.detail.html/Pages/news/ca/en/2021/Sep/0929-ultifi.html
OTA003	Regulation	UNECE R156 requires vehicle manufacturers to manage software updates through SUMS.	Software updates require safe, traceable, governed operation across vehicle life.	EPS health gate can support update readiness and traceability for safety-related functions.	Draft EPS pre-update health gate criteria.	https://unece.org/transport/documents/2021/03/standards/un-regulation-no-156-software-update-and-software-update
OTA004	Regulation / vendor positioning	Sibros R155/R156 compliance page mentions vehicle safe state and health verification prior to update installation.	Pre-update vehicle health verification is already a recognized OTA operations requirement.	EPS-specific readiness checks can be a concrete supplier contribution.	Define EPS update allowed / deferred / diagnostic required outputs.	https://sibros.tech/compliances/unece-wp-29
OTA005	Standard	ASAM SOVD targets diagnostics for software-based vehicles, including remote, proximity, and in-vehicle scenarios.	Diagnostics are moving from workshop-only to remote and in-vehicle APIs.	EPS health data should be designed for remote diagnostic consumption, not only local tools.	Design EPS health API / DID concept aligned with SOVD thinking.	https://www.asam.net/standards/detail/sovd/
OTA006	Standard	ISO 17978-3:2026 standardizes API methods for diagnosing HPCs and legacy ECUs, including faults and environment data.	Remote diagnostics will need structured fault and environment data access.	EPS DTC, environment data, health indicators, and version metadata can be a coherent package.	Define EPS health summary schema with DTC, environment, measurements, version.	https://www.iso.org/standard/86587.html
OTA007	OTA platform	Sonatus Updater emphasizes predictable OTA results, dry-runs, campaign traceability, and root cause analysis.	OTA operators need campaign predictability and troubleshooting context.	EPS health indicators can support campaign risk filtering and post-update root cause analysis.	Add post-update EPS regression monitor concept.	https://www.sonatus.com/products/updater/
OTA008	Data collection platform	Sonatus Collector AI supports dynamic vehicle data collection policies without heavy OTA updates.	OEMs want configurable data collection over vehicle life for quality and customer experience.	EPS health telemetry can be collected as lightweight, event-triggered policy rather than continuous logs.	Define low-bandwidth EPS health collection policy.	https://www.sonatus.com/products/collector/
OTA009	Predictive maintenance platform	Sibros combines vehicle telemetry, machine learning, service triggers, and OTA fixes.	Vehicle health demand is tied to actionable foresight and remote resolution.	EPS should provide actionable indicators and next action, not raw logs.	Define EPS health indicator outputs and recommended actions.	https://sibros.tech/products/fleets/predictive-maintenance
OTA010	Remote diagnostics platform	Excelfore positions UDS / DoIP diagnostics and cloud accessibility for classic ECUs and SDVs.	Legacy ECUs can be exposed through modern remote diagnostics pathways.	EPS ECU health indicators can ride existing UDS / DoIP / gateway infrastructure.	Map candidate EPS indicators to UDS DIDs / extended data.	https://excelfore.com/diagnostics
OTA011	Market report	Automotive OTA market reports cite connected cars, cost efficiency, regulation, EV software intensity, and new business models as growth drivers.	OTA investment is driven by lifecycle cost and compliance, not only user features.	EPS health gate can be justified as OTA risk and cost control.	Add market-demand rationale to proposal.	https://www.grandviewresearch.com/industry-analysis/automotive-over-the-air-updates-market-report
OTA012	Market report	Remote diagnostics market reports emphasize real-time diagnostic data, cloud platforms, predictive maintenance, fleet management, and troubleshooting.	Remote diagnostics demand spans OEMs, fleets, service providers, and cloud analytics.	EPS health telemetry is a subsystem-specific add-on to remote diagnostics.	Position as EPS-specific diagnostic intelligence, not a standalone cloud.	https://www.strategicmarketresearch.com/market-report/automotive-remote-diagnostics-market
OTA013	Market report	Integrated vehicle health management reports cite demand for predictive maintenance and real-time diagnostics from connected vehicle adoption.	Vehicle health monitoring is a recognized connected-vehicle value pool.	EPS can contribute safety-critical subsystem health indicators.	Frame EPS as safety-critical health signal within IVHM.	https://www.grandviewresearch.com/industry-analysis/integrated-vehicle-health-management-market-report
OTA014	EPS safety trend	Nexteer positions high availability EPS with redundancy in sensors, ECUs, motor windings, power, and communication.	EPS availability matters more as automation increases.	Health indicators should include redundancy health, power stability, communication, and assist availability.	Add high-availability EPS evidence dimensions.	https://www.nexteer.com/high-availability-eps-2/
OTA015	X-by-wire trend	REE describes x-by-wire steering/braking/drive systems integrated with SDV architecture and OTA updates.	Steering functions are becoming more software-defined and lifecycle-updatable.	Steering health telemetry becomes more important when steering is by-wire or automation-relevant.	Include steer-by-wire / automation roadmap as future extension.	https://ree.auto/lp/sdv/
OTA016	Research	EPS anomaly detection research discusses EPS failures in sensors, actuators, insulation, bearings, friction, and PHM/anomaly detection.	There is technical basis for detecting EPS anomalies from system data, though production validation is difficult.	Candidate indicators should focus on current, torque, sensor redundancy, friction/load proxies, and temperature.	Create EPS degradation indicator candidate list.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9699008/
OTA017	Practical constraint	OTA vendors emphasize update success, bandwidth, rollback, traceability, and diagnostics.	Operational constraints make low-bandwidth, summary-level health data more attractive than raw logs.	EPS should export compact health summaries and event counters.	Define minimum / standard / extended EPS health payload.	https://www.sonatus.com/products/updater/
OTA018	Supplier access constraint	OEM connected platforms own vehicle-to-cloud data; subsystem suppliers usually do not own fleet telemetry.	EPS supplier likely sells embedded indicators and interpretation logic to OEM, not an independent direct cloud service.	Business model should be NRE / feature package / data feedback contract.	Add supplier/OEM data ownership model.	https://www.sonatus.com/products/collector/
OTA019	Use-case gap	Most OTA / remote diagnostics platforms are horizontal and not EPS-specific.	There is room for subsystem-specialized health content layered on top of platform plumbing.	EPS supplier can provide domain-specific indicators and thresholds.	Position as EPS health content package, not platform.	https://excelfore.com/diagnostics
OTA020	Channel role	OTA / remote diagnostics create periodic touchpoints to read subsystem health.	OTA is a useful readout channel, but the core product should remain EPS health intelligence.	This reframes OTA from the main product into one route for using EPS health indicators.	Create `EPS Health Intelligence Package` with OTA / remote diagnostics as one channel.	Derived from above sources
