family_id	common_pain_family	representative_cases	market_demand	unmet_need	eps_supplier_control	commonality_score	supplier_control_score	differentiation_score	scalability_score	total_score	candidate_business_model	verdict	why_not_rca_8d	next_validation	kill_condition
FAM01	loss_of_assist_general	MKT001;MKT002	Driver-visible assist loss is the dominant public EPS pain category.	The pain is too broad; buyers need it converted into testable diagnostic/robustness scenarios.	EPS supplier can define assist availability states, warning/DTC mapping, and diagnostic coverage expectations.	5	4	2	4	15	EPS Diagnostic Coverage Benchmark	Secondary	General loss-of-assist taxonomy is too broad for case-pack revenue.	Use as top-level taxonomy for all other scenario families.	If it stays at complaint taxonomy without test/diagnostic actions.
FAM02	low_speed_high_effort	MKT003;MKT004	Low-speed assist loss creates high driver effort and has large-scale public history.	Need to know whether existing diagnostics explain assist demand vs delivered assist during low-speed high-effort events.	EPS supplier can use HILS/bench/vehicle evaluation, assist command/current, speed, angle, current limit, thermal/voltage state.	5	4	3	4	16	EPS Diagnostic Coverage Benchmark	Primary	Useful as a benchmark scenario; individual RCA packs remain case-specific.	Create a coverage matrix: existing DTC/freeze frame vs low-speed high-effort facts.	If existing diagnostics already capture assist demand/output/current limit sufficiently.
FAM03	warning_plus_effort	MKT007;MKT008;MKT009;MKT010;MKT036	Public cases frequently connect EPS warning/MIL/DTC with increased effort.	Need to translate DTC/warning into driver symptom and quality explanation without adding generic logs.	EPS supplier controls DTC semantics, freeze frame, occurrence counters, reader fields, and warning strategy.	5	5	2	4	16	DTC-to-Driver Symptom Coverage Benchmark	Primary	8D attachment is a downstream use; the scalable asset is DTC-to-symptom mapping coverage.	Build a DTC-to-driver-pain matrix for public scenario families.	If current DTC docs already include symptom, context, and customer-quality wording.
FAM04	intermittent_ignition_cycle	MKT011;MKT012;MKT013;MKT015	Intermittent assist loss that clears after restart appears across models and years.	Need to preserve transient/latch/reset context enough to explain recurrence and non-repro cases.	EPS supplier controls ignition-cycle state, reset/fault latch, occurrence counter, and assist state transition.	4	4	3	3	14	Intermittent EPS State Capture Review	Conditional	It still needs program-specific state definitions; not a generic 8D product.	Review whether existing extended data stores last ignition-cycle assist state and recurrence count.	If transient state is already captured or cannot be stored/read.
FAM05	voltage_temperature_friction	MKT019;MKT020;MKT021	Public investigation shows existing EPS DTCs already include voltage, temperature, friction-like modes.	Need to benchmark whether existing DTC/extended data is sufficient for market pain explanation.	EPS supplier controls DTCs, derating, temperature, voltage, friction/load estimates.	4	5	1	4	14	Existing Diagnostic Sufficiency Benchmark	Conditional	This is strong evidence against new evidence packs; value is proving no gap or small gap.	Audit a target EPS DTC list against voltage/thermal/friction public pain family.	Kill if this only repeats existing DTC documentation.
FAM06	intermittent_no_warning	MKT022;MKT023	No-warning or intermittent assist loss has high complaint and crash-allegation visibility.	Need to explain whether assist transition occurred before warning/DTC was available.	EPS supplier may control assist enable edge and transition state, but storage/readout may be constrained.	5	3	4	3	15	Transient Assist Transition Coverage Review	Primary-risky	Differentiation is higher, but data requirements are deeply internal.	Identify the minimum transition facts that can be captured without waveform logging.	If no low-cost scalar transition facts exist.
FAM07	road_event_software_calibration	MKT024;MKT025	Rough road/pothole-triggered assist loss shows context-specific robustness pain.	Need to connect road event context to calibration/failsafe robustness.	EPS supplier controls calibration and assist state, but road/IMU context may be OEM/vehicle-level.	4	2	4	3	13	Road-Context Robustness Scenario Library	Conditional-OEM	Better as validation scenario than RCA/8D pack; needs vehicle context to scale.	Test whether supplier bench/HILS can inject pothole/road shock proxy without OEM fleet data.	If road context cannot be represented with supplier-owned evaluation signals.
FAM08	stop_start_low_speed	MKT026;MKT027	Stop/start low-speed assist loss has high public scale and driver-visible pain.	Need to cover power transient, motor drive, and calibration behavior around stop-start/low-speed turns.	EPS supplier controls motor drive, power/voltage state, calibration, and low-speed assist behavior in validation.	5	4	4	4	17	Stop-Start Low-Speed Robustness Benchmark	Primary	Scales better as robustness/diagnostic benchmark than case-specific 8D pack.	Define stop-start low-speed EPS scenario and coverage checklist.	If target EPS has no stop-start transient exposure or existing validation already covers it completely.
FAM09	mdps_ecu_hardware	MKT028;MKT029;MKT030;MKT031	MDPS/ECU hardware, PCB, short/open issues appear in supplier/component-level public recalls.	Need to connect DTC, EOL, lot, return-part, and component evidence.	EPS/ECU supplier controls EOL, traceability, DTC, returned-part reader, component quality records.	4	5	3	3	15	ECU Hardware Evidence Traceability Kit	Secondary-primary	Closest to supplier-owned data, but not EPS market-wide; more quality/NRE than platform.	Create hardware evidence chain template: DTC -> lot -> EOL -> return-part readout.	If existing manufacturing quality traceability already covers this with no gap.
FAM10	harness_mechanical_turn	MKT032	Turning noise/harness damage can cause reduced or complete assist.	Need to separate mechanical/harness physical issues from ECU-observed symptoms.	EPS supplier can observe sensor/connector plausibility and assist current, but physical cause may be outside ECU.	3	3	3	2	11	Gear/Harness Boundary Review	Low	Too cross-domain and case-specific for scalable RCA product.	Use as boundary case for what EPS ECU can and cannot explain.	If mechanical team already owns the evidence flow.
FAM11	software_failsafe_calibration	MKT033	Software calibration can trigger failsafe and assist loss.	Need to ensure failsafe entry conditions, calibration version, and remedy mapping are explainable.	EPS supplier controls software/calibration/failsafe logic, versioning, and validation evidence.	4	5	4	4	17	Software/Failsafe Coverage Benchmark	Primary	Scales as software readiness/coverage benchmark, not as 8D evidence service.	Create calibration/failsafe evidence checklist reusable across programs.	If calibration release process already proves and exposes these facts adequately.
FAM12	gradual_turn_sticking	MKT034;MKT035	Context-specific gradual-turn sticking and sudden assist return has distinct driver pain.	Need to capture steering-angle-zone and assist transition facts without full waveform logging.	EPS supplier controls steering angle, assist state, torque/current response, and control-state transitions, but storage may be constrained.	4	4	5	3	16	Context-Specific EPS Control Coverage Benchmark	Primary-risky	Most differentiated from generic diagnostics, but very data/design-specific.	Define scalar facts for gradual-turn sticking: angle zone, transition edge, assist delta, recurrence.	If it requires high-rate waveform logging or OEM-only data.
FAM13	mechanical_worm_gear	MKT038	Worm gear/mechanical issues can cause sudden loss of assist.	Need to know what ECU can infer about mechanical load/friction and what must stay mechanical inspection.	EPS supplier may estimate load/friction but physical confirmation is mechanical.	3	3	3	2	11	Mechanical Load Boundary Review	Low	Too gear-specific unless paired with gear maker/program NRE.	Test whether existing friction/load estimate is meaningful for this family.	If ECU estimate is not trusted for mechanical root cause separation.
